Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.596,0.57,5.075,13.503,0.32
0.0,1.0,8.227,21.081,0.057
0.0,1.0,11.661,32.934,0.026
0.0,1.0,6.843,18.986,0.071
0.053,0.923,9.171,24.797,0.061
0.07,0.889,8.1,20.945,0.082
0.035,0.95,7.949,20.619,0.072
0.281,0.579,4.599,12.814,0.227
0.0,1.0,9.91,27.654,0.036
0.07,0.895,8.55,22.059,0.076
0.0,1.0,10.987,30.295,0.03
0.123,0.811,10.28,28.049,0.076
0.0,1.0,4.78,12.997,0.13
0.0,1.0,10.638,29.022,0.033
0.14,0.778,4.262,11.931,0.196
0.0,1.0,10.063,28.682,0.034
0.0,1.0,5.229,14.316,0.112
0.018,0.971,8.427,21.795,0.06
0.035,0.949,10.491,29.055,0.045
0.053,0.9,8.656,22.404,0.069
0.0,1.0,5.749,15.764,0.096
0.088,0.857,10.321,28.623,0.063
0.211,0.657,5.279,13.775,0.187
0.053,0.914,12.139,34.301,0.042
0.0,1.0,14.248,40.333,0.018
0.088,0.886,11.5,31.995,0.057
0.123,0.774,4.15,11.271,0.2
0.316,0.5,2.481,6.332,0.409
0.0,1.0,11.813,32.242,0.027
0.298,0.514,5.256,14.015,0.214
0.0,1.0,8.967,25.623,0.042
0.018,0.966,8.618,22.746,0.056
0.0,1.0,6.229,16.466,0.088
0.07,0.871,5.868,15.962,0.117
0.105,0.872,4.54,12.487,0.173
0.088,0.821,5.461,15.518,0.13
0.018,0.971,10.697,29.376,0.038
0.0,1.0,10.506,28.654,0.034
0.018,0.968,4.725,12.784,0.139
0.07,0.867,7.688,21.064,0.082
0.0,1.0,8.776,22.97,0.05
0.0,1.0,9.177,24.353,0.045
0.193,0.577,3.348,8.99,0.277
0.018,0.966,7.649,22.058,0.061
0.088,0.872,3.737,10.199,0.212
0.018,0.974,5.196,14.302,0.119
0.018,0.968,8.377,21.697,0.061
0.0,1.0,10.764,29.908,0.031
0.0,1.0,11.735,32.212,0.027
0.0,1.0,9.593,26.108,0.04
0.018,0.967,13.435,37.593,0.026
0.0,1.0,6.514,17.042,0.083
0.386,0.532,3.137,8.455,0.358
0.0,1.0,8.316,21.426,0.056
0.035,0.946,7.865,20.45,0.073
0.0,1.0,11.451,31.564,0.028
0.088,0.868,7.575,20.307,0.092
0.07,0.867,4.616,12.572,0.16
0.088,0.861,7.845,20.496,0.09
0.035,0.933,9.297,25.03,0.055
0.123,0.8,5.135,14.622,0.151
0.105,0.829,9.167,25.925,0.076
0.0,1.0,6.272,17.734,0.08
0.298,0.5,2.94,7.796,0.349
0.035,0.944,10.71,29.127,0.044
0.158,0.735,5.905,17.342,0.137
0.018,0.983,4.79,13.179,0.134
0.14,0.784,5.095,13.787,0.165
0.0,1.0,13.971,39.54,0.019
0.018,0.975,7.91,21.791,0.061
0.0,1.0,9.488,26.55,0.039
0.07,0.892,9.456,25.066,0.066
0.0,1.0,12.15,33.352,0.025
0.0,1.0,8.702,24.844,0.045
0.0,1.0,7.389,20.803,0.061
0.0,1.0,7.461,20.195,0.063
0.018,0.964,8.852,24.636,0.051
0.0,1.0,10.324,28.557,0.034
0.035,0.933,12.038,33.239,0.037
0.0,1.0,11.627,32.988,0.026
0.0,1.0,9.439,26.647,0.039
0.0,1.0,11.986,32.842,0.026
0.035,0.946,8.122,21.119,0.069
0.0,1.0,7.702,21.906,0.056
0.105,0.842,5.134,14.352,0.148
0.053,0.933,11.585,32.489,0.044
0.07,0.867,7.77,20.622,0.084
0.0,1.0,12.166,34.004,0.025
0.088,0.868,8.436,21.986,0.083
0.018,0.962,6.034,17.086,0.091
0.0,1.0,15.561,44.339,0.015
0.018,0.971,7.56,19.452,0.072
0.0,1.0,6.633,19.218,0.071
0.0,1.0,12.345,34.469,0.024
0.0,1.0,9.301,26.271,0.04
0.0,1.0,7.675,21.941,0.056
0.123,0.75,4.482,11.778,0.189
0.07,0.882,6.891,19.593,0.091
0.0,1.0,10.899,30.14,0.031
0.0,1.0,13.635,38.482,0.019
