Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.919,0.105,0.538,0.965,0.931
0.514,0.548,1.967,4.968,0.542
0.541,0.535,1.943,4.812,0.557
0.297,0.656,1.667,3.72,0.528
0.0,1.0,12.021,30.841,0.029
0.0,1.0,11.536,29.265,0.031
0.162,0.846,6.564,15.695,0.146
0.0,1.0,11.399,28.568,0.033
0.027,0.952,10.717,27.644,0.044
0.0,1.0,12.493,34.74,0.024
0.216,0.742,4.245,10.167,0.246
0.0,1.0,17.267,46.202,0.013
0.0,1.0,16.037,42.607,0.016
0.0,1.0,9.734,25.741,0.041
0.108,0.879,8.413,20.879,0.094
0.0,1.0,10.934,27.488,0.035
0.0,1.0,11.728,32.638,0.027
0.0,1.0,14.505,38.489,0.019
0.0,1.0,10.43,26.721,0.037
0.0,1.0,16.576,43.967,0.015
0.081,0.923,6.901,16.787,0.11
0.0,1.0,11.207,28.74,0.033
0.0,1.0,16.341,44.583,0.014
0.0,1.0,17.857,47.725,0.013
0.0,1.0,14.384,39.86,0.018
0.0,1.0,10.989,29.054,0.032
0.0,1.0,10.933,27.904,0.034
0.027,0.968,9.654,25.934,0.049
0.0,1.0,12.854,35.628,0.022
0.0,1.0,12.782,33.343,0.025
0.0,1.0,10.687,28.325,0.034
0.0,1.0,14.142,37.442,0.02
0.0,1.0,12.917,35.712,0.022
0.0,1.0,14.184,37.017,0.02
0.0,1.0,9.5,24.018,0.045
0.0,1.0,2.042,4.794,0.37
0.0,1.0,15.708,42.048,0.016
0.189,0.75,5.173,12.329,0.196
0.0,1.0,15.563,42.257,0.016
0.0,1.0,10.733,28.903,0.033
0.0,1.0,10.878,27.998,0.034
0.027,0.974,9.306,24.011,0.055
0.0,1.0,5.522,14.937,0.104
0.0,1.0,10.402,28.185,0.035
0.0,1.0,16.211,43.494,0.015
0.189,0.794,1.923,4.652,0.446
0.0,1.0,15.998,42.372,0.016
0.0,1.0,12.285,34.342,0.024
0.0,1.0,11.603,30.117,0.03
0.081,0.917,3.806,9.64,0.218
0.027,0.968,10.161,27.686,0.045
0.0,1.0,10.809,28.795,0.033
0.0,1.0,16.597,44.024,0.015
0.054,0.929,8.38,22.972,0.069
0.162,0.769,7.698,18.904,0.122
0.189,0.811,4.199,11.086,0.224
0.0,1.0,11.766,29.544,0.031
0.0,1.0,9.447,25.788,0.041
0.054,0.935,8.411,21.879,0.072
0.0,1.0,10.86,28.01,0.034
0.0,1.0,11.085,29.676,0.031
0.0,1.0,11.921,30.905,0.029
0.081,0.909,6.02,13.582,0.14
0.0,1.0,14.517,38.016,0.019
0.0,1.0,11.701,29.552,0.031
0.0,1.0,13.021,32.572,0.026
0.27,0.63,3.365,8.543,0.311
0.0,1.0,11.634,30.172,0.03
0.027,0.957,10.176,27.296,0.046
0.0,1.0,15.546,40.955,0.017
0.0,1.0,13.651,37.35,0.02
0.0,1.0,14.696,39.951,0.018
0.0,1.0,10.926,30.497,0.03
0.108,0.9,8.883,22.622,0.087
0.0,1.0,7.637,19.934,0.064
0.0,1.0,15.493,42.743,0.016
0.0,1.0,11.716,30.007,0.03
0.27,0.615,2.707,6.44,0.38
0.0,1.0,11.892,30.297,0.03
0.027,0.955,10.603,27.669,0.044
0.0,1.0,10.468,27.678,0.035
0.0,1.0,18.092,49.431,0.012
0.0,1.0,11.264,29.367,0.032
0.0,1.0,9.865,26.666,0.038
0.0,1.0,11.511,29.514,0.031
0.0,1.0,11.438,30.012,0.03
0.027,0.944,9.266,25.112,0.052
0.162,0.8,3.327,8.343,0.28
0.0,1.0,14.21,39.423,0.018
0.162,0.818,6.566,15.266,0.149
0.0,1.0,14.27,38.392,0.019
0.0,1.0,9.591,25.651,0.041
0.0,1.0,9.972,26.391,0.039
0.0,1.0,15.765,41.994,0.016
0.0,1.0,10.166,25.86,0.04
0.0,1.0,9.677,26.736,0.038
0.0,1.0,12.621,32.999,0.025
0.0,1.0,13.186,33.844,0.024
0.054,0.909,5.027,11.653,0.161
0.0,1.0,9.175,25.568,0.042
