Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,6.137,19.384,0.073
0.082,0.879,9.053,25.605,0.069
0.012,0.977,5.148,14.439,0.116
0.0,1.0,7.091,21.818,0.058
0.047,0.918,8.833,24.948,0.06
0.529,0.182,1.929,6.617,0.51
0.012,0.977,10.989,33.89,0.03
0.106,0.904,9.201,25.973,0.076
0.059,0.925,4.334,13.902,0.146
0.082,0.821,8.542,24.616,0.073
0.176,0.766,3.155,10.337,0.255
0.0,1.0,13.101,40.797,0.018
0.129,0.804,8.838,24.77,0.088
0.106,0.88,10.107,28.91,0.069
0.0,1.0,9.315,28.556,0.036
0.376,0.429,2.268,6.427,0.439
0.0,1.0,12.56,38.73,0.02
0.0,1.0,17.145,51.918,0.011
0.0,1.0,15.101,47.263,0.014
0.4,0.443,2.683,8.589,0.378
0.0,1.0,8.613,25.425,0.043
0.0,1.0,16.887,51.062,0.012
0.0,1.0,14.353,43.393,0.016
0.0,1.0,11.456,33.143,0.026
0.0,1.0,10.476,29.95,0.032
0.106,0.8,9.498,26.716,0.074
0.0,1.0,18.453,57.707,0.009
0.0,1.0,9.678,30.237,0.032
0.0,1.0,10.566,31.405,0.029
0.094,0.778,8.717,24.676,0.076
0.0,1.0,19.095,59.055,0.009
0.012,0.969,8.337,24.339,0.051
0.0,1.0,5.701,17.666,0.084
0.0,1.0,15.951,49.404,0.013
0.012,0.974,13.577,40.214,0.022
0.0,1.0,13.924,42.766,0.016
0.0,1.0,13.063,40.241,0.019
0.035,0.941,12.159,36.743,0.034
0.0,1.0,8.995,26.204,0.041
0.0,1.0,8.847,25.041,0.044
0.0,1.0,17.149,52.14,0.011
0.047,0.923,8.893,25.324,0.059
0.0,1.0,17.004,51.067,0.012
0.0,1.0,20.647,62.52,0.008
0.0,1.0,15.092,46.478,0.014
0.082,0.806,8.675,24.611,0.073
0.329,0.429,2.271,6.405,0.424
0.0,1.0,9.577,28.081,0.036
0.0,1.0,13.78,41.415,0.017
0.0,1.0,10.367,30.054,0.032
0.0,1.0,18.104,55.397,0.01
0.106,0.816,10.254,29.58,0.068
0.0,1.0,16.362,49.363,0.012
0.0,1.0,20.146,62.303,0.008
0.0,1.0,15.302,47.662,0.013
0.0,1.0,11.215,34.807,0.025
0.0,1.0,8.682,25.857,0.042
0.0,1.0,15.294,46.69,0.014
0.0,1.0,18.803,57.891,0.009
0.0,1.0,12.195,38.526,0.02
0.0,1.0,8.504,24.286,0.046
0.0,1.0,12.761,38.879,0.02
0.035,0.903,6.416,18.118,0.089
0.0,1.0,14.167,43.637,0.016
0.0,1.0,15.092,45.293,0.015
0.0,1.0,17.437,54.219,0.01
0.0,1.0,12.031,37.206,0.022
0.0,1.0,5.424,17.49,0.087
0.0,1.0,8.949,25.64,0.042
0.0,1.0,11.915,36.648,0.022
0.0,1.0,12.999,38.778,0.02
0.0,1.0,21.509,66.612,0.007
0.0,1.0,10.403,32.989,0.028
0.153,0.711,10.94,32.894,0.078
0.0,1.0,9.498,28.173,0.036
0.0,1.0,8.122,23.453,0.05
0.0,1.0,20.441,61.853,0.008
0.0,1.0,15.83,47.909,0.013
0.0,1.0,14.724,44.32,0.015
0.0,1.0,13.068,39.206,0.019
0.0,1.0,14.817,44.296,0.015
0.047,0.892,7.829,22.495,0.069
0.0,1.0,21.136,64.598,0.007
0.0,1.0,9.666,29.545,0.033
0.0,1.0,18.594,56.565,0.01
0.176,0.651,3.279,8.869,0.276
0.0,1.0,16.967,51.396,0.011
0.0,1.0,10.332,31.938,0.029
0.0,1.0,19.192,59.868,0.009
0.0,1.0,10.526,32.094,0.028
0.012,0.971,9.949,28.233,0.039
0.0,1.0,10.487,29.693,0.032
0.0,1.0,14.074,42.967,0.016
0.0,1.0,7.341,21.365,0.059
0.0,1.0,10.647,30.247,0.031
0.0,1.0,7.695,21.992,0.056
0.0,1.0,9.329,26.894,0.039
0.0,1.0,10.022,31.32,0.03
0.0,1.0,19.961,61.157,0.008
0.0,1.0,20.196,62.428,0.008
