Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.174,0.826,4.527,12.917,0.192
0.0,1.0,11.788,32.213,0.027
0.217,0.73,1.581,3.562,0.514
0.043,0.953,6.432,18.06,0.092
0.587,0.325,1.449,3.832,0.645
0.13,0.833,6.486,16.241,0.132
0.043,0.938,5.629,14.904,0.118
0.0,1.0,12.646,33.251,0.025
0.065,0.917,5.503,15.323,0.123
0.0,1.0,9.937,26.41,0.039
0.13,0.812,4.206,11.323,0.201
0.043,0.95,5.59,13.916,0.127
0.065,0.9,5.988,14.56,0.126
0.0,1.0,10.044,27.68,0.036
0.0,1.0,12.886,34.909,0.023
0.152,0.794,4.646,11.748,0.197
0.109,0.848,3.26,8.302,0.265
0.022,0.972,4.139,11.325,0.166
0.087,0.871,8.284,22.224,0.082
0.022,0.971,9.763,27.268,0.044
0.0,1.0,12.219,33.455,0.025
0.0,1.0,10.364,27.793,0.035
0.0,1.0,12.011,31.181,0.028
0.0,1.0,13.257,34.255,0.024
0.0,1.0,14.058,36.522,0.021
0.0,1.0,13.504,35.593,0.022
0.283,0.581,4.266,11.77,0.245
0.0,1.0,12.312,32.284,0.026
0.0,1.0,8.919,24.133,0.046
0.0,1.0,13.855,35.756,0.022
0.109,0.839,5.359,13.543,0.155
0.087,0.886,5.462,12.545,0.157
0.022,0.966,8.006,21.356,0.064
0.0,1.0,12.915,34.736,0.023
0.0,1.0,10.481,28.524,0.034
0.065,0.885,5.962,15.842,0.116
0.065,0.912,5.938,14.528,0.127
0.087,0.892,5.668,13.108,0.149
0.109,0.857,5.636,12.953,0.159
0.0,1.0,10.618,29.119,0.033
0.0,1.0,12.236,31.607,0.027
0.0,1.0,13.947,36.248,0.021
0.065,0.9,5.737,15.023,0.124
0.065,0.909,7.238,18.688,0.093
0.0,1.0,13.482,35.064,0.023
0.0,1.0,11.996,32.804,0.026
0.109,0.884,5.82,13.788,0.149
0.087,0.84,5.856,13.782,0.141
0.022,0.967,3.204,8.098,0.242
0.0,1.0,11.82,30.943,0.029
0.0,1.0,9.446,25.191,0.042
0.0,1.0,5.209,14.272,0.113
0.065,0.917,7.858,20.352,0.083
0.239,0.686,3.64,9.006,0.285
0.457,0.16,1.01,2.351,0.691
0.0,1.0,11.431,30.321,0.03
0.0,1.0,11.697,30.363,0.03
0.0,1.0,10.086,28.476,0.034
0.0,1.0,12.327,34.411,0.024
0.065,0.893,7.334,20.928,0.082
0.0,1.0,10.689,28.702,0.033
0.0,1.0,12.029,32.138,0.027
0.109,0.828,4.8,11.809,0.18
0.0,1.0,9.568,25.522,0.041
0.0,1.0,12.854,33.483,0.025
0.0,1.0,10.513,29.187,0.033
0.0,1.0,13.38,34.84,0.023
0.0,1.0,10.189,28.025,0.035
0.0,1.0,13.023,33.206,0.025
0.109,0.848,6.223,16.447,0.125
0.0,1.0,11.492,31.74,0.028
0.196,0.763,5.591,15.738,0.163
0.043,0.935,4.875,13.774,0.135
0.0,1.0,10.076,28.609,0.034
0.065,0.88,4.858,13.775,0.143
0.0,1.0,10.607,28.91,0.033
0.152,0.788,6.685,17.298,0.132
0.065,0.864,5.923,13.972,0.132
0.087,0.875,5.212,12.453,0.16
0.326,0.5,2.362,5.969,0.428
0.087,0.846,5.991,14.151,0.137
0.087,0.84,5.155,13.846,0.146
0.0,1.0,14.768,37.859,0.019
0.0,1.0,4.558,12.356,0.14
0.0,1.0,8.967,24.146,0.046
0.152,0.811,5.409,12.436,0.181
0.0,1.0,6.131,16.381,0.09
0.0,1.0,11.553,30.868,0.029
0.0,1.0,10.273,28.036,0.035
0.0,1.0,13.197,35.375,0.022
0.0,1.0,12.734,34.045,0.024
0.0,1.0,12.914,33.75,0.024
0.0,1.0,13.189,35.47,0.022
0.174,0.758,2.872,8.036,0.305
0.0,1.0,11.682,31.035,0.029
0.152,0.794,7.391,20.671,0.112
0.0,1.0,13.771,36.019,0.021
0.0,1.0,12.714,33.53,0.025
0.065,0.917,4.093,10.888,0.187
0.0,1.0,3.917,10.728,0.171
