Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.851,0.13,0.855,1.449,0.859
0.0,1.0,12.301,34.07,0.024
0.0,1.0,9.982,25.356,0.041
0.021,0.974,10.303,26.588,0.045
0.0,1.0,10.673,28.177,0.034
0.0,1.0,7.987,20.984,0.058
0.277,0.567,9.259,21.415,0.146
0.0,1.0,8.189,22.044,0.054
0.021,0.977,6.452,17.761,0.086
0.064,0.912,8.404,18.656,0.089
0.191,0.735,5.411,15.106,0.168
0.0,1.0,8.847,21.392,0.055
0.0,1.0,8.266,22.003,0.054
0.021,0.966,6.504,13.552,0.118
0.0,1.0,10.842,27.012,0.036
0.0,1.0,14.431,39.546,0.018
0.17,0.742,8.649,19.049,0.122
0.0,1.0,9.911,24.986,0.042
0.0,1.0,13.658,37.999,0.02
0.0,1.0,11.346,29.799,0.031
0.0,1.0,10.926,29.109,0.032
0.0,1.0,13.822,36.417,0.021
0.0,1.0,12.562,32.75,0.026
0.0,1.0,8.828,19.598,0.062
0.149,0.837,7.282,16.493,0.133
0.0,1.0,10.758,28.25,0.034
0.0,1.0,12.85,34.514,0.024
0.064,0.929,11.373,27.868,0.055
0.0,1.0,13.214,35.028,0.023
0.0,1.0,13.428,36.896,0.021
0.085,0.882,7.354,17.137,0.107
0.0,1.0,12.413,31.769,0.027
0.021,0.964,5.544,11.092,0.153
0.0,1.0,5.575,14.513,0.108
0.0,1.0,9.511,24.257,0.045
0.213,0.697,5.238,14.889,0.178
0.0,1.0,10.841,29.687,0.032
0.0,1.0,11.274,27.9,0.034
0.021,0.958,9.313,22.083,0.059
0.021,0.974,7.449,19.545,0.073
0.085,0.902,9.221,21.624,0.082
0.0,1.0,7.044,21.04,0.061
0.0,1.0,12.821,32.564,0.026
0.0,1.0,10.418,28.413,0.034
0.064,0.914,8.886,19.545,0.084
0.0,1.0,11.332,27.593,0.035
0.0,1.0,13.799,35.6,0.022
0.0,1.0,12.47,30.461,0.029
0.128,0.778,7.059,19.438,0.11
0.0,1.0,8.119,22.455,0.053
0.085,0.889,7.945,16.895,0.107
0.0,1.0,14.411,36.842,0.02
0.191,0.75,7.352,14.556,0.162
0.106,0.839,8.973,22.967,0.085
0.0,1.0,9.253,22.647,0.05
0.0,1.0,13.909,37.703,0.02
0.0,1.0,9.351,25.849,0.041
0.277,0.536,7.722,15.854,0.179
0.085,0.907,7.568,15.7,0.117
0.0,1.0,13.521,33.353,0.024
0.0,1.0,9.101,23.411,0.048
0.0,1.0,9.749,24.012,0.045
0.0,1.0,12.487,31.962,0.027
0.0,1.0,13.693,37.753,0.02
0.021,0.964,4.832,13.443,0.132
0.0,1.0,10.507,30.009,0.031
0.085,0.875,6.398,14.727,0.129
0.021,0.974,10.087,25.339,0.048
0.128,0.75,5.796,14.44,0.149
0.0,1.0,9.757,27.098,0.038
0.0,1.0,11.043,31.261,0.029
0.0,1.0,10.82,26.745,0.037
0.128,0.714,7.873,19.989,0.105
0.17,0.579,9.429,21.818,0.109
0.0,1.0,11.898,32.468,0.027
0.0,1.0,11.06,27.608,0.035
0.0,1.0,14.431,36.895,0.02
0.0,1.0,13.337,37.821,0.02
0.064,0.909,10.169,25.576,0.062
0.0,1.0,9.911,25.947,0.04
0.0,1.0,11.383,28.604,0.033
0.0,1.0,10.769,28.424,0.034
0.0,1.0,12.574,35.476,0.023
0.085,0.857,8.447,19.579,0.091
0.0,1.0,11.285,34.038,0.025
0.0,1.0,9.801,25.527,0.041
0.0,1.0,12.99,35.443,0.023
0.0,1.0,9.774,27.286,0.037
0.0,1.0,12.458,33.241,0.025
0.0,1.0,13.252,36.585,0.021
0.0,1.0,11.741,30.693,0.029
0.0,1.0,8.505,21.437,0.055
0.0,1.0,12.46,37.029,0.021
0.0,1.0,8.638,22.972,0.05
0.064,0.893,8.962,25.142,0.065
0.021,0.973,7.371,20.677,0.069
0.0,1.0,11.345,30.868,0.029
0.0,1.0,7.684,17.664,0.075
0.0,1.0,12.233,32.571,0.026
0.0,1.0,9.463,23.237,0.048
