Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.911,0.089,0.652,0.461,0.916
0.5,0.333,2.714,7.559,0.431
0.0,1.0,10.002,27.729,0.036
0.036,0.953,7.439,19.328,0.079
0.0,1.0,8.69,24.865,0.045
0.089,0.848,7.011,18.033,0.105
0.018,0.975,7.298,18.886,0.076
0.0,1.0,5.151,14.65,0.11
0.0,1.0,9.858,27.289,0.037
0.446,0.138,1.815,4.72,0.539
0.25,0.632,5.84,16.048,0.177
0.054,0.925,7.996,21.2,0.075
0.196,0.732,3.773,10.034,0.25
0.0,1.0,4.594,13.229,0.13
0.0,1.0,8.464,24.108,0.047
0.071,0.9,7.68,20.16,0.086
0.0,1.0,9.358,26.104,0.04
0.089,0.857,5.855,15.262,0.129
0.0,1.0,8.512,24.311,0.046
0.0,1.0,8.297,23.978,0.048
0.0,1.0,6.643,19.309,0.07
0.071,0.886,5.31,14.215,0.136
0.0,1.0,8.224,23.37,0.05
0.071,0.871,9.064,25.487,0.066
0.0,1.0,8.457,23.76,0.048
0.0,1.0,11.496,31.503,0.028
0.0,1.0,8.408,23.973,0.048
0.0,1.0,7.977,22.735,0.052
0.0,1.0,9.609,27.477,0.037
0.0,1.0,9.128,26.006,0.041
0.018,0.971,8.346,23.488,0.055
0.0,1.0,11.339,31.196,0.029
0.0,1.0,6.428,18.569,0.075
0.071,0.871,9.164,24.843,0.067
0.089,0.839,7.331,19.105,0.098
0.268,0.559,4.175,12.213,0.236
0.0,1.0,10.334,28.35,0.034
0.036,0.926,7.385,19.344,0.079
0.0,1.0,11.014,30.598,0.03
0.0,1.0,8.363,24.19,0.047
0.196,0.761,7.304,18.997,0.135
0.018,0.966,9.493,26.296,0.046
0.0,1.0,9.323,25.55,0.042
0.018,0.976,7.599,21.617,0.063
0.0,1.0,10.643,29.403,0.032
0.161,0.7,3.103,8.488,0.284
0.036,0.939,5.445,14.763,0.118
0.125,0.781,5.702,15.04,0.144
0.0,1.0,5.605,16.075,0.095
0.018,0.964,5.543,15.888,0.103
0.0,1.0,9.16,26.315,0.04
0.036,0.941,9.055,25.211,0.055
0.071,0.846,4.898,14.244,0.14
0.036,0.923,7.075,18.232,0.086
0.071,0.846,4.04,10.741,0.193
0.0,1.0,7.989,23.15,0.051
0.25,0.562,2.543,6.818,0.372
0.0,1.0,9.23,25.61,0.042
0.0,1.0,10.266,29.509,0.033
0.0,1.0,8.212,23.612,0.049
0.0,1.0,9.449,26.409,0.039
0.018,0.969,9.502,26.22,0.046
0.054,0.864,5.631,15.075,0.12
0.0,1.0,10.198,28.251,0.035
0.054,0.88,8.93,24.487,0.063
0.357,0.375,2.912,8.403,0.358
0.0,1.0,9.636,26.742,0.038
0.054,0.912,6.178,16.522,0.106
0.0,1.0,8.095,23.317,0.05
0.0,1.0,10.213,28.463,0.034
0.0,1.0,8.977,24.645,0.044
0.018,0.964,5.416,15.626,0.106
0.0,1.0,8.501,24.071,0.047
0.393,0.241,2.89,7.95,0.38
0.0,1.0,9.994,28.479,0.035
0.0,1.0,9.336,25.58,0.042
0.054,0.864,9.534,25.917,0.058
0.411,0.425,2.042,5.603,0.486
0.054,0.885,5.802,16.845,0.106
0.107,0.793,6.439,17.494,0.117
0.161,0.667,8.512,22.95,0.104
0.054,0.893,7.01,18.27,0.092
0.018,0.962,5.915,17.174,0.092
0.0,1.0,9.274,25.718,0.041
0.0,1.0,11.253,30.965,0.029
0.0,1.0,9.834,28.009,0.036
0.071,0.905,7.211,18.946,0.093
0.0,1.0,6.828,19.637,0.068
0.0,1.0,8.446,24.156,0.047
0.071,0.875,5.14,13.63,0.143
0.018,0.962,9.323,25.755,0.047
0.0,1.0,8.296,22.902,0.051
0.054,0.885,8.538,23.71,0.066
0.054,0.906,6.238,17.616,0.099
0.018,0.964,6.458,18.981,0.079
0.0,1.0,9.434,26.56,0.039
0.25,0.588,9.803,26.897,0.121
0.107,0.829,4.078,11.048,0.199
0.071,0.879,9.347,25.756,0.065
0.179,0.6,5.537,15.912,0.156
