Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.421,0.5,1.753,5.172,0.525
0.921,0.054,0.455,0.496,0.944
0.0,1.0,11.768,34.567,0.024
0.0,1.0,11.763,34.567,0.024
0.0,1.0,9.585,28.52,0.035
0.0,1.0,10.956,32.408,0.028
0.0,1.0,8.36,25.446,0.044
0.0,1.0,9.376,28.134,0.036
0.0,1.0,9.446,28.298,0.036
0.0,1.0,13.484,39.444,0.019
0.0,1.0,8.717,26.212,0.041
0.0,1.0,9.204,27.385,0.038
0.0,1.0,10.474,30.965,0.03
0.263,0.677,5.471,15.845,0.186
0.0,1.0,11.073,32.534,0.027
0.0,1.0,10.332,30.201,0.031
0.0,1.0,12.005,35.166,0.024
0.0,1.0,9.564,28.528,0.035
0.474,0.419,2.717,7.984,0.413
0.0,1.0,8.985,27.09,0.039
0.184,0.788,6.743,19.559,0.13
0.237,0.667,2.101,6.06,0.412
0.289,0.667,2.327,7.007,0.393
0.0,1.0,9.668,28.425,0.035
0.0,1.0,11.503,33.935,0.025
0.0,1.0,9.734,29.198,0.034
0.0,1.0,12.402,36.837,0.022
0.289,0.703,6.552,19.02,0.169
0.0,1.0,12.682,37.134,0.021
0.0,1.0,9.55,28.316,0.036
0.184,0.8,5.518,15.142,0.164
0.158,0.76,5.05,14.156,0.168
0.0,1.0,11.556,33.69,0.025
0.0,1.0,10.29,30.744,0.031
0.0,1.0,8.719,26.403,0.041
0.0,1.0,11.073,33.312,0.026
0.0,1.0,9.477,28.245,0.036
0.0,1.0,10.279,30.927,0.03
0.0,1.0,12.125,35.732,0.023
0.0,1.0,11.731,35.039,0.024
0.0,1.0,11.282,32.924,0.027
0.184,0.682,5.707,15.827,0.158
0.0,1.0,10.163,30.224,0.032
0.0,1.0,11.559,33.728,0.025
0.184,0.75,4.226,12.178,0.208
0.0,1.0,9.482,28.493,0.035
0.0,1.0,10.766,31.522,0.029
0.184,0.767,3.615,10.69,0.239
0.0,1.0,9.423,28.172,0.036
0.0,1.0,11.212,33.179,0.026
0.0,1.0,11.81,34.928,0.024
0.0,1.0,10.253,30.415,0.031
0.0,1.0,8.852,26.43,0.041
0.0,1.0,10.012,29.446,0.033
0.0,1.0,11.339,33.479,0.026
0.0,1.0,13.086,38.615,0.02
0.0,1.0,9.898,28.962,0.034
0.0,1.0,12.296,36.027,0.022
0.0,1.0,12.612,37.025,0.021
0.079,0.903,5.335,15.217,0.13
0.0,1.0,10.556,31.455,0.029
0.0,1.0,8.127,24.594,0.047
0.0,1.0,10.504,31.403,0.029
0.0,1.0,10.851,32.919,0.027
0.0,1.0,10.735,31.448,0.029
0.263,0.643,2.897,8.651,0.322
0.079,0.903,5.324,14.658,0.135
0.0,1.0,10.564,30.856,0.03
0.0,1.0,10.153,30.075,0.032
0.0,1.0,8.531,25.823,0.043
0.079,0.909,7.003,20.254,0.091
0.0,1.0,11.814,34.805,0.024
0.0,1.0,12.633,36.924,0.021
0.158,0.8,4.72,13.441,0.178
0.0,1.0,11.27,33.698,0.026
0.0,1.0,9.908,29.781,0.033
0.026,0.967,8.121,24.107,0.057
0.0,1.0,10.285,31.024,0.03
0.0,1.0,9.829,29.194,0.034
0.026,0.97,4.588,14.379,0.127
0.0,1.0,11.88,34.949,0.024
0.0,1.0,12.774,37.278,0.021
0.0,1.0,13.956,40.741,0.018
0.0,1.0,12.817,37.395,0.021
0.0,1.0,9.852,29.174,0.034
0.0,1.0,9.613,28.989,0.034
0.0,1.0,11.471,33.797,0.025
0.0,1.0,9.163,27.162,0.038
0.0,1.0,13.072,38.074,0.02
0.0,1.0,10.783,32.232,0.028
0.0,1.0,11.448,33.551,0.026
0.0,1.0,12.575,36.721,0.022
0.0,1.0,8.773,26.496,0.041
0.0,1.0,9.699,28.744,0.035
0.0,1.0,12.038,35.341,0.023
0.0,1.0,11.33,33.799,0.026
0.0,1.0,10.201,30.69,0.031
0.0,1.0,11.144,32.611,0.027
0.0,1.0,10.1,30.017,0.032
0.0,1.0,11.695,34.569,0.024
