Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.022,0.364,0.379,0.981
0.178,0.814,5.766,11.421,0.199
0.2,0.809,5.33,10.592,0.222
0.044,0.952,3.459,7.26,0.26
0.2,0.667,2.448,5.125,0.402
0.333,0.595,3.407,7.216,0.359
0.2,0.78,4.127,9.592,0.252
0.111,0.839,5.633,11.296,0.18
0.156,0.781,5.303,10.787,0.204
0.022,0.968,7.688,19.471,0.073
0.133,0.824,5.771,11.482,0.184
0.111,0.792,5.388,11.19,0.183
0.067,0.889,8.928,19.994,0.082
0.133,0.857,5.723,11.778,0.18
0.022,0.977,9.374,22.931,0.056
0.222,0.737,2.747,5.501,0.386
0.022,0.966,9.537,22.513,0.057
0.2,0.7,3.271,8.222,0.297
0.044,0.938,10.72,24.591,0.057
0.156,0.75,5.434,10.863,0.202
0.244,0.711,4.37,9.552,0.264
0.111,0.839,5.275,12.029,0.173
0.156,0.774,3.036,6.139,0.336
0.089,0.826,4.596,9.556,0.209
0.111,0.861,5.957,15.342,0.135
0.111,0.737,4.472,10.368,0.205
0.0,1.0,7.978,18.368,0.07
0.022,0.966,4.625,9.53,0.187
0.0,1.0,9.574,23.441,0.047
0.111,0.839,5.249,14.157,0.151
0.022,0.971,7.972,21.247,0.065
0.133,0.812,5.32,11.155,0.191
0.022,0.967,5.616,11.603,0.146
0.333,0.516,3.901,10.004,0.294
0.0,1.0,8.34,19.774,0.062
0.0,1.0,4.389,10.138,0.172
0.222,0.655,2.761,5.945,0.374
0.067,0.87,7.038,15.546,0.113
0.2,0.75,7.16,16.065,0.154
0.133,0.769,5.87,11.751,0.179
0.2,0.769,3.955,8.534,0.275
0.067,0.921,7.335,18.484,0.094
0.089,0.867,4.027,9.741,0.214
0.133,0.714,5.887,11.951,0.177
0.0,1.0,8.793,21.952,0.053
0.067,0.893,4.143,9.403,0.211
0.0,1.0,8.848,21.743,0.054
0.089,0.846,5.405,11.012,0.178
0.0,1.0,10.669,25.459,0.04
0.067,0.912,5.986,13.024,0.141
0.222,0.714,4.878,10.686,0.232
0.022,0.96,5.257,13.038,0.132
0.044,0.946,6.28,16.605,0.102
0.111,0.783,5.951,12.658,0.161
0.067,0.897,7.688,18.564,0.092
0.0,1.0,7.701,20.829,0.06
0.0,1.0,10.302,25.354,0.041
0.022,0.963,8.012,19.944,0.07
0.2,0.667,4.83,10.162,0.233
0.067,0.88,6.69,14.389,0.124
0.111,0.833,4.945,10.681,0.194
0.044,0.92,7.494,16.73,0.096
0.0,1.0,11.419,27.65,0.034
0.489,0.185,1.971,4.659,0.542
0.178,0.733,4.176,10.716,0.226
0.0,1.0,12.636,29.299,0.031
0.089,0.789,5.511,11.478,0.171
0.067,0.864,10.224,23.81,0.067
0.044,0.929,5.431,10.88,0.165
0.044,0.92,9.426,21.489,0.068
0.022,0.963,4.394,9.021,0.199
0.022,0.96,9.357,22.575,0.057
0.022,0.97,9.04,21.29,0.062
0.467,0.125,2.134,5.402,0.503
0.022,0.968,6.323,15.744,0.1
0.044,0.944,4.799,10.483,0.177
0.044,0.933,9.8,23.074,0.062
0.0,1.0,11.673,27.195,0.035
0.0,1.0,9.243,21.803,0.053
0.022,0.964,9.521,21.978,0.059
0.133,0.727,6.065,13.236,0.161
0.133,0.727,4.259,9.306,0.233
0.089,0.84,8.722,19.748,0.091
0.089,0.852,3.67,7.635,0.262
0.133,0.76,6.55,14.098,0.15
0.156,0.811,6.212,16.072,0.143
0.0,1.0,7.389,17.759,0.075
0.044,0.917,6.289,13.655,0.126
0.0,1.0,4.205,8.861,0.197
0.022,0.957,8.598,20.56,0.066
0.156,0.731,5.554,13.607,0.168
0.067,0.912,7.518,18.224,0.095
0.067,0.897,6.482,14.386,0.125
0.0,1.0,8.635,22.529,0.051
0.067,0.885,8.38,19.569,0.085
0.244,0.542,2.829,6.126,0.374
0.133,0.769,4.759,10.603,0.205
0.067,0.875,6.691,14.752,0.121
0.089,0.84,5.792,11.789,0.165
0.044,0.92,8.345,20.478,0.074
