Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.533,0.636,1.597,5.963,0.557
0.433,0.675,2.636,9.41,0.376
0.167,0.828,2.969,10.855,0.25
0.933,0.0,0.127,0.458,0.974
0.233,0.731,1.866,7.016,0.407
0.367,0.56,1.667,6.282,0.487
0.333,0.655,2.545,9.037,0.354
0.1,0.912,3.347,12.693,0.192
0.267,0.68,2.55,9.343,0.326
0.0,1.0,5.511,20.778,0.071
0.1,0.875,3.297,12.423,0.197
0.533,0.515,1.876,6.687,0.514
0.033,0.96,5.25,19.452,0.09
0.133,0.882,2.983,11.225,0.233
0.067,0.905,3.028,11.54,0.205
0.033,0.963,5.765,21.285,0.078
0.233,0.767,3.459,12.761,0.233
0.433,0.581,2.737,9.808,0.364
0.1,0.88,2.56,9.587,0.265
0.0,1.0,5.473,20.459,0.072
0.3,0.55,3.005,11.125,0.289
0.0,1.0,3.354,12.774,0.158
0.0,1.0,4.293,16.349,0.107
0.133,0.826,3.709,13.727,0.184
0.167,0.792,3.813,14.064,0.189
0.167,0.808,3.644,13.425,0.199
0.1,0.875,3.575,13.433,0.179
0.4,0.556,1.879,6.964,0.463
0.333,0.444,2.887,10.555,0.313
0.233,0.741,2.624,9.762,0.304
0.0,1.0,5.962,22.283,0.062
0.367,0.607,2.723,10.112,0.338
0.033,0.962,3.256,12.384,0.176
0.367,0.56,1.884,6.727,0.457
0.2,0.75,3.806,14.038,0.201
0.0,1.0,5.636,20.942,0.069
0.4,0.625,1.757,6.352,0.488
0.0,1.0,5.21,19.804,0.077
0.0,1.0,6.624,24.634,0.052
0.0,1.0,5.648,21.286,0.068
0.1,0.893,3.484,12.884,0.187
0.0,1.0,5.98,22.58,0.061
0.0,1.0,5.754,21.407,0.067
0.0,1.0,5.823,21.552,0.066
0.067,0.941,5.561,20.561,0.093
0.3,0.71,3.232,11.822,0.273
0.0,1.0,5.434,20.095,0.074
0.0,1.0,5.473,20.523,0.072
0.2,0.739,3.243,11.883,0.238
0.0,1.0,6.201,23.438,0.057
0.0,1.0,5.286,20.09,0.075
0.133,0.846,3.411,12.671,0.202
0.167,0.8,4.471,16.692,0.158
0.0,1.0,6.265,23.493,0.057
0.267,0.692,2.438,9.27,0.333
0.0,1.0,6.12,23.214,0.058
0.0,1.0,6.111,22.805,0.06
0.267,0.636,2.348,8.746,0.347
0.0,1.0,6.681,25.159,0.05
0.0,1.0,5.762,21.593,0.066
0.0,1.0,5.219,19.452,0.079
0.033,0.957,5.984,22.129,0.074
0.0,1.0,5.855,22.244,0.063
0.2,0.7,2.366,8.67,0.326
0.233,0.708,2.786,10.032,0.292
0.367,0.522,2.537,9.347,0.359
0.2,0.793,3.538,13.065,0.217
0.0,1.0,5.513,20.405,0.072
0.0,1.0,6.741,25.221,0.05
0.133,0.789,3.337,12.218,0.209
0.2,0.6,4.012,14.837,0.19
0.2,0.739,3.691,13.614,0.207
0.067,0.889,3.643,13.413,0.166
0.233,0.682,2.782,10.259,0.289
0.233,0.781,3.232,11.768,0.251
0.0,1.0,6.314,23.573,0.056
0.467,0.44,1.269,4.84,0.602
0.167,0.706,2.549,9.588,0.288
0.0,1.0,6.022,22.772,0.06
0.0,1.0,5.331,19.737,0.077
0.0,1.0,5.895,22.101,0.063
0.0,1.0,5.59,20.976,0.069
0.0,1.0,5.763,21.624,0.066
0.0,1.0,5.62,20.975,0.069
0.267,0.724,2.67,9.586,0.316
0.133,0.818,3.32,12.168,0.21
0.0,1.0,6.572,24.55,0.052
0.0,1.0,5.593,20.81,0.07
0.0,1.0,6.836,25.482,0.049
0.2,0.7,2.59,9.388,0.301
0.0,1.0,5.511,20.464,0.072
0.2,0.786,2.66,10.104,0.285
0.3,0.5,2.046,7.398,0.406
0.267,0.619,3.462,12.769,0.244
0.033,0.944,4.6,17.118,0.109
0.0,1.0,6.366,23.919,0.055
0.0,1.0,5.852,21.756,0.065
0.0,1.0,5.647,21.088,0.069
0.033,0.958,5.491,20.329,0.084
0.033,0.941,4.887,18.331,0.099
