Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.943,0.18,0.554,0.991,0.937
0.0,1.0,15.716,37.432,0.019
0.057,0.952,11.705,23.18,0.064
0.057,0.935,6.337,16.158,0.109
0.283,0.615,2.658,5.965,0.398
0.019,0.973,13.175,27.379,0.04
0.0,1.0,12.13,31.218,0.028
0.0,1.0,14.856,36.319,0.021
0.132,0.857,7.005,16.465,0.129
0.0,1.0,15.131,38.456,0.019
0.057,0.953,14.86,33.115,0.043
0.0,1.0,14.663,34.671,0.022
0.189,0.792,6.608,15.256,0.158
0.0,1.0,12.973,31.777,0.027
0.0,1.0,9.315,22.353,0.051
0.0,1.0,16.141,37.896,0.019
0.057,0.927,12.241,24.038,0.061
0.0,1.0,16.036,37.748,0.019
0.0,1.0,15.304,36.147,0.021
0.0,1.0,16.446,38.17,0.018
0.0,1.0,15.868,38.932,0.018
0.0,1.0,16.849,39.396,0.017
0.075,0.917,11.313,22.396,0.073
0.189,0.762,3.88,10.0,0.246
0.151,0.843,5.787,13.108,0.17
0.0,1.0,12.577,31.781,0.027
0.057,0.94,11.473,22.96,0.065
0.019,0.977,10.755,24.0,0.05
0.038,0.931,13.287,28.741,0.044
0.0,1.0,11.662,31.437,0.028
0.0,1.0,20.912,51.512,0.011
0.0,1.0,11.628,29.089,0.032
0.0,1.0,11.232,28.162,0.034
0.17,0.795,7.727,17.949,0.13
0.0,1.0,14.394,34.591,0.023
0.0,1.0,14.407,34.807,0.022
0.038,0.959,11.461,24.006,0.055
0.0,1.0,16.229,41.913,0.016
0.057,0.945,10.116,20.975,0.073
0.0,1.0,15.68,35.484,0.021
0.0,1.0,10.716,27.868,0.035
0.0,1.0,13.118,28.49,0.032
0.0,1.0,15.334,34.467,0.022
0.0,1.0,16.304,38.306,0.018
0.0,1.0,23.181,55.042,0.009
0.038,0.953,9.869,20.848,0.068
0.0,1.0,14.07,31.681,0.026
0.0,1.0,8.605,22.451,0.052
0.0,1.0,12.111,29.806,0.03
0.0,1.0,16.342,36.898,0.02
0.0,1.0,13.582,35.29,0.022
0.0,1.0,14.114,31.464,0.026
0.057,0.942,13.02,26.931,0.053
0.0,1.0,13.769,34.614,0.023
0.0,1.0,21.45,54.294,0.01
0.0,1.0,19.433,44.729,0.014
0.038,0.949,14.294,30.469,0.04
0.038,0.956,13.383,27.733,0.045
0.0,1.0,13.332,32.972,0.025
0.0,1.0,21.21,49.549,0.011
0.0,1.0,14.198,31.605,0.026
0.17,0.769,13.045,30.524,0.085
0.0,1.0,15.397,38.479,0.019
0.0,1.0,13.445,27.766,0.033
0.019,0.974,12.533,25.021,0.045
0.057,0.941,11.523,22.538,0.066
0.057,0.903,12.29,25.412,0.057
0.0,1.0,16.736,38.673,0.018
0.0,1.0,20.006,45.387,0.013
0.0,1.0,21.612,52.512,0.01
0.0,1.0,18.432,45.05,0.014
0.0,1.0,21.973,52.915,0.01
0.0,1.0,19.901,49.465,0.011
0.0,1.0,13.731,33.387,0.024
0.0,1.0,7.609,20.216,0.063
0.0,1.0,15.89,36.423,0.02
0.113,0.857,7.338,18.24,0.111
0.0,1.0,15.803,37.037,0.02
0.189,0.706,3.923,8.41,0.274
0.0,1.0,14.818,37.782,0.019
0.0,1.0,21.371,53.304,0.01
0.0,1.0,17.777,41.075,0.016
0.0,1.0,15.346,38.324,0.019
0.0,1.0,15.149,38.538,0.019
0.094,0.894,8.088,17.466,0.106
0.0,1.0,22.233,56.295,0.009
0.0,1.0,14.066,36.495,0.021
0.0,1.0,15.385,39.216,0.018
0.0,1.0,10.91,27.801,0.035
0.038,0.913,13.899,30.367,0.041
0.0,1.0,15.66,37.952,0.019
0.0,1.0,22.139,58.0,0.009
0.0,1.0,15.68,37.916,0.019
0.038,0.947,10.531,22.637,0.06
0.038,0.941,13.334,31.807,0.039
0.0,1.0,9.078,22.853,0.049
0.0,1.0,15.997,38.267,0.019
0.0,1.0,17.44,40.436,0.017
0.019,0.972,10.775,25.419,0.046
0.0,1.0,14.747,37.197,0.02
