Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.953,0.089,0.676,0.633,0.926
0.0,1.0,11.156,28.823,0.033
0.14,0.846,7.879,16.36,0.129
0.326,0.44,2.161,4.819,0.469
0.0,1.0,14.609,34.584,0.022
0.0,1.0,23.762,62.137,0.007
0.116,0.839,4.408,11.122,0.196
0.0,1.0,14.856,35.441,0.021
0.0,1.0,22.223,60.243,0.008
0.0,1.0,13.538,31.746,0.026
0.0,1.0,12.336,30.155,0.029
0.0,1.0,13.993,34.52,0.023
0.163,0.851,8.611,18.733,0.121
0.0,1.0,21.588,56.16,0.009
0.093,0.867,7.638,17.234,0.109
0.0,1.0,19.035,48.012,0.012
0.0,1.0,21.938,59.309,0.008
0.0,1.0,26.419,70.082,0.006
0.0,1.0,21.584,57.489,0.009
0.0,1.0,26.717,71.263,0.006
0.0,1.0,19.196,48.515,0.012
0.0,1.0,19.346,51.488,0.011
0.0,1.0,20.503,52.568,0.01
0.0,1.0,21.132,54.314,0.01
0.0,1.0,20.225,53.901,0.01
0.0,1.0,25.914,68.335,0.006
0.0,1.0,20.028,51.216,0.011
0.0,1.0,12.865,33.087,0.025
0.0,1.0,20.048,51.334,0.011
0.0,1.0,13.218,31.801,0.026
0.163,0.788,5.941,14.268,0.162
0.14,0.833,7.335,15.233,0.139
0.0,1.0,12.104,29.394,0.031
0.0,1.0,11.002,28.296,0.034
0.0,1.0,21.732,57.721,0.009
0.0,1.0,25.762,68.453,0.006
0.0,1.0,24.415,64.871,0.007
0.0,1.0,23.227,62.442,0.007
0.116,0.833,9.293,20.474,0.096
0.0,1.0,13.203,33.176,0.025
0.0,1.0,25.98,70.124,0.006
0.0,1.0,13.03,33.111,0.025
0.093,0.895,5.702,13.085,0.151
0.07,0.912,7.633,15.682,0.111
0.349,0.483,2.303,5.12,0.46
0.0,1.0,13.606,33.503,0.024
0.14,0.8,6.881,15.569,0.138
0.093,0.84,4.86,12.74,0.163
0.0,1.0,12.065,30.644,0.029
0.093,0.895,8.021,16.812,0.11
0.116,0.808,6.873,14.816,0.136
0.0,1.0,13.557,33.244,0.024
0.0,1.0,18.524,48.008,0.012
0.023,0.96,11.15,25.873,0.046
0.0,1.0,22.858,59.692,0.008
0.0,1.0,21.712,56.948,0.009
0.0,1.0,18.235,45.103,0.014
0.372,0.484,2.358,5.748,0.449
0.0,1.0,13.838,33.57,0.024
0.0,1.0,12.995,30.337,0.029
0.0,1.0,13.157,33.511,0.024
0.0,1.0,20.819,54.776,0.01
0.0,1.0,21.03,56.005,0.009
0.0,1.0,20.915,53.489,0.01
0.0,1.0,28.733,77.099,0.005
0.0,1.0,11.788,29.08,0.032
0.0,1.0,13.226,32.828,0.025
0.0,1.0,12.663,29.544,0.03
0.0,1.0,27.205,72.833,0.005
0.0,1.0,28.354,75.161,0.005
0.0,1.0,24.327,63.891,0.007
0.0,1.0,23.729,64.388,0.007
0.0,1.0,23.438,61.169,0.008
0.0,1.0,25.804,68.2,0.006
0.0,1.0,25.853,68.349,0.006
0.0,1.0,10.324,27.238,0.036
0.0,1.0,21.924,59.078,0.008
0.0,1.0,13.05,32.008,0.026
0.047,0.923,10.722,25.808,0.055
0.0,1.0,24.334,65.588,0.007
0.14,0.769,6.825,15.331,0.14
0.0,1.0,21.809,56.873,0.009
0.023,0.968,8.169,22.122,0.062
0.0,1.0,20.049,54.408,0.01
0.0,1.0,22.391,60.475,0.008
0.0,1.0,10.413,27.796,0.035
0.0,1.0,30.115,80.205,0.005
0.0,1.0,26.994,71.692,0.006
0.0,1.0,19.222,49.011,0.012
0.116,0.857,7.255,15.507,0.129
0.0,1.0,26.102,69.113,0.006
0.0,1.0,15.756,37.486,0.019
0.0,1.0,23.048,60.411,0.008
0.0,1.0,25.952,69.635,0.006
0.0,1.0,24.154,63.186,0.007
0.0,1.0,24.861,67.021,0.006
0.0,1.0,21.998,57.645,0.009
0.0,1.0,11.579,29.892,0.03
0.0,1.0,26.3,69.506,0.006
0.0,1.0,8.904,21.573,0.054
