Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.969,0.0,0.38,0.889,0.966
0.0,1.0,15.162,41.149,0.017
0.0,1.0,16.39,39.755,0.017
0.0,1.0,19.096,52.905,0.01
0.0,1.0,15.337,45.588,0.014
0.0,1.0,14.582,35.11,0.022
0.015,0.973,12.941,35.785,0.027
0.0,1.0,14.899,38.526,0.019
0.0,1.0,10.464,26.0,0.039
0.0,1.0,17.389,44.377,0.014
0.0,1.0,17.362,42.568,0.015
0.0,1.0,17.574,46.783,0.013
0.0,1.0,16.355,40.504,0.017
0.0,1.0,14.944,41.599,0.017
0.0,1.0,15.643,45.614,0.014
0.0,1.0,17.226,48.708,0.012
0.0,1.0,13.063,35.349,0.023
0.0,1.0,13.494,37.128,0.021
0.0,1.0,16.456,43.616,0.015
0.0,1.0,10.064,25.474,0.041
0.0,1.0,16.856,44.295,0.014
0.0,1.0,15.308,35.252,0.021
0.0,1.0,12.748,28.245,0.032
0.0,1.0,11.772,32.363,0.027
0.0,1.0,14.406,40.101,0.018
0.0,1.0,16.667,42.886,0.015
0.0,1.0,13.181,36.104,0.022
0.015,0.979,15.035,37.538,0.025
0.0,1.0,19.177,49.805,0.011
0.0,1.0,18.437,48.051,0.012
0.0,1.0,12.895,33.681,0.024
0.0,1.0,12.363,32.143,0.027
0.0,1.0,19.003,49.118,0.012
0.0,1.0,17.003,41.845,0.016
0.031,0.935,14.071,37.725,0.03
0.0,1.0,11.647,26.737,0.036
0.0,1.0,17.45,46.178,0.013
0.0,1.0,15.77,43.364,0.015
0.0,1.0,15.882,45.898,0.014
0.031,0.955,6.093,14.39,0.116
0.0,1.0,16.121,40.515,0.017
0.031,0.956,9.779,23.788,0.056
0.0,1.0,18.9,48.795,0.012
0.0,1.0,18.893,52.769,0.011
0.062,0.882,9.848,19.448,0.082
0.0,1.0,14.191,39.107,0.019
0.0,1.0,15.532,39.101,0.018
0.0,1.0,14.754,38.889,0.019
0.0,1.0,19.539,50.359,0.011
0.0,1.0,16.09,46.017,0.014
0.0,1.0,14.147,31.745,0.026
0.0,1.0,17.202,42.149,0.016
0.0,1.0,19.718,51.439,0.011
0.0,1.0,9.344,21.955,0.052
0.0,1.0,18.087,46.976,0.013
0.0,1.0,18.254,53.068,0.011
0.0,1.0,14.825,37.531,0.02
0.0,1.0,20.433,55.953,0.009
0.0,1.0,15.105,42.531,0.016
0.0,1.0,17.889,49.905,0.012
0.0,1.0,10.501,27.285,0.036
0.0,1.0,15.762,39.291,0.018
0.0,1.0,14.503,36.303,0.021
0.0,1.0,18.36,50.354,0.011
0.0,1.0,15.093,33.335,0.024
0.0,1.0,19.095,48.617,0.012
0.015,0.974,11.917,26.105,0.042
0.0,1.0,18.282,49.733,0.012
0.169,0.776,6.973,19.039,0.127
0.0,1.0,19.676,53.659,0.01
0.0,1.0,18.213,46.334,0.013
0.0,1.0,18.847,52.458,0.011
0.0,1.0,15.56,38.789,0.018
0.046,0.923,11.146,28.698,0.048
0.0,1.0,12.088,32.207,0.027
0.0,1.0,20.152,55.14,0.01
0.0,1.0,15.999,42.103,0.016
0.0,1.0,18.61,51.423,0.011
0.0,1.0,18.351,51.097,0.011
0.031,0.946,10.762,21.298,0.062
0.0,1.0,12.503,27.667,0.033
0.0,1.0,16.464,47.502,0.013
0.0,1.0,13.833,38.294,0.02
0.015,0.976,11.796,27.632,0.039
0.0,1.0,13.982,37.577,0.02
0.0,1.0,13.878,35.167,0.022
0.0,1.0,15.707,38.888,0.018
0.0,1.0,17.311,47.348,0.013
0.0,1.0,18.658,49.033,0.012
0.0,1.0,9.747,27.589,0.037
0.0,1.0,14.513,43.084,0.016
0.0,1.0,18.274,44.506,0.014
0.0,1.0,14.512,35.89,0.021
0.0,1.0,10.675,29.64,0.032
0.0,1.0,13.609,33.52,0.024
0.0,1.0,12.799,35.306,0.023
0.0,1.0,14.784,42.457,0.016
0.0,1.0,16.355,37.866,0.019
0.077,0.833,11.481,23.408,0.07
0.0,1.0,16.097,43.558,0.015
