Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.971,0.083,0.421,0.755,0.963
0.0,1.0,8.567,26.11,0.042
0.382,0.618,2.969,7.571,0.381
0.0,1.0,8.686,26.165,0.041
0.265,0.735,5.133,13.546,0.209
0.0,1.0,9.177,26.373,0.04
0.118,0.789,5.142,12.488,0.171
0.0,1.0,9.18,25.634,0.042
0.0,1.0,8.814,26.366,0.041
0.088,0.875,8.997,25.159,0.073
0.147,0.808,4.597,11.719,0.196
0.088,0.786,6.671,20.1,0.096
0.559,0.406,1.847,5.57,0.552
0.0,1.0,10.577,30.324,0.031
0.0,1.0,12.769,35.388,0.023
0.235,0.75,5.718,13.712,0.192
0.0,1.0,9.594,28.406,0.035
0.0,1.0,11.292,31.666,0.028
0.0,1.0,9.018,27.157,0.039
0.294,0.375,2.621,7.692,0.364
0.382,0.519,3.528,10.822,0.306
0.0,1.0,7.718,23.907,0.05
0.235,0.636,3.322,9.158,0.289
0.118,0.75,6.717,18.068,0.115
0.0,1.0,11.427,31.699,0.028
0.029,0.955,6.637,18.143,0.086
0.0,1.0,7.686,23.475,0.051
0.0,1.0,11.747,33.326,0.026
0.324,0.542,5.884,14.573,0.213
0.588,0.167,1.763,4.917,0.586
0.0,1.0,13.352,38.624,0.02
0.0,1.0,9.626,27.966,0.036
0.324,0.542,2.511,7.061,0.393
0.0,1.0,11.031,31.155,0.029
0.0,1.0,12.62,35.897,0.022
0.0,1.0,8.859,26.756,0.04
0.0,1.0,6.318,19.275,0.072
0.0,1.0,9.533,28.238,0.036
0.029,0.958,5.679,15.193,0.111
0.0,1.0,5.826,17.839,0.082
0.029,0.958,6.095,18.667,0.086
0.0,1.0,9.394,27.639,0.037
0.176,0.684,4.081,10.465,0.231
0.176,0.824,5.127,12.548,0.19
0.0,1.0,14.788,41.432,0.017
0.0,1.0,5.077,14.962,0.108
0.0,1.0,11.18,31.086,0.029
0.0,1.0,7.569,23.542,0.051
0.0,1.0,10.669,29.584,0.032
0.294,0.444,3.215,9.641,0.303
0.059,0.917,8.664,23.6,0.068
0.0,1.0,10.52,30.238,0.031
0.0,1.0,12.461,35.754,0.023
0.0,1.0,13.338,37.978,0.02
0.029,0.952,4.546,13.849,0.134
0.0,1.0,10.427,30.495,0.031
0.029,0.957,4.642,12.582,0.146
0.059,0.913,7.939,23.117,0.071
0.0,1.0,14.423,39.683,0.018
0.176,0.727,5.037,13.511,0.18
0.0,1.0,11.559,32.321,0.027
0.0,1.0,14.085,38.126,0.02
0.0,1.0,11.163,32.03,0.028
0.118,0.833,8.13,24.322,0.086
0.0,1.0,11.124,32.674,0.027
0.088,0.857,3.527,8.824,0.241
0.088,0.88,6.419,19.364,0.101
0.0,1.0,10.913,32.159,0.028
0.0,1.0,14.319,39.015,0.019
0.059,0.92,8.34,24.511,0.066
0.088,0.889,4.286,10.638,0.196
0.059,0.92,3.203,8.552,0.245
0.0,1.0,9.573,27.841,0.036
0.324,0.656,5.14,12.704,0.237
0.176,0.76,3.842,9.478,0.252
0.0,1.0,11.398,32.067,0.028
0.0,1.0,7.772,24.325,0.048
0.0,1.0,10.505,30.541,0.031
0.0,1.0,5.381,15.69,0.1
0.118,0.8,3.202,8.532,0.265
0.0,1.0,8.386,23.489,0.049
0.0,1.0,9.755,28.97,0.034
0.0,1.0,12.393,35.58,0.023
0.0,1.0,11.526,32.914,0.026
0.176,0.667,6.148,17.272,0.143
0.0,1.0,8.947,26.365,0.04
0.353,0.25,3.083,8.322,0.352
0.118,0.826,5.298,15.155,0.144
0.0,1.0,9.46,26.832,0.039
0.029,0.947,10.421,29.116,0.043
0.0,1.0,7.528,22.994,0.053
0.059,0.905,6.678,19.463,0.089
0.0,1.0,12.679,35.797,0.022
0.0,1.0,9.438,28.186,0.036
0.0,1.0,11.587,33.802,0.025
0.0,1.0,13.634,38.763,0.019
0.0,1.0,8.97,26.341,0.041
0.0,1.0,10.189,29.967,0.032
0.147,0.783,4.795,13.068,0.178
0.147,0.821,6.61,17.521,0.129
