Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.902,0.026,0.373,0.327,0.948
0.098,0.833,3.873,11.705,0.191
0.098,0.826,3.267,10.456,0.223
0.098,0.846,5.395,17.504,0.12
0.098,0.852,3.964,12.423,0.181
0.098,0.871,3.289,10.475,0.222
0.146,0.727,4.519,14.209,0.17
0.049,0.939,6.354,20.423,0.083
0.073,0.88,3.224,10.405,0.217
0.0,1.0,7.247,23.2,0.053
0.341,0.611,1.45,4.376,0.55
0.22,0.679,2.33,7.579,0.357
0.073,0.885,3.952,11.949,0.178
0.073,0.85,3.867,11.755,0.182
0.122,0.828,4.038,12.72,0.184
0.098,0.8,2.929,9.46,0.251
0.0,1.0,6.719,21.932,0.059
0.122,0.815,4.061,12.336,0.188
0.146,0.727,3.776,11.943,0.206
0.024,0.964,6.501,20.92,0.072
0.098,0.81,4.139,12.552,0.176
0.073,0.889,4.499,14.029,0.147
0.171,0.731,2.94,9.109,0.281
0.073,0.87,4.564,14.262,0.144
0.341,0.44,2.057,6.394,0.442
0.049,0.882,4.531,14.592,0.134
0.024,0.967,3.657,11.923,0.168
0.098,0.81,4.039,12.293,0.181
0.122,0.844,4.756,15.735,0.146
0.098,0.862,5.101,16.234,0.131
0.146,0.806,4.203,12.842,0.188
0.0,1.0,7.3,23.526,0.052
0.024,0.964,5.963,19.361,0.082
0.0,1.0,7.972,25.899,0.044
0.0,1.0,8.26,26.391,0.042
0.122,0.762,3.987,12.199,0.191
0.049,0.933,7.858,25.324,0.062
0.0,1.0,6.716,22.119,0.059
0.0,1.0,6.895,22.772,0.056
0.024,0.955,5.642,18.158,0.09
0.0,1.0,7.041,22.618,0.056
0.073,0.903,5.152,16.638,0.119
0.073,0.88,3.42,11.366,0.198
0.195,0.714,2.979,9.416,0.282
0.049,0.889,3.973,12.431,0.164
0.0,1.0,6.238,20.535,0.067
0.049,0.913,4.783,15.077,0.126
0.244,0.677,3.968,11.992,0.234
0.024,0.958,6.354,20.877,0.073
0.317,0.594,1.931,5.993,0.454
0.024,0.96,6.584,21.728,0.069
0.024,0.962,6.597,21.603,0.069
0.0,1.0,7.242,23.527,0.052
0.146,0.739,6.207,20.386,0.117
0.341,0.3,1.608,4.864,0.52
0.0,1.0,6.754,22.23,0.058
0.0,1.0,8.959,28.685,0.036
0.0,1.0,7.969,25.365,0.045
0.0,1.0,7.306,23.715,0.051
0.0,1.0,8.005,26.006,0.043
0.293,0.556,3.669,11.827,0.259
0.366,0.423,1.637,5.084,0.52
0.0,1.0,8.599,27.647,0.039
0.0,1.0,7.77,25.109,0.046
0.0,1.0,7.367,23.716,0.051
0.0,1.0,5.79,19.098,0.076
0.0,1.0,6.563,21.0,0.063
0.0,1.0,6.634,21.697,0.061
0.0,1.0,6.939,22.727,0.056
0.049,0.909,6.19,20.059,0.085
0.0,1.0,6.099,19.736,0.071
0.0,1.0,7.912,25.83,0.044
0.0,1.0,7.823,25.195,0.046
0.268,0.5,1.644,5.066,0.487
0.073,0.857,4.304,13.572,0.154
0.049,0.92,7.547,24.193,0.066
0.0,1.0,7.649,24.505,0.048
0.0,1.0,8.137,26.395,0.042
0.049,0.913,4.95,16.383,0.115
0.098,0.818,4.905,15.481,0.138
0.0,1.0,8.15,26.278,0.042
0.0,1.0,7.059,23.335,0.053
0.0,1.0,5.627,18.887,0.078
0.0,1.0,6.849,22.252,0.058
0.049,0.889,6.657,22.016,0.076
0.171,0.72,4.455,14.18,0.179
0.122,0.762,4.011,12.134,0.191
0.0,1.0,8.99,28.946,0.035
0.0,1.0,6.912,22.52,0.057
0.024,0.967,6.107,19.602,0.08
0.0,1.0,8.166,27.027,0.041
0.024,0.955,7.304,23.83,0.059
0.049,0.926,7.158,23.035,0.07
0.171,0.682,4.503,15.038,0.171
0.073,0.833,4.989,16.265,0.124
0.0,1.0,7.378,23.873,0.051
0.0,1.0,6.668,21.562,0.061
0.0,1.0,8.686,28.032,0.038
0.049,0.875,3.944,12.033,0.169
0.146,0.667,1.892,5.704,0.407
