Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.982,0.082,0.232,1.006,0.982
0.0,1.0,13.347,32.391,0.026
0.0,1.0,14.361,34.817,0.022
0.0,1.0,17.981,44.42,0.014
0.0,1.0,15.141,37.332,0.02
0.105,0.891,7.585,16.526,0.117
0.0,1.0,13.707,33.437,0.024
0.158,0.795,3.603,8.989,0.259
0.0,1.0,24.018,63.532,0.007
0.053,0.935,4.894,12.615,0.15
0.0,1.0,18.283,49.012,0.012
0.0,1.0,16.759,44.286,0.014
0.0,1.0,16.958,43.8,0.015
0.0,1.0,13.065,33.739,0.024
0.105,0.846,3.228,7.747,0.276
0.0,1.0,17.845,47.721,0.013
0.0,1.0,22.582,59.702,0.008
0.0,1.0,21.272,52.639,0.01
0.0,1.0,18.496,45.903,0.013
0.0,1.0,20.637,54.514,0.01
0.0,1.0,14.477,36.938,0.02
0.0,1.0,22.623,58.533,0.008
0.0,1.0,19.755,52.354,0.01
0.123,0.821,7.9,17.324,0.117
0.0,1.0,13.562,34.555,0.023
0.0,1.0,16.069,41.288,0.016
0.0,1.0,16.363,43.575,0.015
0.0,1.0,19.823,48.756,0.012
0.053,0.917,8.33,19.051,0.083
0.0,1.0,13.827,34.221,0.023
0.0,1.0,14.523,37.361,0.02
0.0,1.0,16.671,41.875,0.016
0.14,0.765,7.659,16.584,0.128
0.0,1.0,19.817,49.161,0.012
0.0,1.0,18.488,49.058,0.012
0.0,1.0,20.115,54.055,0.01
0.0,1.0,18.563,46.755,0.013
0.0,1.0,22.15,58.047,0.009
0.0,1.0,23.874,63.228,0.007
0.0,1.0,12.796,32.655,0.026
0.0,1.0,18.514,46.227,0.013
0.0,1.0,18.782,48.259,0.012
0.0,1.0,24.045,64.043,0.007
0.0,1.0,17.375,46.021,0.013
0.0,1.0,24.535,62.826,0.007
0.07,0.911,8.214,18.255,0.094
0.0,1.0,19.48,52.174,0.011
0.0,1.0,12.94,33.499,0.025
0.0,1.0,14.188,34.687,0.023
0.0,1.0,16.943,42.654,0.015
0.0,1.0,20.837,51.965,0.01
0.0,1.0,13.697,36.097,0.021
0.0,1.0,6.619,16.054,0.089
0.0,1.0,24.451,62.683,0.007
0.0,1.0,18.076,45.502,0.014
0.0,1.0,16.87,42.866,0.015
0.018,0.971,6.638,16.51,0.092
0.0,1.0,23.104,61.541,0.008
0.0,1.0,19.82,51.813,0.011
0.018,0.979,12.12,29.496,0.036
0.0,1.0,12.851,33.402,0.025
0.0,1.0,22.513,60.504,0.008
0.0,1.0,14.495,35.62,0.021
0.0,1.0,14.229,37.842,0.02
0.0,1.0,15.118,38.445,0.019
0.0,1.0,6.745,17.208,0.081
0.053,0.923,10.677,25.786,0.057
0.0,1.0,14.187,36.306,0.021
0.0,1.0,24.327,63.478,0.007
0.0,1.0,24.345,64.498,0.007
0.0,1.0,24.569,63.711,0.007
0.0,1.0,15.727,40.632,0.017
0.0,1.0,12.067,31.157,0.028
0.0,1.0,15.003,36.553,0.02
0.0,1.0,24.848,62.866,0.007
0.0,1.0,9.64,24.84,0.043
0.0,1.0,14.66,36.819,0.02
0.105,0.838,3.468,9.557,0.235
0.0,1.0,15.411,40.345,0.017
0.0,1.0,24.37,63.008,0.007
0.0,1.0,14.677,35.971,0.021
0.0,1.0,23.953,62.851,0.007
0.088,0.865,8.244,18.79,0.097
0.0,1.0,16.147,43.177,0.015
0.0,1.0,14.729,36.843,0.02
0.0,1.0,12.214,31.166,0.028
0.0,1.0,12.766,32.137,0.026
0.0,1.0,24.001,63.271,0.007
0.0,1.0,19.049,50.327,0.011
0.0,1.0,17.263,43.756,0.015
0.0,1.0,24.148,63.731,0.007
0.0,1.0,18.734,46.342,0.013
0.0,1.0,13.51,35.23,0.022
0.0,1.0,14.263,35.707,0.022
0.105,0.85,8.791,20.594,0.093
0.0,1.0,21.583,56.15,0.009
0.0,1.0,20.255,54.035,0.01
0.0,1.0,23.644,61.632,0.008
0.0,1.0,20.313,50.634,0.011
0.0,1.0,13.295,33.127,0.025
