Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.811,0.122,0.496,1.031,0.899
0.094,0.881,3.493,10.476,0.216
0.151,0.805,3.353,10.048,0.245
0.113,0.897,2.218,6.652,0.349
0.057,0.93,3.194,9.712,0.224
0.075,0.92,3.034,9.108,0.246
0.472,0.5,1.599,4.797,0.566
0.094,0.872,3.125,9.372,0.244
0.094,0.872,3.826,11.517,0.193
0.057,0.93,2.852,8.622,0.255
0.113,0.875,3.403,10.163,0.229
0.453,0.385,1.537,4.583,0.572
0.113,0.85,2.869,8.772,0.271
0.132,0.821,3.441,10.302,0.232
0.0,1.0,7.335,23.319,0.052
0.321,0.685,1.788,5.282,0.485
0.132,0.816,2.29,6.865,0.346
0.113,0.885,3.502,10.468,0.222
0.094,0.884,3.372,10.072,0.225
0.17,0.791,2.929,8.864,0.286
0.226,0.676,1.99,6.204,0.414
0.019,0.979,3.459,10.492,0.191
0.094,0.861,3.518,10.696,0.212
0.113,0.85,3.525,10.587,0.219
0.075,0.862,4.232,13.108,0.161
0.132,0.816,3.277,10.164,0.239
0.0,1.0,7.026,22.623,0.056
0.0,1.0,7.099,22.678,0.055
0.0,1.0,6.58,21.058,0.063
0.0,1.0,8.868,28.288,0.037
0.038,0.943,1.853,5.494,0.38
0.17,0.852,1.922,5.753,0.411
0.264,0.696,1.795,5.323,0.465
0.038,0.92,4.234,13.139,0.148
0.132,0.811,3.976,12.12,0.195
0.019,0.967,3.275,10.0,0.204
0.151,0.778,2.858,8.918,0.281
0.0,1.0,4.994,15.713,0.103
0.0,1.0,8.256,26.381,0.042
0.038,0.941,2.396,7.244,0.3
0.0,1.0,7.497,23.913,0.05
0.0,1.0,7.568,24.166,0.049
0.057,0.864,2.618,8.025,0.277
0.057,0.897,3.682,11.082,0.19
0.0,1.0,7.399,23.566,0.052
0.113,0.824,2.939,8.865,0.266
0.057,0.875,3.954,12.11,0.171
0.0,1.0,8.36,26.612,0.041
0.019,0.97,3.85,11.772,0.164
0.0,1.0,7.648,24.516,0.048
0.113,0.812,3.318,9.962,0.235
0.0,1.0,7.955,25.556,0.045
0.283,0.559,1.456,4.302,0.531
0.019,0.968,5.818,18.689,0.084
0.113,0.75,3.155,9.723,0.244
0.321,0.433,2.454,7.582,0.383
0.0,1.0,8.475,26.907,0.04
0.0,1.0,7.454,23.705,0.051
0.0,1.0,7.562,24.038,0.05
0.0,1.0,7.355,23.564,0.052
0.019,0.963,4.662,14.386,0.124
0.0,1.0,8.057,25.706,0.044
0.0,1.0,7.719,24.601,0.048
0.0,1.0,8.288,26.329,0.042
0.094,0.833,3.196,9.702,0.236
0.0,1.0,7.213,23.182,0.053
0.094,0.848,5.476,17.175,0.12
0.0,1.0,6.168,19.819,0.07
0.0,1.0,8.979,28.579,0.036
0.0,1.0,9.986,31.668,0.03
0.0,1.0,7.551,24.197,0.049
0.113,0.7,3.621,11.268,0.207
0.0,1.0,7.773,24.7,0.047
0.075,0.857,4.236,12.969,0.162
0.0,1.0,7.547,24.093,0.05
0.057,0.85,6.506,20.555,0.084
0.302,0.789,2.677,8.071,0.356
0.0,1.0,7.289,23.286,0.053
0.057,0.889,5.001,15.894,0.121
0.057,0.875,3.847,11.662,0.179
0.0,1.0,6.957,22.196,0.057
0.094,0.8,4.786,15.152,0.141
0.17,0.654,3.484,10.636,0.239
0.019,0.955,6.32,19.888,0.076
0.0,1.0,8.222,26.185,0.043
0.0,1.0,7.806,25.026,0.046
0.0,1.0,7.096,22.679,0.055
0.0,1.0,7.39,23.744,0.051
0.0,1.0,10.301,32.771,0.028
0.0,1.0,9.371,29.841,0.033
0.0,1.0,8.824,28.086,0.037
0.019,0.96,7.85,25.231,0.052
0.038,0.926,5.932,18.675,0.09
0.0,1.0,10.183,32.609,0.028
0.0,1.0,7.261,23.325,0.053
0.075,0.818,4.255,13.078,0.161
0.0,1.0,8.814,28.054,0.037
0.057,0.889,4.188,13.355,0.153
0.0,1.0,7.361,23.639,0.051
0.113,0.76,3.817,11.65,0.198
