Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.219,0.774,2.548,7.654,0.343
0.875,0.125,0.422,0.591,0.932
0.188,0.76,3.125,9.604,0.271
0.0,1.0,3.933,12.387,0.149
0.094,0.917,4.247,13.263,0.165
0.281,0.763,2.723,8.31,0.342
0.188,0.793,2.712,8.34,0.31
0.0,1.0,8.855,28.254,0.037
0.0,1.0,8.189,26.231,0.042
0.344,0.686,2.767,8.337,0.36
0.25,0.75,3.463,10.743,0.264
0.094,0.912,3.034,9.25,0.249
0.062,0.957,3.862,12.262,0.173
0.094,0.842,2.962,8.971,0.257
0.0,1.0,6.981,22.325,0.057
0.281,0.719,2.835,8.692,0.33
0.312,0.63,1.47,4.328,0.539
0.062,0.939,3.229,9.731,0.224
0.0,1.0,8.134,26.016,0.043
0.031,0.978,3.763,11.783,0.17
0.188,0.778,2.678,8.045,0.318
0.344,0.703,2.5,7.684,0.386
0.0,1.0,4.356,13.599,0.129
0.0,1.0,8.04,25.698,0.044
0.0,1.0,9.121,29.048,0.035
0.125,0.875,3.346,10.153,0.235
0.0,1.0,9.16,29.253,0.035
0.0,1.0,8.138,26.118,0.043
0.0,1.0,8.709,27.826,0.038
0.0,1.0,8.913,28.537,0.036
0.0,1.0,8.52,27.133,0.04
0.0,1.0,8.135,25.966,0.043
0.344,0.686,1.45,4.494,0.547
0.0,1.0,8.414,26.808,0.041
0.156,0.821,3.386,10.3,0.242
0.062,0.955,3.081,9.71,0.229
0.0,1.0,13.038,42.142,0.017
0.0,1.0,8.53,27.176,0.04
0.312,0.667,3.248,10.078,0.301
0.156,0.881,3.553,11.103,0.226
0.0,1.0,9.135,29.081,0.035
0.0,1.0,9.047,29.043,0.035
0.0,1.0,8.319,26.712,0.041
0.094,0.909,2.97,9.004,0.256
0.0,1.0,8.84,28.218,0.037
0.219,0.8,3.633,11.525,0.239
0.188,0.818,3.051,9.371,0.278
0.125,0.833,2.756,8.253,0.289
0.031,0.963,3.802,11.874,0.168
0.188,0.667,2.309,6.975,0.361
0.25,0.765,2.767,8.4,0.328
0.062,0.9,3.146,9.775,0.226
0.188,0.7,2.644,8.116,0.318
0.188,0.806,3.222,9.913,0.263
0.0,1.0,7.82,25.003,0.046
0.0,1.0,8.949,28.624,0.036
0.0,1.0,9.244,29.485,0.034
0.0,1.0,8.718,27.77,0.038
0.0,1.0,9.002,28.755,0.036
0.0,1.0,8.755,27.99,0.038
0.0,1.0,10.786,34.864,0.025
0.0,1.0,8.835,28.409,0.037
0.125,0.833,3.631,11.052,0.214
0.219,0.811,3.344,10.327,0.263
0.125,0.871,2.526,7.614,0.313
0.0,1.0,7.346,23.548,0.052
0.281,0.719,2.289,6.857,0.396
0.0,1.0,7.578,24.214,0.049
0.219,0.781,2.883,8.775,0.305
0.0,1.0,9.223,29.533,0.034
0.0,1.0,4.294,13.425,0.132
0.281,0.735,2.076,6.479,0.419
0.0,1.0,12.751,41.086,0.018
0.0,1.0,8.88,28.29,0.037
0.094,0.88,2.852,8.668,0.267
0.0,1.0,14.088,45.321,0.015
0.375,0.429,1.951,5.889,0.474
0.0,1.0,9.04,28.87,0.036
0.281,0.625,2.197,6.947,0.4
0.0,1.0,5.249,16.622,0.094
0.0,1.0,9.759,31.24,0.031
0.0,1.0,7.045,22.498,0.056
0.0,1.0,9.327,30.026,0.033
0.25,0.81,3.57,11.084,0.257
0.094,0.903,3.391,10.491,0.218
0.0,1.0,8.934,28.552,0.036
0.0,1.0,12.912,41.851,0.018
0.062,0.926,3.492,10.795,0.2
0.0,1.0,7.954,25.466,0.045
0.125,0.857,3.242,9.943,0.241
0.0,1.0,8.176,26.149,0.043
0.0,1.0,9.308,29.832,0.033
0.0,1.0,9.004,28.787,0.036
0.25,0.68,1.804,5.398,0.457
0.156,0.75,3.103,9.418,0.265
0.0,1.0,6.687,21.404,0.061
0.0,1.0,8.096,25.785,0.044
0.0,1.0,9.279,29.652,0.034
0.0,1.0,8.628,27.622,0.039
0.062,0.938,3.168,10.11,0.22
