Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.041,0.952,12.221,29.412,0.044
0.905,0.118,0.837,0.983,0.885
0.122,0.842,4.267,11.076,0.201
0.108,0.855,12.18,29.345,0.067
0.108,0.805,13.647,33.58,0.06
0.0,1.0,6.778,17.981,0.076
0.014,0.983,5.229,14.206,0.118
0.081,0.838,10.017,24.888,0.069
0.108,0.873,12.267,29.611,0.066
0.0,1.0,12.189,30.382,0.029
0.027,0.931,11.759,29.403,0.04
0.122,0.775,12.584,30.501,0.069
0.0,1.0,9.2,24.473,0.045
0.0,1.0,6.38,16.89,0.085
0.095,0.865,12.251,29.857,0.061
0.081,0.842,12.739,31.073,0.055
0.257,0.667,3.231,8.733,0.307
0.027,0.939,7.342,19.191,0.077
0.095,0.774,12.784,31.444,0.059
0.0,1.0,9.058,23.773,0.047
0.054,0.886,11.434,27.968,0.052
0.0,1.0,6.153,16.295,0.09
0.0,1.0,7.527,20.662,0.061
0.108,0.784,12.209,29.791,0.066
0.0,1.0,13.68,33.894,0.024
0.041,0.9,11.326,29.183,0.045
0.041,0.943,4.782,12.694,0.147
0.378,0.417,2.251,5.242,0.47
0.054,0.882,12.242,29.774,0.048
0.0,1.0,7.495,20.288,0.063
0.027,0.956,7.298,19.289,0.077
0.216,0.467,6.668,17.273,0.153
0.27,0.444,3.521,9.115,0.296
0.068,0.853,12.163,29.375,0.053
0.041,0.912,11.585,28.286,0.047
0.0,1.0,13.966,35.175,0.022
0.068,0.878,3.567,9.41,0.222
0.068,0.853,6.469,17.618,0.102
0.0,1.0,8.759,23.969,0.047
0.068,0.865,12.487,30.359,0.051
0.014,0.96,5.811,16.396,0.096
0.068,0.737,7.735,19.635,0.087
0.068,0.773,8.17,22.255,0.076
0.0,1.0,7.894,21.109,0.058
0.162,0.692,6.247,16.219,0.144
0.027,0.959,6.825,18.302,0.084
0.027,0.953,11.602,28.262,0.042
0.095,0.821,13.446,33.104,0.056
0.311,0.303,2.102,5.438,0.453
0.027,0.933,9.853,25.53,0.05
0.054,0.895,11.683,30.512,0.047
0.122,0.727,7.769,19.782,0.104
0.014,0.978,13.209,32.777,0.03
0.027,0.944,5.113,13.999,0.125
0.0,1.0,8.143,21.462,0.056
0.0,1.0,8.742,23.24,0.049
0.027,0.952,12.906,31.778,0.036
0.014,0.969,11.117,28.207,0.038
0.378,0.349,1.765,4.182,0.534
0.0,1.0,9.193,24.335,0.045
0.068,0.839,7.794,20.806,0.082
0.0,1.0,8.719,22.868,0.05
0.0,1.0,6.638,17.837,0.078
0.135,0.706,7.907,20.175,0.107
0.0,1.0,9.336,25.095,0.043
0.0,1.0,12.901,32.276,0.026
0.014,0.96,11.35,28.885,0.037
0.0,1.0,14.803,38.223,0.019
0.0,1.0,14.251,35.461,0.022
0.0,1.0,13.112,32.572,0.026
0.122,0.78,6.773,17.725,0.118
0.095,0.75,5.528,14.223,0.142
0.041,0.906,12.502,30.28,0.043
0.095,0.741,9.192,22.949,0.08
0.0,1.0,13.315,32.967,0.025
0.041,0.919,4.52,11.847,0.16
0.0,1.0,13.666,34.938,0.023
0.014,0.973,7.773,20.358,0.066
0.068,0.853,4.571,12.1,0.165
0.108,0.8,11.584,28.276,0.069
0.081,0.824,15.083,37.87,0.046
0.0,1.0,10.177,27.768,0.036
0.0,1.0,13.955,35.007,0.022
0.054,0.9,4.896,12.882,0.148
0.0,1.0,13.861,34.521,0.023
0.189,0.632,6.776,17.338,0.143
0.0,1.0,8.536,22.431,0.052
0.0,1.0,7.964,21.247,0.057
0.041,0.917,5.053,13.385,0.136
0.0,1.0,9.049,24.571,0.045
0.0,1.0,14.489,36.468,0.021
0.0,1.0,9.469,25.127,0.042
0.081,0.812,10.23,25.564,0.067
0.122,0.719,7.265,18.708,0.111
0.014,0.968,12.998,32.741,0.03
0.0,1.0,14.227,35.548,0.022
0.0,1.0,6.869,18.086,0.075
0.068,0.808,13.111,32.219,0.049
0.068,0.861,12.202,29.516,0.053
0.0,1.0,8.812,23.514,0.048
