Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.96,0.094,0.397,0.585,0.963
0.0,1.0,15.654,41.686,0.016
0.0,1.0,19.666,52.547,0.01
0.0,1.0,22.947,61.371,0.008
0.0,1.0,10.819,29.361,0.032
0.0,1.0,17.07,45.101,0.014
0.0,1.0,13.551,36.072,0.022
0.0,1.0,18.634,49.606,0.012
0.0,1.0,19.605,52.631,0.01
0.0,1.0,14.126,38.171,0.019
0.0,1.0,18.03,47.671,0.013
0.0,1.0,16.105,45.623,0.014
0.0,1.0,14.927,40.224,0.018
0.0,1.0,19.239,51.725,0.011
0.0,1.0,20.215,54.662,0.01
0.0,1.0,18.6,49.58,0.012
0.0,1.0,19.959,53.742,0.01
0.0,1.0,24.306,68.513,0.006
0.0,1.0,15.683,41.35,0.017
0.0,1.0,15.86,42.377,0.016
0.0,1.0,17.485,48.381,0.012
0.0,1.0,14.712,41.588,0.017
0.0,1.0,13.537,36.315,0.021
0.0,1.0,18.657,53.224,0.01
0.0,1.0,13.536,36.997,0.021
0.0,1.0,14.716,39.237,0.018
0.0,1.0,17.805,47.481,0.013
0.0,1.0,17.539,47.978,0.013
0.0,1.0,19.697,53.071,0.01
0.0,1.0,19.436,51.821,0.011
0.0,1.0,15.027,39.877,0.018
0.0,1.0,21.063,55.799,0.009
0.12,0.838,9.621,26.79,0.078
0.0,1.0,20.739,54.874,0.01
0.0,1.0,24.454,66.462,0.007
0.0,1.0,17.085,45.117,0.014
0.0,1.0,16.044,43.046,0.015
0.0,1.0,13.405,35.924,0.022
0.0,1.0,16.953,45.44,0.014
0.0,1.0,19.224,51.423,0.011
0.0,1.0,13.862,36.572,0.021
0.0,1.0,21.154,57.982,0.009
0.0,1.0,23.528,65.413,0.007
0.0,1.0,15.312,43.228,0.016
0.0,1.0,13.739,36.464,0.021
0.3,0.5,2.849,7.29,0.364
0.0,1.0,19.251,51.011,0.011
0.0,1.0,13.09,35.674,0.022
0.0,1.0,16.03,45.666,0.014
0.0,1.0,19.781,52.847,0.01
0.12,0.8,4.455,11.749,0.188
0.16,0.886,11.259,29.346,0.085
0.0,1.0,17.698,47.237,0.013
0.0,1.0,19.261,50.915,0.011
0.0,1.0,21.027,56.629,0.009
0.0,1.0,19.517,52.34,0.011
0.0,1.0,17.118,46.037,0.014
0.0,1.0,11.754,31.782,0.028
0.0,1.0,19.518,51.899,0.011
0.0,1.0,14.045,37.497,0.02
0.0,1.0,11.76,31.519,0.028
0.0,1.0,13.04,35.397,0.023
0.0,1.0,19.473,51.728,0.011
0.0,1.0,18.058,49.433,0.012
0.0,1.0,20.718,57.446,0.009
0.0,1.0,24.163,68.515,0.006
0.0,1.0,14.588,40.352,0.018
0.0,1.0,12.085,33.52,0.025
0.0,1.0,18.825,50.682,0.011
0.0,1.0,20.928,58.918,0.008
0.4,0.31,2.207,5.775,0.467
0.0,1.0,19.238,51.488,0.011
0.0,1.0,17.991,49.375,0.012
0.0,1.0,18.937,50.592,0.011
0.0,1.0,18.119,49.565,0.012
0.0,1.0,16.335,45.18,0.014
0.0,1.0,28.202,79.294,0.005
0.0,1.0,17.65,48.323,0.012
0.0,1.0,25.785,72.875,0.006
0.0,1.0,21.479,57.423,0.009
0.04,0.956,8.027,21.047,0.071
0.0,1.0,13.811,37.32,0.02
0.0,1.0,14.94,40.16,0.018
0.0,1.0,13.635,36.112,0.021
0.48,0.111,1.762,4.67,0.556
0.0,1.0,16.269,43.106,0.015
0.0,1.0,16.418,45.602,0.014
0.0,1.0,16.773,44.133,0.015
0.0,1.0,14.348,38.969,0.019
0.0,1.0,14.66,39.997,0.018
0.0,1.0,24.363,69.305,0.006
0.0,1.0,13.444,36.479,0.021
0.0,1.0,13.353,35.241,0.022
0.0,1.0,19.519,52.38,0.011
0.0,1.0,13.719,37.012,0.021
0.0,1.0,19.495,52.105,0.011
0.0,1.0,14.815,40.14,0.018
0.0,1.0,19.843,52.751,0.01
0.0,1.0,13.078,35.014,0.023
0.0,1.0,18.367,49.199,0.012
