Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.829,0.149,0.517,0.669,0.906
0.0,1.0,7.495,21.37,0.058
0.0,1.0,11.249,30.738,0.03
0.0,1.0,11.771,32.533,0.027
0.0,1.0,8.994,25.597,0.042
0.0,1.0,8.508,24.135,0.047
0.0,1.0,9.662,27.62,0.037
0.026,0.944,10.248,28.248,0.043
0.0,1.0,8.127,23.059,0.051
0.026,0.946,7.667,21.621,0.066
0.013,0.973,11.058,30.534,0.034
0.0,1.0,12.156,33.981,0.025
0.026,0.947,7.304,20.775,0.07
0.026,0.944,10.188,28.292,0.043
0.0,1.0,12.169,34.214,0.024
0.0,1.0,11.929,33.193,0.026
0.0,1.0,11.672,32.862,0.026
0.0,1.0,9.098,25.743,0.042
0.0,1.0,11.607,32.135,0.027
0.0,1.0,12.229,33.567,0.025
0.0,1.0,8.992,26.175,0.041
0.0,1.0,9.495,27.681,0.037
0.0,1.0,11.94,33.001,0.026
0.0,1.0,9.824,27.122,0.037
0.0,1.0,10.641,29.09,0.033
0.0,1.0,12.124,34.039,0.025
0.039,0.897,10.751,29.446,0.045
0.0,1.0,9.852,27.12,0.037
0.0,1.0,9.198,26.605,0.04
0.0,1.0,10.591,28.961,0.033
0.0,1.0,13.332,37.249,0.021
0.0,1.0,10.641,29.558,0.032
0.0,1.0,10.626,30.178,0.031
0.0,1.0,7.504,21.235,0.059
0.0,1.0,11.649,32.157,0.027
0.039,0.921,9.279,25.393,0.055
0.0,1.0,11.459,31.387,0.028
0.013,0.967,11.319,31.193,0.033
0.0,1.0,11.485,31.776,0.028
0.461,0.397,2.105,5.994,0.488
0.0,1.0,10.183,27.854,0.035
0.0,1.0,10.433,28.781,0.033
0.0,1.0,11.454,32.976,0.026
0.0,1.0,8.814,23.425,0.048
0.013,0.978,10.524,29.279,0.037
0.0,1.0,11.038,30.839,0.03
0.0,1.0,8.119,23.943,0.048
0.0,1.0,12.746,35.219,0.023
0.0,1.0,11.182,30.552,0.03
0.0,1.0,10.028,29.481,0.033
0.013,0.978,10.989,30.032,0.035
0.0,1.0,9.567,26.321,0.039
0.0,1.0,11.292,31.024,0.029
0.013,0.955,9.965,27.523,0.041
0.066,0.839,9.831,26.852,0.06
0.0,1.0,10.917,30.029,0.031
0.0,1.0,9.617,27.261,0.037
0.013,0.968,8.255,23.89,0.052
0.0,1.0,8.811,24.987,0.044
0.0,1.0,12.406,34.194,0.024
0.0,1.0,12.299,34.213,0.024
0.0,1.0,11.059,31.686,0.028
0.0,1.0,11.764,33.216,0.026
0.132,0.8,2.35,6.018,0.362
0.0,1.0,10.476,29.705,0.032
0.0,1.0,7.729,21.955,0.056
0.039,0.912,6.959,19.243,0.082
0.0,1.0,10.562,28.929,0.033
0.0,1.0,11.866,33.476,0.025
0.0,1.0,10.62,30.197,0.031
0.013,0.969,8.063,22.809,0.056
0.0,1.0,9.443,26.437,0.039
0.092,0.794,9.742,26.911,0.069
0.026,0.909,11.187,31.174,0.038
0.0,1.0,13.167,36.375,0.022
0.0,1.0,9.48,26.21,0.04
0.0,1.0,8.358,23.685,0.048
0.0,1.0,10.402,29.316,0.033
0.013,0.958,11.423,31.411,0.033
0.0,1.0,12.327,34.754,0.024
0.0,1.0,11.89,33.092,0.026
0.0,1.0,12.81,35.748,0.022
0.013,0.967,11.738,32.33,0.031
0.066,0.848,7.489,21.355,0.08
0.013,0.977,10.919,29.884,0.036
0.0,1.0,11.491,32.406,0.027
0.329,0.359,2.848,8.42,0.35
0.026,0.953,9.403,25.951,0.049
0.0,1.0,12.63,35.108,0.023
0.0,1.0,10.978,30.503,0.03
0.0,1.0,12.186,34.135,0.024
0.0,1.0,10.619,29.38,0.032
0.0,1.0,8.432,24.492,0.046
0.0,1.0,13.17,36.878,0.021
0.0,1.0,13.215,36.501,0.021
0.013,0.964,12.815,35.207,0.027
0.0,1.0,10.573,29.162,0.033
0.0,1.0,12.853,35.446,0.023
0.0,1.0,12.513,35.096,0.023
0.342,0.381,2.742,7.366,0.381
