Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.934,0.034,0.368,0.37,0.959
0.164,0.75,5.433,12.836,0.18
0.148,0.71,4.834,10.999,0.203
0.066,0.918,6.085,14.88,0.123
0.066,0.909,9.479,19.713,0.082
0.0,1.0,13.683,32.965,0.025
0.016,0.976,7.203,17.559,0.083
0.016,0.97,8.541,18.781,0.072
0.016,0.981,9.136,22.474,0.056
0.0,1.0,14.614,34.743,0.022
0.066,0.911,9.193,18.715,0.088
0.0,1.0,13.289,30.808,0.028
0.016,0.968,6.683,15.069,0.102
0.082,0.894,9.188,19.016,0.091
0.0,1.0,15.246,36.32,0.021
0.033,0.951,13.567,31.557,0.038
0.016,0.969,8.814,20.363,0.064
0.0,1.0,13.696,31.788,0.026
0.0,1.0,15.042,36.124,0.021
0.0,1.0,10.023,24.699,0.043
0.0,1.0,13.18,31.068,0.027
0.0,1.0,12.338,30.594,0.029
0.0,1.0,10.831,24.3,0.043
0.492,0.25,2.059,5.133,0.524
0.016,0.969,8.352,18.153,0.076
0.0,1.0,12.749,32.169,0.026
0.0,1.0,9.408,25.028,0.043
0.049,0.903,12.245,28.311,0.049
0.213,0.649,3.863,10.014,0.254
0.033,0.944,8.393,18.015,0.082
0.066,0.9,8.876,19.235,0.086
0.0,1.0,11.425,26.062,0.038
0.066,0.889,7.465,16.75,0.103
0.082,0.878,8.922,21.804,0.08
0.0,1.0,13.439,32.196,0.026
0.0,1.0,14.01,32.43,0.025
0.115,0.833,9.613,22.639,0.087
0.049,0.903,9.988,21.703,0.068
0.426,0.297,2.398,6.18,0.454
0.0,1.0,13.723,31.985,0.026
0.016,0.974,10.138,21.871,0.056
0.0,1.0,11.876,26.861,0.036
0.0,1.0,14.088,34.642,0.023
0.033,0.944,9.058,18.589,0.077
0.0,1.0,13.551,33.831,0.024
0.0,1.0,9.494,22.549,0.05
0.016,0.971,8.168,17.263,0.081
0.098,0.786,6.801,16.325,0.119
0.066,0.897,10.075,21.355,0.075
0.0,1.0,13.969,32.374,0.025
0.0,1.0,15.115,36.453,0.02
0.23,0.641,2.981,7.513,0.331
0.033,0.926,9.93,23.343,0.057
0.0,1.0,15.127,35.962,0.021
0.016,0.976,13.114,30.354,0.034
0.0,1.0,14.635,34.614,0.022
0.0,1.0,9.333,21.524,0.053
0.049,0.933,10.228,22.922,0.064
0.0,1.0,14.798,35.612,0.021
0.0,1.0,10.548,27.497,0.036
0.0,1.0,9.871,23.893,0.045
0.0,1.0,13.906,32.29,0.025
0.016,0.975,12.102,28.258,0.038
0.0,1.0,13.716,34.649,0.023
0.131,0.837,3.666,9.115,0.247
0.066,0.929,7.212,18.16,0.096
0.082,0.857,9.067,18.895,0.092
0.0,1.0,13.087,32.232,0.026
0.098,0.846,7.039,15.857,0.122
0.0,1.0,13.317,32.503,0.026
0.262,0.515,2.581,6.741,0.376
0.0,1.0,12.474,29.159,0.031
0.0,1.0,12.955,31.078,0.028
0.0,1.0,17.069,40.146,0.017
0.0,1.0,12.038,30.195,0.03
0.0,1.0,15.129,34.766,0.022
0.148,0.735,4.176,11.09,0.211
0.0,1.0,14.701,35.189,0.022
0.0,1.0,12.637,29.291,0.031
0.0,1.0,15.045,36.163,0.021
0.23,0.462,2.641,6.153,0.377
0.0,1.0,15.021,34.999,0.022
0.0,1.0,13.793,33.853,0.024
0.0,1.0,10.375,26.619,0.038
0.0,1.0,15.724,36.771,0.02
0.0,1.0,12.521,28.622,0.032
0.0,1.0,13.986,34.485,0.023
0.0,1.0,9.675,21.024,0.055
0.016,0.969,14.975,34.56,0.028
0.0,1.0,14.22,35.121,0.022
0.0,1.0,13.32,30.841,0.028
0.0,1.0,15.669,37.409,0.019
0.049,0.919,9.37,19.213,0.079
0.0,1.0,15.369,37.439,0.019
0.066,0.892,9.731,20.953,0.077
0.0,1.0,13.89,32.794,0.025
0.0,1.0,12.413,31.436,0.028
0.0,1.0,14.678,34.079,0.023
0.066,0.905,9.104,22.079,0.074
0.0,1.0,15.644,36.979,0.02
