Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.96,0.027,0.082,0.268,0.985
0.16,0.821,7.244,22.329,0.109
0.0,1.0,8.832,28.883,0.036
0.12,0.836,7.385,22.854,0.094
0.12,0.786,8.786,27.874,0.078
0.04,0.921,9.144,29.256,0.048
0.053,0.9,9.571,30.68,0.05
0.027,0.96,4.326,13.987,0.135
0.107,0.833,7.857,24.654,0.083
0.0,1.0,8.122,26.588,0.042
0.0,1.0,8.576,28.165,0.038
0.013,0.974,7.723,24.298,0.053
0.0,1.0,6.081,19.882,0.071
0.013,0.977,8.295,26.145,0.047
0.0,1.0,7.636,24.918,0.047
0.067,0.868,7.788,24.651,0.07
0.12,0.735,9.059,28.997,0.075
0.093,0.86,7.951,24.915,0.077
0.0,1.0,10.814,34.828,0.025
0.053,0.9,7.269,22.633,0.073
0.133,0.8,8.093,25.331,0.089
0.0,1.0,8.834,28.289,0.037
0.0,1.0,6.995,22.896,0.055
0.053,0.917,5.578,17.8,0.102
0.293,0.627,2.138,6.918,0.408
0.0,1.0,4.285,13.953,0.127
0.387,0.275,1.557,4.999,0.537
0.12,0.791,5.642,18.085,0.122
0.0,1.0,7.691,25.238,0.046
0.04,0.912,10.525,33.664,0.04
0.0,1.0,5.001,16.35,0.098
0.0,1.0,11.809,37.89,0.021
0.44,0.267,1.737,5.492,0.524
0.0,1.0,9.782,31.346,0.03
0.013,0.969,10.217,32.979,0.032
0.0,1.0,8.814,28.462,0.037
0.093,0.806,8.843,27.986,0.069
0.027,0.943,7.667,24.0,0.058
0.147,0.738,9.032,28.666,0.085
0.0,1.0,7.765,25.31,0.046
0.0,1.0,8.639,27.574,0.039
0.0,1.0,10.843,34.732,0.025
0.04,0.93,9.225,29.35,0.048
0.0,1.0,9.188,30.157,0.033
0.0,1.0,7.918,25.876,0.044
0.0,1.0,6.824,21.827,0.059
0.0,1.0,7.13,23.222,0.054
0.0,1.0,10.763,34.41,0.026
0.027,0.957,5.949,19.03,0.084
0.0,1.0,9.802,32.091,0.029
0.093,0.788,8.144,25.872,0.075
0.0,1.0,11.392,36.603,0.023
0.0,1.0,7.446,24.09,0.05
0.0,1.0,10.075,32.29,0.029
0.04,0.921,7.126,22.566,0.069
0.0,1.0,8.125,26.637,0.042
0.0,1.0,11.491,37.283,0.022
0.0,1.0,8.456,27.586,0.039
0.053,0.907,8.122,25.364,0.062
0.027,0.96,4.182,13.54,0.141
0.013,0.97,5.214,16.911,0.097
0.147,0.744,8.096,25.327,0.094
0.0,1.0,7.87,25.766,0.044
0.0,1.0,10.876,34.852,0.025
0.013,0.977,3.464,11.272,0.178
0.133,0.762,9.999,31.691,0.074
0.267,0.6,2.605,8.404,0.34
0.0,1.0,7.588,24.834,0.047
0.093,0.844,9.524,30.165,0.064
0.0,1.0,10.683,34.359,0.026
0.013,0.971,7.409,23.763,0.055
0.0,1.0,10.031,32.567,0.029
0.0,1.0,10.171,32.457,0.028
0.0,1.0,6.737,21.761,0.06
0.12,0.654,8.482,27.103,0.08
0.0,1.0,9.333,30.59,0.032
0.013,0.973,8.28,26.372,0.046
0.0,1.0,10.567,33.793,0.026
0.107,0.86,3.454,11.177,0.211
0.013,0.979,9.823,31.348,0.035
0.013,0.973,7.025,22.481,0.061
0.04,0.925,4.95,15.917,0.115
0.0,1.0,6.641,21.494,0.061
0.0,1.0,5.397,17.688,0.086
0.187,0.759,7.353,22.693,0.117
0.027,0.938,8.396,26.315,0.051
0.0,1.0,11.221,36.826,0.023
0.0,1.0,9.014,29.386,0.035
0.0,1.0,12.332,39.874,0.019
0.133,0.688,6.088,19.536,0.117
0.0,1.0,11.204,35.936,0.024
0.04,0.912,11.046,35.279,0.038
0.0,1.0,9.884,31.526,0.03
0.0,1.0,9.937,31.921,0.029
0.107,0.789,5.907,19.042,0.111
0.133,0.821,7.656,23.759,0.095
0.0,1.0,11.157,36.143,0.023
0.0,1.0,9.556,31.42,0.031
0.08,0.786,9.508,30.121,0.059
0.0,1.0,9.921,31.819,0.03
