Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.387,0.6,1.765,3.943,0.543
0.065,0.926,2.948,7.481,0.278
0.065,0.935,3.751,9.693,0.212
0.0,1.0,9.68,24.711,0.043
0.065,0.9,2.228,4.994,0.373
0.0,1.0,8.937,23.023,0.049
0.0,1.0,9.524,23.632,0.046
0.0,1.0,8.978,23.933,0.046
0.0,1.0,9.535,23.656,0.046
0.0,1.0,4.726,12.608,0.135
0.0,1.0,8.915,22.601,0.05
0.0,1.0,8.916,22.601,0.05
0.097,0.893,6.249,14.893,0.132
0.097,0.88,7.361,18.567,0.103
0.032,0.957,2.476,5.891,0.325
0.0,1.0,5.549,12.322,0.13
0.194,0.812,5.416,12.014,0.199
0.0,1.0,8.864,23.666,0.047
0.065,0.913,3.439,8.603,0.239
0.032,0.958,6.587,15.441,0.105
0.065,0.905,7.395,20.022,0.086
0.129,0.818,5.276,12.589,0.172
0.032,0.962,4.948,11.641,0.155
0.0,1.0,8.71,22.598,0.051
0.129,0.826,3.078,7.051,0.304
0.097,0.88,6.539,15.723,0.124
0.194,0.786,5.869,13.873,0.176
0.0,1.0,9.967,24.64,0.043
0.0,1.0,9.91,25.807,0.04
0.129,0.846,5.076,11.419,0.189
0.0,1.0,9.761,24.644,0.043
0.0,1.0,9.41,25.132,0.042
0.097,0.87,6.874,16.998,0.114
0.0,1.0,8.607,21.584,0.055
0.0,1.0,8.846,23.555,0.048
0.0,1.0,7.543,18.797,0.069
0.032,0.958,6.319,14.94,0.11
0.0,1.0,8.33,21.326,0.056
0.097,0.85,5.982,13.578,0.146
0.0,1.0,9.062,24.0,0.046
0.0,1.0,5.744,15.394,0.099
0.0,1.0,9.278,23.477,0.047
0.0,1.0,9.217,24.287,0.045
0.29,0.679,1.739,4.192,0.507
0.0,1.0,8.569,21.587,0.055
0.0,1.0,8.606,21.903,0.053
0.0,1.0,9.743,24.331,0.044
0.0,1.0,8.235,21.256,0.057
0.0,1.0,5.186,13.655,0.119
0.839,0.235,0.817,1.936,0.854
0.032,0.947,7.725,20.115,0.073
0.0,1.0,5.966,14.754,0.103
0.0,1.0,8.838,23.026,0.049
0.032,0.968,5.997,16.06,0.103
0.161,0.808,7.071,17.22,0.133
0.0,1.0,8.262,22.021,0.054
0.0,1.0,9.63,24.13,0.045
0.032,0.941,3.078,7.522,0.262
0.0,1.0,9.861,26.677,0.038
0.226,0.696,2.693,6.285,0.37
0.0,1.0,8.403,21.587,0.055
0.0,1.0,8.774,23.103,0.049
0.0,1.0,8.971,23.456,0.048
0.0,1.0,9.117,23.733,0.047
0.065,0.939,8.213,20.502,0.081
0.097,0.857,6.631,15.731,0.124
0.161,0.773,3.7,9.672,0.246
0.0,1.0,9.183,23.495,0.047
0.0,1.0,10.189,24.649,0.042
0.0,1.0,9.498,23.634,0.046
0.097,0.875,6.169,14.653,0.135
0.0,1.0,9.589,24.188,0.045
0.0,1.0,8.305,21.243,0.057
0.032,0.944,5.216,12.627,0.14
0.097,0.864,4.233,11.557,0.186
0.0,1.0,8.308,20.89,0.058
0.0,1.0,7.753,21.204,0.058
0.0,1.0,8.845,23.604,0.048
0.0,1.0,7.81,20.852,0.059
0.032,0.95,7.672,19.551,0.076
0.032,0.957,4.443,12.194,0.154
0.0,1.0,7.836,20.631,0.06
0.0,1.0,10.869,26.912,0.036
0.0,1.0,9.287,23.432,0.047
0.097,0.912,4.898,10.854,0.188
0.0,1.0,8.006,21.575,0.056
0.032,0.968,8.721,22.061,0.063
0.0,1.0,9.027,22.913,0.049
0.0,1.0,8.948,23.404,0.048
0.0,1.0,10.654,27.568,0.035
0.0,1.0,10.207,25.782,0.04
0.0,1.0,8.991,22.968,0.049
0.0,1.0,9.657,24.991,0.042
0.0,1.0,9.671,25.643,0.041
0.0,1.0,8.928,23.477,0.048
0.0,1.0,7.967,21.916,0.055
0.0,1.0,8.891,22.471,0.051
0.032,0.952,7.059,17.848,0.087
0.258,0.68,2.824,7.41,0.349
0.0,1.0,7.237,17.879,0.075
