Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.914,0.086,0.364,0.291,0.953
0.171,0.85,5.407,12.87,0.182
0.4,0.622,2.265,5.57,0.468
0.171,0.833,5.408,12.785,0.183
0.171,0.812,5.84,14.313,0.165
0.257,0.71,3.761,9.71,0.276
0.2,0.667,5.722,14.129,0.177
0.171,0.769,8.026,21.03,0.115
0.286,0.63,2.631,6.83,0.38
0.0,1.0,7.543,21.175,0.059
0.0,1.0,7.247,20.464,0.063
0.2,0.741,4.84,11.593,0.212
0.086,0.87,7.81,21.288,0.086
0.2,0.811,5.716,14.114,0.177
0.4,0.067,1.909,5.482,0.496
0.0,1.0,6.993,19.744,0.067
0.0,1.0,8.669,24.007,0.047
0.0,1.0,9.315,26.043,0.041
0.086,0.927,5.332,12.667,0.157
0.114,0.846,5.773,13.981,0.149
0.0,1.0,7.753,22.458,0.054
0.0,1.0,5.961,17.673,0.082
0.257,0.679,2.76,7.012,0.36
0.029,0.944,7.184,18.566,0.081
0.171,0.793,2.621,6.771,0.343
0.143,0.737,5.911,14.896,0.15
0.229,0.714,4.804,11.775,0.22
0.171,0.793,3.678,10.391,0.238
0.0,1.0,6.805,19.555,0.068
0.171,0.786,7.258,18.818,0.127
0.029,0.962,7.402,19.483,0.076
0.229,0.758,3.122,7.502,0.326
0.0,1.0,7.653,21.745,0.057
0.457,0.385,2.414,6.523,0.455
0.143,0.75,6.117,15.362,0.145
0.057,0.867,5.301,15.485,0.121
0.029,0.941,6.395,17.347,0.091
0.286,0.792,1.958,4.725,0.473
0.171,0.739,7.461,19.821,0.122
0.143,0.737,5.701,15.536,0.146
0.2,0.759,5.899,14.375,0.173
0.314,0.476,3.149,7.964,0.344
0.0,1.0,7.888,21.745,0.056
0.0,1.0,6.731,18.611,0.073
0.4,0.364,2.977,8.713,0.363
0.057,0.938,5.363,12.783,0.145
0.171,0.8,3.09,8.224,0.293
0.029,0.938,6.577,16.915,0.093
0.0,1.0,7.429,21.433,0.058
0.086,0.857,8.37,22.06,0.082
0.057,0.905,6.464,16.5,0.106
0.0,1.0,7.713,21.619,0.057
0.171,0.647,3.375,9.473,0.261
0.086,0.889,6.976,19.863,0.095
0.0,1.0,9.538,26.107,0.04
0.0,1.0,9.433,25.417,0.042
0.0,1.0,8.854,24.866,0.044
0.0,1.0,8.884,24.293,0.046
0.057,0.913,4.982,14.258,0.134
0.257,0.667,2.524,6.979,0.372
0.171,0.727,3.853,10.28,0.236
0.086,0.8,5.293,13.256,0.15
0.143,0.808,5.289,15.443,0.15
0.029,0.971,8.394,22.522,0.061
0.143,0.783,5.526,14.06,0.16
0.0,1.0,7.783,22.067,0.055
0.086,0.864,4.247,12.235,0.174
0.114,0.75,6.95,19.213,0.107
0.314,0.56,2.038,4.889,0.472
0.029,0.962,8.848,23.94,0.056
0.143,0.762,5.129,13.017,0.174
0.0,1.0,5.609,15.825,0.097
0.171,0.786,3.791,9.793,0.245
0.057,0.867,4.443,12.663,0.157
0.057,0.889,4.585,12.885,0.152
0.029,0.958,5.699,15.284,0.11
0.0,1.0,8.016,22.713,0.052
0.029,0.95,8.051,21.94,0.064
0.0,1.0,11.458,30.782,0.029
0.114,0.826,8.463,22.895,0.089
0.0,1.0,9.035,24.695,0.044
0.0,1.0,9.351,26.299,0.04
0.057,0.909,8.331,22.729,0.07
0.0,1.0,8.06,22.842,0.052
0.114,0.778,5.257,13.064,0.162
0.057,0.889,9.582,25.738,0.06
0.057,0.905,6.947,20.193,0.084
0.029,0.944,7.253,19.613,0.076
0.086,0.88,4.975,11.824,0.17
0.0,1.0,8.392,23.412,0.049
0.086,0.842,5.408,13.212,0.15
0.114,0.789,8.541,23.172,0.088
0.057,0.889,5.389,14.943,0.125
0.0,1.0,8.233,22.508,0.052
0.0,1.0,6.837,19.371,0.069
0.0,1.0,10.026,27.03,0.037
0.0,1.0,5.36,15.897,0.098
0.029,0.963,8.58,22.95,0.06
0.114,0.778,5.135,12.271,0.172
0.0,1.0,6.902,17.757,0.077
