Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.977,0.071,0.387,0.191,0.971
0.0,1.0,8.994,24.723,0.044
0.057,0.912,7.771,20.993,0.078
0.0,1.0,9.092,25.051,0.043
0.0,1.0,9.392,25.879,0.041
0.0,1.0,9.916,27.417,0.037
0.052,0.9,10.839,29.778,0.049
0.0,1.0,11.636,31.967,0.027
0.0,1.0,9.179,25.268,0.043
0.0,1.0,15.914,44.787,0.015
0.075,0.882,7.697,20.847,0.085
0.0,1.0,8.445,23.343,0.049
0.0,1.0,13.96,39.394,0.019
0.0,1.0,9.909,27.114,0.037
0.063,0.766,9.429,26.105,0.061
0.034,0.9,10.873,30.732,0.041
0.0,1.0,10.453,29.132,0.033
0.017,0.943,9.48,27.036,0.044
0.0,1.0,12.604,35.6,0.023
0.034,0.895,11.376,31.481,0.04
0.0,1.0,11.701,32.61,0.027
0.017,0.955,8.612,24.556,0.051
0.0,1.0,9.034,24.665,0.044
0.0,1.0,10.358,28.6,0.034
0.034,0.912,12.266,33.92,0.036
0.0,1.0,15.329,43.293,0.016
0.046,0.887,9.908,27.282,0.052
0.0,1.0,10.88,30.0,0.031
0.057,0.811,9.453,26.148,0.059
0.0,1.0,10.495,28.754,0.033
0.04,0.891,11.225,31.051,0.042
0.0,1.0,8.942,25.173,0.043
0.0,1.0,14.192,40.091,0.018
0.0,1.0,13.629,38.496,0.019
0.0,1.0,12.011,34.039,0.025
0.0,1.0,10.083,28.244,0.035
0.0,1.0,14.018,39.539,0.018
0.04,0.854,9.338,25.7,0.055
0.0,1.0,14.294,40.547,0.018
0.0,1.0,11.226,30.837,0.029
0.017,0.933,10.527,29.05,0.039
0.0,1.0,9.711,27.255,0.037
0.034,0.913,10.779,29.803,0.043
0.0,1.0,16.494,46.554,0.013
0.057,0.863,8.483,23.551,0.068
0.0,1.0,17.24,48.749,0.012
0.057,0.902,8.012,21.792,0.074
0.0,1.0,9.459,26.09,0.04
0.0,1.0,9.869,27.401,0.037
0.034,0.872,9.127,25.386,0.054
0.0,1.0,9.876,27.183,0.037
0.0,1.0,9.966,27.539,0.036
0.0,1.0,13.86,38.837,0.019
0.0,1.0,9.04,25.14,0.043
0.006,0.978,9.643,27.193,0.039
0.04,0.885,9.392,25.838,0.054
0.0,1.0,16.461,46.465,0.014
0.0,1.0,12.693,35.509,0.023
0.023,0.925,9.694,26.953,0.046
0.0,1.0,10.047,27.824,0.036
0.0,1.0,12.426,34.575,0.024
0.0,1.0,12.215,34.822,0.024
0.052,0.877,11.175,30.542,0.047
0.023,0.917,8.01,22.506,0.061
0.0,1.0,8.396,23.139,0.05
0.0,1.0,12.341,34.18,0.024
0.011,0.952,9.606,27.489,0.041
0.0,1.0,14.49,40.567,0.018
0.046,0.849,10.283,28.326,0.05
0.04,0.873,9.588,26.634,0.052
0.0,1.0,9.25,26.043,0.041
0.023,0.923,10.404,29.432,0.04
0.006,0.976,8.565,24.015,0.049
0.0,1.0,12.747,35.86,0.022
0.0,1.0,13.727,39.111,0.019
0.029,0.875,9.573,26.552,0.049
0.0,1.0,12.81,36.185,0.022
0.029,0.865,8.923,24.99,0.053
0.0,1.0,10.649,29.532,0.032
0.0,1.0,14.243,40.015,0.018
0.0,1.0,12.279,34.186,0.024
0.017,0.939,11.56,32.614,0.032
0.006,0.967,8.835,24.777,0.046
0.046,0.81,11.032,30.432,0.045
0.0,1.0,12.576,35.383,0.023
0.0,1.0,14.501,40.679,0.017
0.0,1.0,15.448,43.545,0.015
0.0,1.0,12.78,35.97,0.022
0.0,1.0,11.078,30.869,0.029
0.0,1.0,8.533,23.872,0.047
0.0,1.0,15.072,42.877,0.016
0.0,1.0,13.42,38.023,0.02
0.0,1.0,10.126,28.147,0.035
0.046,0.862,11.009,30.095,0.046
0.006,0.978,10.461,28.864,0.035
0.0,1.0,9.206,25.533,0.042
0.0,1.0,12.18,34.779,0.024
0.0,1.0,9.858,27.72,0.036
0.0,1.0,12.438,35.104,0.023
0.0,1.0,10.223,28.166,0.035
