Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.086,0.136,0.45,0.996
0.469,0.4,1.154,3.726,0.645
0.25,0.68,4.087,13.231,0.22
0.0,1.0,20.042,67.792,0.007
0.0,1.0,6.273,20.648,0.066
0.0,1.0,19.527,65.87,0.007
0.0,1.0,6.808,22.391,0.057
0.0,1.0,8.03,26.711,0.042
0.344,0.56,2.064,6.99,0.429
0.281,0.727,4.239,13.369,0.227
0.25,0.75,4.382,13.753,0.21
0.0,1.0,18.781,63.675,0.008
0.0,1.0,19.448,65.672,0.007
0.0,1.0,6.503,21.288,0.063
0.0,1.0,19.843,66.82,0.007
0.219,0.667,4.611,14.842,0.187
0.0,1.0,8.334,27.536,0.039
0.219,0.75,2.635,8.607,0.319
0.219,0.708,4.204,13.117,0.209
0.469,0.464,1.324,4.394,0.607
0.0,1.0,7.291,24.158,0.05
0.0,1.0,4.707,15.653,0.107
0.0,1.0,4.91,16.301,0.1
0.219,0.759,4.128,12.965,0.212
0.0,1.0,7.439,24.711,0.048
0.0,1.0,9.516,31.622,0.031
0.062,0.913,4.579,14.932,0.135
0.094,0.875,3.465,11.595,0.2
0.0,1.0,9.821,33.073,0.028
0.0,1.0,19.933,67.576,0.007
0.125,0.8,5.445,17.624,0.128
0.188,0.778,4.989,16.382,0.161
0.0,1.0,6.312,20.91,0.065
0.188,0.786,2.303,7.524,0.349
0.562,0.308,1.317,4.348,0.64
0.0,1.0,4.011,13.382,0.137
0.156,0.773,4.546,14.349,0.171
0.0,1.0,7.356,24.284,0.05
0.031,0.972,7.381,24.291,0.06
0.25,0.619,4.086,12.773,0.225
0.156,0.828,4.3,13.482,0.183
0.0,1.0,8.007,26.299,0.043
0.0,1.0,10.488,35.17,0.025
0.0,1.0,6.909,22.799,0.056
0.0,1.0,8.578,28.358,0.037
0.0,1.0,7.053,23.338,0.053
0.0,1.0,19.615,65.872,0.007
0.0,1.0,19.045,64.589,0.008
0.0,1.0,10.493,35.114,0.025
0.0,1.0,6.132,20.418,0.068
0.188,0.684,4.566,14.472,0.18
0.188,0.727,3.18,10.599,0.254
0.031,0.974,7.438,24.528,0.059
0.0,1.0,17.971,60.719,0.009
0.0,1.0,8.457,28.06,0.038
0.0,1.0,8.893,29.348,0.035
0.0,1.0,7.303,24.004,0.051
0.0,1.0,11.106,37.453,0.022
0.0,1.0,6.165,20.201,0.069
0.0,1.0,8.643,28.5,0.037
0.219,0.731,2.361,7.813,0.349
0.0,1.0,20.358,68.649,0.007
0.0,1.0,6.548,21.748,0.061
0.0,1.0,20.202,68.072,0.007
0.219,0.731,3.984,12.628,0.218
0.031,0.955,4.95,16.152,0.111
0.0,1.0,13.081,44.341,0.016
0.0,1.0,8.266,27.469,0.04
0.0,1.0,19.739,66.631,0.007
0.344,0.593,2.172,7.322,0.414
0.0,1.0,11.836,39.681,0.02
0.0,1.0,7.27,24.048,0.051
0.0,1.0,6.2,20.659,0.067
0.0,1.0,9.498,31.615,0.031
0.031,0.967,8.409,27.871,0.049
0.0,1.0,14.87,50.357,0.013
0.156,0.815,2.66,8.858,0.292
0.0,1.0,5.792,19.267,0.075
0.0,1.0,20.494,69.015,0.007
0.25,0.692,3.008,10.021,0.289
0.0,1.0,19.24,65.118,0.008
0.0,1.0,7.784,25.647,0.045
0.0,1.0,7.192,23.682,0.052
0.156,0.844,6.222,20.39,0.12
0.031,0.952,3.171,10.661,0.201
0.0,1.0,9.528,32.254,0.03
0.0,1.0,16.732,56.725,0.01
0.0,1.0,7.968,26.377,0.043
0.062,0.913,4.64,14.725,0.136
0.0,1.0,7.525,25.073,0.047
0.0,1.0,7.223,23.739,0.052
0.0,1.0,7.676,25.658,0.045
0.0,1.0,7.509,25.173,0.047
0.156,0.808,4.325,13.661,0.181
0.0,1.0,7.896,26.161,0.043
0.0,1.0,10.393,35.071,0.025
0.156,0.808,4.352,13.715,0.18
0.25,0.714,2.754,8.789,0.321
0.031,0.972,7.734,25.586,0.056
0.0,1.0,6.588,21.853,0.06
