Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.923,0.143,0.51,1.126,0.934
0.077,0.919,7.078,16.514,0.11
0.026,0.977,10.291,25.528,0.049
0.0,1.0,15.556,36.204,0.02
0.0,1.0,12.809,32.285,0.026
0.0,1.0,15.681,36.323,0.02
0.128,0.861,6.368,12.942,0.161
0.103,0.862,8.132,18.367,0.104
0.0,1.0,15.907,37.811,0.019
0.0,1.0,15.063,36.614,0.02
0.0,1.0,14.577,34.538,0.023
0.077,0.893,6.884,15.122,0.121
0.0,1.0,7.54,17.106,0.079
0.026,0.968,5.915,13.572,0.123
0.051,0.941,5.342,12.052,0.152
0.026,0.97,6.065,14.253,0.115
0.077,0.903,5.893,11.993,0.157
0.0,1.0,12.458,30.204,0.029
0.0,1.0,13.865,32.851,0.025
0.0,1.0,12.077,30.937,0.028
0.026,0.976,6.624,15.977,0.098
0.026,0.976,9.052,23.29,0.057
0.0,1.0,15.568,38.49,0.019
0.0,1.0,15.588,36.59,0.02
0.0,1.0,12.724,30.929,0.028
0.077,0.9,5.072,11.15,0.175
0.154,0.786,4.537,10.578,0.215
0.0,1.0,16.533,40.49,0.017
0.103,0.846,3.661,8.273,0.253
0.0,1.0,11.4,29.242,0.032
0.0,1.0,16.354,39.129,0.018
0.128,0.872,5.145,11.235,0.19
0.0,1.0,12.865,31.217,0.027
0.128,0.844,6.412,16.186,0.132
0.077,0.893,5.882,12.218,0.155
0.0,1.0,15.033,36.917,0.02
0.0,1.0,10.437,27.016,0.037
0.051,0.926,8.513,19.525,0.08
0.077,0.893,6.191,12.73,0.147
0.0,1.0,15.125,37.0,0.02
0.0,1.0,9.697,24.749,0.043
0.077,0.9,8.424,19.614,0.089
0.128,0.808,5.805,14.668,0.147
0.051,0.957,8.602,22.565,0.068
0.0,1.0,14.474,34.056,0.023
0.0,1.0,8.985,20.85,0.057
0.0,1.0,11.297,29.33,0.032
0.0,1.0,8.526,20.259,0.06
0.0,1.0,14.646,36.01,0.021
0.0,1.0,15.734,38.02,0.019
0.0,1.0,10.163,25.411,0.041
0.0,1.0,14.836,36.686,0.02
0.0,1.0,13.224,31.785,0.026
0.0,1.0,14.232,33.217,0.024
0.256,0.744,4.491,10.298,0.254
0.128,0.821,3.173,7.128,0.299
0.103,0.81,6.61,16.629,0.12
0.0,1.0,15.974,37.053,0.02
0.0,1.0,9.522,24.718,0.043
0.128,0.853,6.443,14.153,0.148
0.0,1.0,12.666,30.538,0.029
0.0,1.0,13.857,34.345,0.023
0.0,1.0,10.782,27.839,0.035
0.0,1.0,10.802,26.429,0.038
0.0,1.0,8.105,20.056,0.062
0.0,1.0,6.36,15.328,0.096
0.0,1.0,15.1,35.986,0.021
0.077,0.897,3.079,6.806,0.293
0.308,0.571,3.779,8.782,0.309
0.0,1.0,14.597,37.195,0.02
0.077,0.909,6.021,12.608,0.149
0.0,1.0,8.763,21.861,0.053
0.0,1.0,6.882,17.253,0.08
0.0,1.0,8.773,23.076,0.049
0.0,1.0,16.162,37.745,0.019
0.026,0.972,5.827,11.999,0.141
0.0,1.0,15.385,37.025,0.02
0.0,1.0,9.598,22.467,0.05
0.0,1.0,12.071,30.514,0.029
0.051,0.933,5.971,12.624,0.141
0.0,1.0,14.979,36.026,0.021
0.0,1.0,8.463,19.241,0.065
0.0,1.0,14.861,34.821,0.022
0.0,1.0,9.577,24.47,0.044
0.026,0.968,5.987,12.306,0.136
0.051,0.929,8.102,19.851,0.08
0.0,1.0,12.18,30.896,0.028
0.128,0.833,6.369,13.18,0.158
0.077,0.903,5.04,11.083,0.176
0.0,1.0,13.445,32.6,0.025
0.026,0.97,4.813,10.512,0.17
0.0,1.0,9.497,24.582,0.044
0.0,1.0,14.265,34.814,0.022
0.0,1.0,14.338,34.924,0.022
0.0,1.0,14.519,34.32,0.023
0.0,1.0,8.32,21.603,0.055
0.0,1.0,11.752,29.632,0.031
0.051,0.943,5.992,12.639,0.141
0.0,1.0,15.611,37.972,0.019
0.051,0.92,9.268,21.661,0.07
