Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.919,0.162,0.495,0.671,0.938
0.048,0.939,10.731,21.976,0.066
0.032,0.939,10.47,22.21,0.06
0.5,0.295,2.106,5.005,0.526
0.129,0.771,4.523,10.872,0.202
0.097,0.857,4.637,11.572,0.181
0.419,0.366,2.027,4.536,0.517
0.0,1.0,7.714,17.603,0.075
0.032,0.933,10.126,22.022,0.061
0.081,0.861,11.325,24.492,0.068
0.452,0.263,1.88,4.336,0.545
0.113,0.848,2.467,5.333,0.367
0.129,0.733,3.136,6.829,0.308
0.081,0.881,10.868,22.298,0.075
0.081,0.865,10.709,21.94,0.077
0.016,0.969,11.375,25.519,0.044
0.0,1.0,8.506,19.466,0.063
0.016,0.978,10.41,21.469,0.057
0.0,1.0,11.195,27.419,0.035
0.0,1.0,14.452,33.24,0.024
0.016,0.966,10.189,21.63,0.057
0.016,0.973,11.059,22.962,0.052
0.016,0.968,6.651,16.278,0.093
0.065,0.857,9.784,22.051,0.072
0.065,0.913,11.011,22.951,0.068
0.048,0.912,5.311,12.018,0.152
0.032,0.953,10.513,22.159,0.06
0.065,0.862,7.95,17.687,0.096
0.016,0.968,12.781,28.187,0.038
0.258,0.5,3.103,6.999,0.348
0.0,1.0,9.457,23.616,0.046
0.065,0.882,4.42,10.838,0.183
0.177,0.792,2.385,5.145,0.398
0.032,0.938,6.389,14.926,0.11
0.081,0.868,9.876,21.558,0.079
0.0,1.0,7.284,16.75,0.082
0.048,0.932,12.08,26.718,0.052
0.032,0.963,10.534,21.348,0.063
0.113,0.816,5.139,11.496,0.182
0.016,0.971,6.368,14.122,0.112
0.0,1.0,8.971,21.307,0.055
0.113,0.837,2.657,5.496,0.353
0.097,0.829,8.275,19.258,0.097
0.0,1.0,10.679,24.175,0.043
0.032,0.962,10.803,22.087,0.06
0.048,0.889,11.891,26.328,0.053
0.081,0.872,10.699,22.51,0.075
0.0,1.0,8.439,20.438,0.059
0.048,0.897,10.272,21.917,0.067
0.048,0.914,10.034,20.735,0.071
0.016,0.967,10.642,22.119,0.055
0.065,0.902,10.907,22.98,0.068
0.032,0.941,10.86,22.585,0.058
0.081,0.857,9.53,21.634,0.08
0.032,0.929,11.521,24.74,0.052
0.0,1.0,10.213,24.678,0.042
0.065,0.889,12.304,26.659,0.057
0.032,0.955,10.655,21.82,0.061
0.0,1.0,15.025,34.563,0.022
0.161,0.6,3.119,7.721,0.299
0.177,0.542,3.621,8.522,0.274
0.0,1.0,6.905,17.512,0.079
0.0,1.0,10.475,25.417,0.04
0.0,1.0,12.145,30.681,0.029
0.0,1.0,10.834,26.088,0.038
0.048,0.906,11.097,23.63,0.06
0.194,0.586,6.458,15.261,0.161
0.065,0.918,9.648,23.706,0.067
0.0,1.0,11.569,28.085,0.033
0.065,0.889,9.652,22.874,0.07
0.065,0.892,11.805,26.032,0.059
0.016,0.964,10.732,21.96,0.055
0.032,0.953,10.548,21.575,0.062
0.113,0.844,10.512,21.639,0.089
0.0,1.0,6.486,16.165,0.089
0.0,1.0,9.227,21.572,0.053
0.0,1.0,10.283,21.319,0.053
0.097,0.769,8.291,20.594,0.091
0.032,0.944,11.196,23.838,0.054
0.097,0.854,9.848,20.138,0.09
0.0,1.0,6.611,16.071,0.089
0.0,1.0,9.688,20.384,0.057
0.0,1.0,8.839,21.22,0.055
0.065,0.879,10.559,24.507,0.064
0.048,0.914,13.959,33.767,0.04
0.065,0.882,10.459,22.493,0.07
0.21,0.48,3.881,9.854,0.255
0.048,0.889,8.708,18.856,0.082
0.032,0.952,9.896,21.253,0.064
0.0,1.0,7.865,19.681,0.064
0.081,0.844,9.217,20.181,0.086
0.0,1.0,17.566,41.972,0.016
0.0,1.0,10.053,25.039,0.042
0.032,0.92,10.243,21.861,0.062
0.0,1.0,12.458,30.246,0.029
0.113,0.806,3.302,7.688,0.278
0.048,0.893,10.466,22.232,0.065
0.032,0.935,10.046,21.987,0.061
0.0,1.0,14.232,31.696,0.026
0.0,1.0,10.131,21.444,0.052
