Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.963,0.103,0.333,0.563,0.971
0.0,1.0,7.782,22.911,0.052
0.0,1.0,10.951,32.71,0.027
0.0,1.0,9.308,26.213,0.04
0.0,1.0,9.918,29.108,0.034
0.0,1.0,17.968,55.67,0.01
0.0,1.0,8.035,23.736,0.049
0.0,1.0,10.136,28.899,0.034
0.296,0.68,5.003,13.261,0.223
0.0,1.0,9.709,28.456,0.035
0.444,0.556,2.671,7.889,0.407
0.0,1.0,8.133,25.982,0.043
0.0,1.0,10.045,28.857,0.034
0.0,1.0,10.07,28.556,0.034
0.0,1.0,9.227,26.159,0.04
0.0,1.0,10.629,30.519,0.031
0.0,1.0,15.494,48.058,0.013
0.0,1.0,10.798,33.054,0.027
0.0,1.0,9.65,27.783,0.036
0.0,1.0,10.256,28.865,0.034
0.0,1.0,12.959,39.9,0.019
0.0,1.0,10.068,30.937,0.031
0.0,1.0,10.593,33.77,0.026
0.0,1.0,10.207,28.511,0.034
0.0,1.0,16.243,50.512,0.012
0.0,1.0,8.782,27.498,0.039
0.0,1.0,8.493,26.752,0.041
0.111,0.893,6.513,18.997,0.109
0.0,1.0,17.943,55.912,0.01
0.0,1.0,10.62,30.449,0.031
0.074,0.941,7.908,23.246,0.076
0.333,0.591,2.864,9.048,0.339
0.0,1.0,11.592,34.644,0.024
0.0,1.0,11.262,34.536,0.025
0.0,1.0,15.871,49.554,0.012
0.0,1.0,8.568,25.073,0.044
0.0,1.0,5.651,17.897,0.083
0.0,1.0,10.725,30.432,0.031
0.0,1.0,8.628,25.358,0.043
0.0,1.0,9.49,29.536,0.034
0.0,1.0,14.92,46.433,0.014
0.0,1.0,10.75,31.038,0.03
0.0,1.0,18.398,57.364,0.009
0.0,1.0,16.269,51.505,0.012
0.0,1.0,10.499,33.401,0.027
0.0,1.0,9.455,30.222,0.033
0.0,1.0,11.312,32.821,0.027
0.0,1.0,13.856,43.39,0.016
0.0,1.0,15.173,47.702,0.013
0.0,1.0,10.814,32.771,0.027
0.333,0.71,4.478,11.943,0.257
0.0,1.0,15.802,49.408,0.013
0.0,1.0,16.991,52.778,0.011
0.0,1.0,9.998,30.604,0.031
0.0,1.0,11.496,35.456,0.024
0.0,1.0,10.66,31.721,0.029
0.0,1.0,9.973,30.758,0.031
0.0,1.0,10.614,32.685,0.028
0.0,1.0,10.564,31.382,0.029
0.037,0.967,8.317,23.859,0.06
0.0,1.0,12.572,38.125,0.02
0.0,1.0,9.444,29.791,0.033
0.0,1.0,11.296,32.183,0.028
0.0,1.0,11.418,36.21,0.023
0.0,1.0,9.662,28.616,0.035
0.259,0.741,5.051,13.25,0.211
0.0,1.0,15.858,49.146,0.013
0.0,1.0,12.797,39.46,0.019
0.037,0.967,7.136,21.025,0.073
0.0,1.0,10.583,33.36,0.027
0.0,1.0,15.632,48.418,0.013
0.148,0.84,4.943,13.523,0.172
0.0,1.0,9.881,28.091,0.035
0.0,1.0,16.544,52.113,0.011
0.0,1.0,11.735,36.225,0.023
0.0,1.0,6.711,20.398,0.065
0.0,1.0,9.426,27.726,0.037
0.0,1.0,7.769,22.912,0.052
0.0,1.0,9.305,26.49,0.04
0.0,1.0,11.912,36.609,0.022
0.0,1.0,9.76,28.661,0.035
0.0,1.0,16.261,50.788,0.012
0.0,1.0,11.424,33.324,0.026
0.0,1.0,9.211,28.042,0.037
0.0,1.0,14.088,43.66,0.016
0.0,1.0,8.742,25.848,0.042
0.0,1.0,16.595,52.652,0.011
0.0,1.0,9.586,28.134,0.036
0.0,1.0,8.71,25.591,0.043
0.0,1.0,14.749,46.308,0.014
0.0,1.0,9.766,28.326,0.035
0.0,1.0,16.293,51.291,0.012
0.333,0.64,5.766,16.004,0.206
0.074,0.913,5.137,15.306,0.129
0.0,1.0,11.526,36.111,0.023
0.185,0.828,5.216,15.002,0.168
0.0,1.0,18.725,58.971,0.009
0.259,0.741,5.608,15.778,0.184
0.0,1.0,6.344,20.387,0.067
0.0,1.0,10.838,31.896,0.028
