Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.71,25.596,0.045
0.0,1.0,13.213,44.435,0.016
0.0,1.0,13.495,45.384,0.015
0.914,0.0,0.14,0.468,0.968
0.0,1.0,9.477,32.237,0.03
0.0,1.0,12.859,43.354,0.017
0.0,1.0,5.795,19.461,0.074
0.0,1.0,12.395,41.765,0.018
0.0,1.0,13.42,45.075,0.016
0.0,1.0,9.93,33.71,0.027
0.0,1.0,7.113,24.278,0.051
0.114,0.846,3.57,11.531,0.205
0.0,1.0,12.703,42.677,0.017
0.0,1.0,13.912,46.707,0.015
0.0,1.0,13.959,46.886,0.014
0.0,1.0,6.376,21.416,0.063
0.0,1.0,13.185,43.945,0.016
0.0,1.0,6.064,20.122,0.07
0.171,0.824,3.62,11.992,0.217
0.0,1.0,5.522,18.433,0.081
0.0,1.0,7.072,23.84,0.052
0.0,1.0,11.769,39.629,0.02
0.0,1.0,3.863,12.713,0.147
0.0,1.0,8.329,27.738,0.039
0.0,1.0,6.167,21.076,0.065
0.0,1.0,12.819,43.102,0.017
0.0,1.0,7.354,25.137,0.048
0.0,1.0,6.76,22.408,0.058
0.0,1.0,9.436,32.116,0.03
0.0,1.0,6.245,21.066,0.065
0.0,1.0,14.184,47.42,0.014
0.0,1.0,9.313,31.789,0.031
0.0,1.0,8.076,27.366,0.04
0.0,1.0,9.412,31.417,0.031
0.057,0.941,5.344,18.058,0.104
0.0,1.0,7.149,23.76,0.052
0.0,1.0,11.659,38.904,0.021
0.0,1.0,13.615,45.588,0.015
0.0,1.0,13.217,44.537,0.016
0.0,1.0,13.828,46.56,0.015
0.0,1.0,10.504,35.495,0.025
0.143,0.8,3.032,9.716,0.258
0.0,1.0,13.002,43.837,0.016
0.0,1.0,13.134,44.016,0.016
0.0,1.0,13.58,45.663,0.015
0.0,1.0,13.06,43.871,0.016
0.0,1.0,9.285,30.944,0.032
0.0,1.0,11.945,40.154,0.019
0.029,0.952,7.561,25.297,0.056
0.0,1.0,6.488,21.839,0.061
0.0,1.0,8.731,29.013,0.036
0.0,1.0,4.026,13.211,0.138
0.0,1.0,9.986,33.489,0.028
0.0,1.0,4.893,16.275,0.1
0.0,1.0,7.733,26.073,0.044
0.0,1.0,7.532,25.057,0.047
0.0,1.0,8.824,29.245,0.035
0.0,1.0,5.941,20.392,0.069
0.029,0.963,5.183,17.809,0.097
0.0,1.0,6.849,23.362,0.054
0.0,1.0,11.446,38.164,0.021
0.0,1.0,6.511,22.033,0.06
0.371,0.435,2.494,8.16,0.386
0.0,1.0,12.152,41.092,0.019
0.0,1.0,7.784,25.925,0.044
0.0,1.0,10.014,33.596,0.027
0.0,1.0,13.15,43.875,0.016
0.029,0.938,3.428,11.411,0.182
0.143,0.762,3.113,10.565,0.241
0.0,1.0,9.995,33.56,0.027
0.0,1.0,9.856,33.034,0.028
0.0,1.0,12.173,41.109,0.019
0.0,1.0,9.941,33.777,0.027
0.0,1.0,10.647,35.616,0.024
0.0,1.0,10.208,33.87,0.027
0.0,1.0,14.121,47.307,0.014
0.0,1.0,10.037,34.066,0.027
0.0,1.0,12.887,43.233,0.017
0.0,1.0,9.321,31.381,0.031
0.0,1.0,13.021,43.884,0.016
0.0,1.0,12.994,43.769,0.016
0.0,1.0,11.289,37.641,0.022
0.0,1.0,8.938,29.772,0.034
0.0,1.0,12.639,42.649,0.017
0.0,1.0,13.204,44.252,0.016
0.0,1.0,11.33,38.117,0.022
0.0,1.0,5.645,19.148,0.077
0.0,1.0,11.255,37.747,0.022
0.029,0.955,4.799,16.072,0.112
0.0,1.0,11.068,37.329,0.022
0.0,1.0,9.649,32.474,0.029
0.0,1.0,4.837,16.287,0.101
0.0,1.0,9.258,30.877,0.032
0.0,1.0,13.383,44.916,0.016
0.0,1.0,8.162,27.089,0.041
0.171,0.667,3.863,12.789,0.203
0.0,1.0,6.892,23.499,0.054
0.0,1.0,9.809,32.869,0.029
0.0,1.0,12.349,41.762,0.018
0.0,1.0,8.572,28.983,0.036
