Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.957,0.022,0.416,1.181,0.956
0.043,0.949,5.066,14.519,0.126
0.0,1.0,14.685,42.089,0.017
0.021,0.969,7.955,22.417,0.06
0.17,0.771,8.608,22.304,0.109
0.021,0.969,10.62,27.055,0.044
0.0,1.0,6.735,18.56,0.074
0.106,0.881,6.936,18.538,0.108
0.0,1.0,9.749,26.966,0.038
0.021,0.974,8.097,20.492,0.067
0.043,0.939,8.055,19.875,0.077
0.0,1.0,5.88,16.422,0.091
0.0,1.0,13.186,35.087,0.023
0.0,1.0,12.965,38.214,0.02
0.0,1.0,11.58,35.249,0.024
0.0,1.0,10.647,26.632,0.037
0.0,1.0,7.97,23.135,0.051
0.0,1.0,10.424,27.521,0.036
0.043,0.939,6.655,16.847,0.098
0.0,1.0,13.18,34.947,0.023
0.0,1.0,14.16,37.723,0.02
0.0,1.0,9.875,28.742,0.034
0.0,1.0,14.712,43.841,0.016
0.0,1.0,11.77,31.71,0.028
0.043,0.929,6.616,19.159,0.085
0.043,0.933,7.933,21.843,0.07
0.0,1.0,13.203,38.018,0.02
0.0,1.0,11.376,33.466,0.026
0.0,1.0,11.082,29.078,0.032
0.0,1.0,8.308,22.15,0.053
0.213,0.697,9.378,23.688,0.117
0.021,0.97,11.471,29.228,0.039
0.021,0.957,6.52,18.555,0.082
0.021,0.971,8.646,22.301,0.059
0.0,1.0,15.21,42.35,0.016
0.085,0.909,6.783,18.169,0.104
0.0,1.0,14.356,39.93,0.018
0.0,1.0,14.263,41.452,0.017
0.0,1.0,10.776,29.631,0.032
0.0,1.0,8.644,23.247,0.049
0.255,0.657,5.883,14.426,0.191
0.0,1.0,14.878,44.065,0.015
0.0,1.0,12.139,35.406,0.023
0.0,1.0,9.624,26.01,0.04
0.0,1.0,13.925,41.757,0.017
0.0,1.0,7.942,22.939,0.052
0.0,1.0,8.38,22.932,0.051
0.0,1.0,14.014,37.828,0.02
0.085,0.879,5.402,15.916,0.126
0.085,0.892,9.492,24.002,0.074
0.0,1.0,14.899,42.432,0.016
0.021,0.968,12.458,32.13,0.034
0.0,1.0,6.556,19.858,0.068
0.0,1.0,13.929,38.746,0.019
0.043,0.929,11.129,28.766,0.047
0.0,1.0,9.0,24.386,0.045
0.0,1.0,14.361,41.357,0.017
0.0,1.0,13.833,36.243,0.021
0.106,0.875,5.949,15.876,0.13
0.0,1.0,15.033,40.911,0.017
0.043,0.947,5.667,15.324,0.114
0.0,1.0,10.152,27.587,0.036
0.0,1.0,14.714,41.525,0.017
0.0,1.0,10.17,27.215,0.037
0.043,0.944,7.097,17.814,0.09
0.0,1.0,11.927,32.944,0.026
0.0,1.0,10.877,32.116,0.028
0.0,1.0,13.613,34.751,0.023
0.0,1.0,13.27,38.754,0.02
0.149,0.806,6.327,15.405,0.145
0.021,0.973,13.762,35.435,0.029
0.0,1.0,11.425,32.888,0.027
0.0,1.0,15.124,43.775,0.015
0.064,0.903,6.146,15.391,0.118
0.0,1.0,6.228,17.381,0.083
0.085,0.875,5.855,16.171,0.121
0.064,0.909,11.404,29.535,0.052
0.0,1.0,11.424,31.383,0.028
0.043,0.941,6.514,17.849,0.093
0.17,0.75,4.705,13.178,0.185
0.085,0.867,6.106,16.04,0.12
0.0,1.0,12.445,32.644,0.026
0.0,1.0,11.6,33.592,0.026
0.0,1.0,14.676,40.62,0.017
0.0,1.0,14.615,39.049,0.019
0.0,1.0,13.712,38.498,0.019
0.383,0.379,3.13,8.082,0.365
0.106,0.815,11.724,29.67,0.066
0.064,0.88,9.162,23.18,0.069
0.0,1.0,8.229,21.229,0.057
0.0,1.0,14.326,38.598,0.019
0.255,0.5,2.903,6.972,0.355
0.043,0.926,6.288,16.367,0.103
0.0,1.0,12.905,38.353,0.02
0.149,0.731,5.652,14.28,0.159
0.0,1.0,14.127,39.074,0.019
0.0,1.0,12.011,35.377,0.023
0.0,1.0,14.509,41.99,0.017
0.021,0.968,9.087,23.012,0.056
0.021,0.97,9.254,24.598,0.051
