Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.927,0.089,0.99,1.165,0.868
0.0,1.0,15.182,37.424,0.02
0.0,1.0,14.616,35.651,0.021
0.0,1.0,14.409,37.453,0.02
0.0,1.0,11.716,31.122,0.029
0.0,1.0,14.775,35.544,0.021
0.0,1.0,13.947,34.027,0.023
0.0,1.0,15.411,39.444,0.018
0.0,1.0,13.807,34.443,0.023
0.0,1.0,14.974,36.282,0.021
0.0,1.0,15.125,37.138,0.02
0.0,1.0,15.699,38.468,0.019
0.0,1.0,13.517,34.913,0.023
0.0,1.0,16.208,37.796,0.019
0.0,1.0,16.681,40.341,0.017
0.0,1.0,11.927,28.565,0.032
0.0,1.0,14.767,35.515,0.021
0.0,1.0,8.695,21.243,0.056
0.0,1.0,14.318,35.029,0.022
0.0,1.0,8.369,21.461,0.056
0.0,1.0,14.178,36.767,0.021
0.0,1.0,12.373,28.653,0.032
0.0,1.0,14.682,38.578,0.019
0.0,1.0,16.986,39.829,0.017
0.0,1.0,11.221,28.968,0.032
0.0,1.0,16.63,38.657,0.018
0.127,0.8,8.989,18.906,0.108
0.0,1.0,16.315,39.495,0.018
0.0,1.0,11.312,29.998,0.031
0.0,1.0,14.213,34.422,0.023
0.0,1.0,13.988,33.201,0.024
0.0,1.0,14.29,35.371,0.022
0.0,1.0,14.526,36.67,0.021
0.0,1.0,16.443,39.065,0.018
0.0,1.0,17.709,40.31,0.017
0.0,1.0,10.979,26.914,0.036
0.0,1.0,14.549,37.416,0.02
0.0,1.0,16.265,38.03,0.019
0.0,1.0,15.405,38.243,0.019
0.0,1.0,15.805,37.191,0.02
0.0,1.0,15.897,39.529,0.018
0.0,1.0,14.317,36.45,0.021
0.0,1.0,16.421,40.025,0.017
0.0,1.0,13.257,33.962,0.024
0.0,1.0,16.243,38.139,0.019
0.0,1.0,16.464,38.945,0.018
0.0,1.0,14.496,34.572,0.023
0.0,1.0,8.923,23.689,0.047
0.0,1.0,13.326,32.852,0.025
0.0,1.0,11.619,30.29,0.03
0.0,1.0,14.37,35.837,0.021
0.0,1.0,15.644,37.562,0.019
0.127,0.829,7.523,17.797,0.117
0.0,1.0,14.495,35.372,0.022
0.0,1.0,11.721,30.024,0.03
0.0,1.0,16.877,39.473,0.017
0.018,0.973,7.89,19.264,0.072
0.0,1.0,16.175,38.314,0.018
0.0,1.0,15.716,37.133,0.02
0.0,1.0,10.102,26.949,0.037
0.0,1.0,14.619,35.465,0.022
0.0,1.0,14.822,35.672,0.021
0.0,1.0,14.976,37.025,0.02
0.0,1.0,16.014,40.247,0.017
0.0,1.0,17.298,41.819,0.016
0.0,1.0,15.901,37.611,0.019
0.0,1.0,16.074,39.495,0.018
0.0,1.0,10.272,26.43,0.038
0.0,1.0,16.79,42.889,0.015
0.0,1.0,14.58,36.076,0.021
0.0,1.0,15.714,38.161,0.019
0.0,1.0,15.999,40.041,0.017
0.0,1.0,15.182,36.681,0.02
0.036,0.944,8.157,20.003,0.074
0.0,1.0,11.757,26.614,0.036
0.0,1.0,15.642,39.048,0.018
0.0,1.0,15.236,38.617,0.019
0.0,1.0,11.09,27.264,0.036
0.0,1.0,14.4,36.129,0.021
0.0,1.0,15.796,37.976,0.019
0.0,1.0,15.244,37.84,0.019
0.0,1.0,15.26,38.677,0.019
0.0,1.0,9.545,24.244,0.045
0.0,1.0,14.832,37.328,0.02
0.0,1.0,15.489,40.231,0.017
0.0,1.0,12.376,32.106,0.027
0.0,1.0,17.375,43.203,0.015
0.0,1.0,15.531,38.407,0.019
0.0,1.0,15.639,39.94,0.017
0.0,1.0,14.107,33.861,0.023
0.0,1.0,14.309,35.375,0.022
0.0,1.0,14.964,38.752,0.019
0.0,1.0,14.539,36.45,0.021
0.018,0.966,8.241,21.149,0.063
0.0,1.0,14.259,37.723,0.02
0.0,1.0,14.615,34.835,0.022
0.0,1.0,16.692,40.09,0.017
0.0,1.0,16.325,40.439,0.017
0.0,1.0,11.08,27.026,0.036
0.0,1.0,12.542,30.853,0.028
