Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.106,0.409,0.441,0.976
0.153,0.791,7.261,19.257,0.119
0.0,1.0,9.537,26.913,0.038
0.339,0.474,2.42,7.211,0.399
0.034,0.935,4.863,14.253,0.128
0.034,0.926,5.488,16.291,0.106
0.034,0.933,7.633,20.159,0.074
0.085,0.853,8.047,21.37,0.085
0.424,0.265,1.753,4.875,0.533
0.0,1.0,10.975,31.011,0.029
0.085,0.875,8.459,22.613,0.08
0.0,1.0,9.657,27.804,0.036
0.203,0.667,3.037,8.847,0.293
0.0,1.0,8.132,23.55,0.049
0.0,1.0,10.17,28.566,0.034
0.017,0.973,8.743,24.96,0.05
0.085,0.783,7.931,21.209,0.086
0.0,1.0,9.637,27.714,0.037
0.119,0.781,7.667,20.286,0.102
0.034,0.946,7.826,20.673,0.071
0.102,0.739,7.577,19.863,0.098
0.153,0.795,6.857,18.13,0.126
0.0,1.0,10.515,29.699,0.032
0.051,0.885,7.192,19.179,0.086
0.169,0.75,5.137,14.396,0.169
0.034,0.913,6.621,18.373,0.086
0.542,0.03,2.002,5.787,0.528
0.0,1.0,11.346,32.089,0.028
0.0,1.0,12.506,35.449,0.023
0.0,1.0,8.95,24.552,0.045
0.051,0.9,7.863,21.751,0.073
0.034,0.926,7.635,20.506,0.073
0.0,1.0,12.227,34.02,0.025
0.034,0.875,4.65,13.794,0.134
0.085,0.865,6.805,18.277,0.103
0.22,0.675,3.016,8.51,0.306
0.102,0.793,7.432,19.818,0.099
0.034,0.935,7.236,20.04,0.076
0.102,0.739,7.183,19.574,0.101
0.22,0.567,1.914,5.098,0.445
0.085,0.8,6.872,19.469,0.097
0.085,0.848,5.157,14.344,0.141
0.0,1.0,12.027,33.939,0.025
0.034,0.939,7.372,19.901,0.076
0.0,1.0,10.308,29.033,0.033
0.034,0.933,4.953,13.668,0.132
0.051,0.857,7.602,20.086,0.08
0.102,0.75,7.506,20.235,0.097
0.0,1.0,8.54,24.224,0.047
0.0,1.0,8.649,25.041,0.044
0.051,0.9,7.005,19.925,0.083
0.017,0.962,8.509,23.575,0.054
0.0,1.0,9.629,27.047,0.038
0.203,0.556,7.396,19.817,0.133
0.22,0.629,2.121,5.939,0.409
0.22,0.606,3.912,11.019,0.241
0.085,0.821,6.861,19.852,0.095
0.034,0.939,9.164,25.73,0.053
0.0,1.0,9.168,26.031,0.041
0.085,0.833,7.727,20.771,0.088
0.0,1.0,6.773,19.751,0.068
0.0,1.0,9.78,27.59,0.037
0.0,1.0,10.894,31.253,0.029
0.051,0.914,6.816,19.071,0.088
0.085,0.821,4.242,12.224,0.174
0.271,0.484,4.056,11.849,0.244
0.017,0.972,6.856,19.823,0.073
0.017,0.972,8.28,24.13,0.053
0.288,0.414,1.968,5.5,0.453
0.0,1.0,8.913,25.396,0.043
0.085,0.844,8.015,21.865,0.083
0.0,1.0,9.931,28.108,0.035
0.017,0.974,9.458,26.575,0.045
0.102,0.846,7.293,19.347,0.101
0.0,1.0,12.453,35.359,0.023
0.051,0.88,7.151,20.655,0.079
0.0,1.0,7.421,21.787,0.057
0.017,0.966,7.472,21.88,0.062
0.271,0.556,5.053,14.707,0.201
0.0,1.0,8.6,24.595,0.045
0.0,1.0,8.255,23.597,0.049
0.0,1.0,7.453,21.481,0.058
0.136,0.765,5.688,15.385,0.145
0.322,0.208,2.718,7.629,0.37
0.017,0.964,9.044,25.773,0.047
0.0,1.0,10.367,29.492,0.032
0.0,1.0,13.353,37.643,0.02
0.0,1.0,9.685,26.529,0.039
0.0,1.0,11.406,32.085,0.028
0.0,1.0,7.434,21.477,0.058
0.153,0.69,6.954,19.803,0.118
0.051,0.8,7.698,20.326,0.079
0.017,0.952,6.868,18.877,0.077
0.051,0.889,8.908,24.008,0.063
0.0,1.0,11.802,33.051,0.026
0.051,0.9,6.059,16.758,0.104
0.169,0.787,6.842,18.096,0.132
0.0,1.0,10.168,28.694,0.034
0.034,0.941,9.736,27.734,0.048
0.0,1.0,10.587,30.276,0.031
