Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.896,0.064,0.431,0.475,0.939
0.035,0.943,10.801,31.94,0.04
0.348,0.286,1.714,5.101,0.506
0.017,0.957,12.364,37.407,0.027
0.243,0.472,2.616,7.948,0.341
0.0,1.0,12.98,41.077,0.018
0.026,0.933,12.266,36.87,0.03
0.017,0.964,6.364,19.671,0.076
0.357,0.163,2.052,6.171,0.453
0.009,0.977,11.108,33.528,0.029
0.026,0.942,4.854,15.051,0.118
0.0,1.0,9.971,31.547,0.03
0.009,0.981,6.745,20.977,0.066
0.0,1.0,10.093,31.834,0.029
0.026,0.948,10.878,32.452,0.036
0.0,1.0,9.47,29.564,0.034
0.009,0.97,11.125,33.341,0.029
0.243,0.562,2.808,8.812,0.316
0.043,0.929,11.801,35.258,0.038
0.017,0.949,9.874,30.128,0.038
0.087,0.737,16.843,51.779,0.04
0.026,0.948,11.044,32.845,0.036
0.0,1.0,10.994,34.457,0.025
0.0,1.0,13.992,44.102,0.016
0.0,1.0,12.14,38.331,0.021
0.009,0.982,12.003,36.119,0.026
0.017,0.943,10.554,31.823,0.035
0.017,0.952,10.689,31.978,0.034
0.026,0.933,10.222,30.737,0.039
0.017,0.952,10.729,31.982,0.034
0.13,0.571,3.956,12.03,0.196
0.0,1.0,11.831,37.542,0.022
0.043,0.896,12.288,36.942,0.036
0.009,0.983,5.517,17.247,0.091
0.0,1.0,11.85,36.324,0.023
0.052,0.878,12.693,38.434,0.038
0.0,1.0,12.122,37.774,0.021
0.026,0.94,10.785,31.897,0.037
0.0,1.0,11.629,35.886,0.023
0.078,0.763,4.138,12.736,0.168
0.0,1.0,8.017,24.646,0.047
0.026,0.942,10.809,32.006,0.037
0.0,1.0,14.084,43.969,0.016
0.0,1.0,11.962,36.199,0.023
0.035,0.944,13.435,40.722,0.03
0.0,1.0,5.086,15.605,0.103
0.0,1.0,6.934,21.301,0.061
0.104,0.789,4.488,14.115,0.157
0.009,0.979,10.811,32.495,0.031
0.017,0.951,11.727,35.104,0.03
0.0,1.0,11.641,35.189,0.024
0.017,0.959,12.927,39.003,0.025
0.0,1.0,10.947,33.802,0.026
0.043,0.926,10.89,32.227,0.042
0.07,0.862,6.917,21.737,0.082
0.009,0.977,10.116,30.149,0.035
0.0,1.0,12.739,40.086,0.019
0.026,0.935,11.818,35.315,0.032
0.0,1.0,13.106,39.746,0.019
0.0,1.0,12.875,39.332,0.019
0.043,0.889,10.919,32.518,0.042
0.017,0.938,6.688,20.622,0.07
0.0,1.0,14.321,43.71,0.016
0.0,1.0,10.739,33.534,0.027
0.017,0.962,8.287,25.975,0.049
0.0,1.0,12.268,38.892,0.02
0.087,0.688,4.069,12.338,0.176
0.0,1.0,13.333,40.706,0.018
0.009,0.971,10.183,30.545,0.034
0.009,0.977,7.6,23.655,0.054
0.035,0.902,11.808,35.306,0.035
0.0,1.0,13.066,41.313,0.018
0.026,0.953,10.576,32.19,0.037
0.0,1.0,11.422,34.986,0.024
0.017,0.946,14.324,43.604,0.022
0.0,1.0,10.412,32.671,0.028
0.0,1.0,13.958,42.75,0.016
0.0,1.0,10.702,31.853,0.029
0.0,1.0,10.807,34.147,0.026
0.0,1.0,13.566,42.78,0.017
0.0,1.0,10.526,32.664,0.028
0.0,1.0,9.743,30.373,0.032
0.0,1.0,11.192,35.453,0.024
0.017,0.961,10.422,31.05,0.036
0.0,1.0,11.498,34.975,0.024
0.0,1.0,10.379,32.235,0.028
0.026,0.935,12.388,37.231,0.03
0.017,0.964,13.953,42.372,0.023
0.017,0.947,16.276,50.053,0.018
0.043,0.839,14.76,45.247,0.029
0.0,1.0,11.632,35.79,0.023
0.07,0.843,3.715,11.54,0.187
0.0,1.0,6.985,21.913,0.058
0.0,1.0,12.448,37.97,0.021
0.026,0.933,12.502,37.962,0.029
0.0,1.0,11.35,34.244,0.025
0.0,1.0,7.54,23.947,0.05
0.0,1.0,7.24,22.605,0.055
0.017,0.953,14.142,43.001,0.022
0.0,1.0,9.767,30.847,0.031
