Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.92,0.068,0.469,0.493,0.943
0.067,0.924,1.922,4.569,0.407
0.04,0.954,6.814,16.312,0.1
0.107,0.889,6.762,16.178,0.123
0.093,0.881,7.76,19.019,0.099
0.133,0.796,7.269,17.621,0.121
0.093,0.9,7.079,17.068,0.112
0.107,0.881,6.657,16.043,0.125
0.067,0.848,6.328,16.005,0.113
0.0,1.0,3.506,9.009,0.209
0.0,1.0,9.452,24.337,0.044
0.093,0.86,7.137,17.415,0.109
0.053,0.886,7.149,17.934,0.093
0.107,0.849,4.243,11.092,0.196
0.173,0.768,3.045,7.857,0.303
0.013,0.971,9.37,24.468,0.049
0.067,0.915,7.265,17.586,0.099
0.12,0.845,6.697,16.029,0.129
0.027,0.944,5.718,14.659,0.114
0.053,0.9,7.919,20.086,0.08
0.013,0.974,8.831,22.844,0.054
0.107,0.855,6.964,17.231,0.116
0.107,0.862,7.516,18.49,0.106
0.027,0.962,7.604,18.75,0.078
0.067,0.839,6.294,16.073,0.113
0.027,0.941,9.991,25.483,0.05
0.0,1.0,5.007,12.991,0.127
0.08,0.842,7.45,18.578,0.097
0.013,0.982,3.365,8.557,0.225
0.04,0.912,7.258,18.168,0.087
0.013,0.964,9.063,23.365,0.052
0.013,0.97,7.624,19.941,0.068
0.04,0.925,9.276,23.815,0.059
0.053,0.9,9.294,23.329,0.065
0.413,0.537,1.991,4.964,0.507
0.013,0.971,9.131,23.727,0.051
0.0,1.0,5.482,14.18,0.111
0.013,0.969,6.927,17.78,0.081
0.12,0.8,7.724,19.041,0.108
0.013,0.98,5.602,14.241,0.114
0.067,0.8,8.855,22.384,0.074
0.067,0.93,6.759,16.186,0.11
0.373,0.588,2.303,5.875,0.449
0.133,0.833,7.235,17.618,0.121
0.067,0.898,7.248,17.608,0.099
0.0,1.0,9.803,25.31,0.041
0.0,1.0,4.856,12.713,0.132
0.107,0.846,7.335,17.963,0.11
0.093,0.781,8.255,20.756,0.09
0.0,1.0,9.913,25.733,0.04
0.04,0.9,8.421,21.987,0.067
0.013,0.963,6.733,17.667,0.083
0.107,0.733,5.928,15.248,0.135
0.08,0.878,7.692,19.612,0.092
0.0,1.0,9.902,25.491,0.041
0.053,0.879,9.215,23.931,0.064
0.107,0.771,6.617,17.198,0.117
0.067,0.881,7.631,19.566,0.088
0.067,0.828,8.695,21.717,0.076
0.053,0.867,7.476,19.029,0.086
0.0,1.0,8.334,21.176,0.057
0.08,0.824,5.757,15.274,0.127
0.04,0.912,7.665,19.495,0.079
0.04,0.921,6.732,17.126,0.095
0.013,0.969,9.672,24.824,0.047
0.027,0.957,6.358,16.036,0.1
0.0,1.0,10.625,27.067,0.036
0.0,1.0,7.146,18.681,0.071
0.0,1.0,8.906,23.074,0.049
0.013,0.964,5.963,15.329,0.103
0.0,1.0,10.947,28.209,0.034
0.0,1.0,5.308,13.832,0.116
0.0,1.0,7.221,18.308,0.073
0.013,0.969,8.559,22.257,0.057
0.013,0.977,6.897,18.181,0.079
0.04,0.9,8.723,21.746,0.067
0.107,0.875,7.343,17.869,0.11
0.107,0.86,7.47,18.36,0.107
0.04,0.923,7.57,19.827,0.078
0.0,1.0,9.206,23.396,0.047
0.093,0.857,7.804,19.354,0.097
0.013,0.963,7.682,19.357,0.071
0.053,0.9,6.871,17.811,0.095
0.013,0.963,8.64,22.546,0.056
0.0,1.0,10.184,26.452,0.038
0.093,0.854,7.644,19.212,0.098
0.0,1.0,10.883,28.428,0.034
0.04,0.921,6.735,17.047,0.095
0.08,0.824,8.063,20.147,0.088
0.0,1.0,9.885,25.796,0.04
0.187,0.767,3.412,8.917,0.275
0.053,0.886,7.913,19.96,0.081
0.04,0.954,3.369,8.644,0.232
0.067,0.839,8.981,22.652,0.072
0.0,1.0,9.675,25.1,0.042
0.013,0.981,4.378,11.32,0.16
0.013,0.98,4.212,10.838,0.169
0.013,0.968,9.979,25.942,0.044
0.0,1.0,9.189,23.018,0.049
0.013,0.957,10.352,26.373,0.043
