Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.957,0.118,0.334,0.477,0.969
0.191,0.763,2.877,6.639,0.342
0.128,0.867,8.099,16.968,0.12
0.0,1.0,2.272,4.816,0.354
0.319,0.651,2.471,6.226,0.413
0.34,0.6,1.51,3.177,0.572
0.106,0.844,7.509,16.07,0.121
0.085,0.902,7.76,15.844,0.115
0.085,0.857,8.462,18.376,0.097
0.085,0.862,7.438,16.55,0.111
0.447,0.222,1.862,4.642,0.537
0.085,0.886,7.745,16.189,0.112
0.064,0.897,9.262,21.007,0.077
0.426,0.375,2.17,5.395,0.487
0.064,0.9,8.525,18.429,0.09
0.362,0.605,2.004,4.463,0.502
0.0,1.0,11.46,26.751,0.036
0.021,0.976,3.226,7.683,0.25
0.0,1.0,3.272,7.704,0.241
0.085,0.889,7.889,16.21,0.112
0.085,0.871,7.476,15.464,0.119
0.106,0.872,8.402,18.823,0.102
0.17,0.771,5.381,13.477,0.176
0.043,0.946,5.219,12.673,0.143
0.064,0.909,6.489,13.895,0.129
0.085,0.867,7.843,17.09,0.106
0.0,1.0,11.813,27.062,0.035
0.043,0.941,4.032,8.965,0.213
0.149,0.816,1.987,4.223,0.438
0.17,0.667,3.352,7.502,0.3
0.043,0.913,7.709,15.848,0.101
0.0,1.0,13.776,31.923,0.026
0.0,1.0,11.188,27.349,0.035
0.106,0.815,8.097,18.589,0.104
0.149,0.829,3.24,8.343,0.278
0.106,0.833,5.484,12.297,0.166
0.106,0.828,7.921,18.179,0.107
0.064,0.857,4.962,11.774,0.163
0.149,0.667,7.269,17.166,0.129
0.0,1.0,10.348,23.804,0.045
0.064,0.875,6.051,13.85,0.132
0.106,0.821,9.356,22.079,0.087
0.0,1.0,7.962,20.35,0.061
0.0,1.0,10.917,26.528,0.037
0.021,0.955,5.94,14.201,0.115
0.0,1.0,11.726,28.354,0.033
0.0,1.0,6.769,15.216,0.095
0.0,1.0,10.088,24.668,0.043
0.064,0.914,8.625,18.664,0.088
0.106,0.821,4.061,10.478,0.208
0.0,1.0,11.743,29.23,0.031
0.0,1.0,7.383,16.537,0.083
0.0,1.0,13.901,32.246,0.025
0.0,1.0,13.182,31.922,0.026
0.085,0.871,3.608,7.836,0.258
0.0,1.0,8.15,21.145,0.057
0.0,1.0,10.367,26.015,0.039
0.0,1.0,6.028,13.048,0.119
0.021,0.963,8.321,17.631,0.08
0.0,1.0,10.856,25.58,0.039
0.064,0.842,6.737,15.067,0.117
0.106,0.839,8.717,18.834,0.101
0.0,1.0,10.579,24.564,0.042
0.0,1.0,9.08,21.986,0.052
0.043,0.929,5.815,12.654,0.139
0.255,0.538,4.841,11.342,0.234
0.149,0.696,3.71,8.283,0.267
0.0,1.0,13.589,31.718,0.026
0.213,0.655,5.016,11.277,0.219
0.085,0.826,4.307,10.701,0.193
0.085,0.833,5.45,12.746,0.154
0.0,1.0,6.737,16.46,0.086
0.085,0.867,4.428,10.252,0.198
0.255,0.52,4.338,10.34,0.255
0.021,0.958,7.171,15.606,0.097
0.021,0.955,5.589,13.101,0.128
0.0,1.0,10.828,25.934,0.039
0.085,0.862,7.799,18.222,0.1
0.0,1.0,11.081,27.27,0.036
0.043,0.935,8.359,17.695,0.087
0.0,1.0,10.091,24.642,0.043
0.021,0.974,2.359,5.155,0.347
0.34,0.304,2.493,5.61,0.434
0.021,0.952,7.245,15.437,0.098
0.043,0.909,7.445,15.748,0.102
0.0,1.0,10.065,24.305,0.044
0.0,1.0,9.338,23.893,0.046
0.0,1.0,13.846,33.545,0.024
0.191,0.719,4.335,9.988,0.239
0.021,0.97,9.794,24.572,0.05
0.0,1.0,9.485,24.028,0.045
0.0,1.0,11.024,27.054,0.036
0.191,0.743,4.142,10.693,0.232
0.021,0.962,8.778,19.685,0.069
0.043,0.929,7.25,16.007,0.101
0.0,1.0,5.661,12.792,0.124
0.0,1.0,11.925,29.108,0.031
0.0,1.0,8.745,22.446,0.051
0.085,0.84,9.128,20.035,0.088
0.064,0.857,7.62,16.005,0.107
