Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.707,0.383,2.705,2.81,0.615
0.0,1.0,15.144,36.248,0.021
0.415,0.575,3.148,5.068,0.446
0.0,1.0,14.3,34.716,0.022
0.341,0.708,4.35,9.977,0.289
0.171,0.844,7.887,16.547,0.138
0.146,0.872,7.761,16.627,0.13
0.098,0.882,7.481,15.76,0.121
0.049,0.933,5.814,13.304,0.134
0.122,0.875,5.848,12.487,0.167
0.0,1.0,9.32,22.584,0.05
0.049,0.923,9.408,22.658,0.066
0.0,1.0,14.925,35.805,0.021
0.024,0.968,11.909,28.469,0.041
0.073,0.945,8.065,16.549,0.105
0.049,0.931,9.997,24.17,0.06
0.0,1.0,12.233,28.534,0.032
0.0,1.0,4.938,10.331,0.163
0.024,0.96,11.08,26.411,0.045
0.098,0.911,9.265,20.972,0.088
0.0,1.0,9.556,25.037,0.042
0.024,0.968,11.63,28.647,0.041
0.098,0.879,8.569,18.69,0.1
0.146,0.846,7.921,17.385,0.125
0.22,0.7,5.784,13.394,0.19
0.073,0.912,7.103,15.429,0.116
0.024,0.96,8.921,21.863,0.061
0.0,1.0,13.682,33.659,0.024
0.098,0.879,7.848,16.017,0.118
0.0,1.0,10.915,26.95,0.036
0.073,0.925,7.794,16.326,0.107
0.317,0.675,4.777,10.485,0.268
0.0,1.0,11.027,26.34,0.037
0.0,1.0,14.659,35.636,0.021
0.0,1.0,16.048,37.915,0.019
0.317,0.581,4.238,8.683,0.306
0.098,0.871,10.147,23.555,0.078
0.024,0.98,3.618,6.569,0.266
0.0,1.0,10.696,26.638,0.037
0.0,1.0,14.553,35.287,0.022
0.073,0.939,7.829,15.883,0.11
0.0,1.0,14.544,35.601,0.021
0.0,1.0,14.76,35.529,0.021
0.0,1.0,15.318,36.633,0.02
0.0,1.0,13.12,32.634,0.025
0.073,0.912,8.439,21.133,0.081
0.024,0.971,12.192,28.656,0.04
0.195,0.724,6.469,15.274,0.161
0.122,0.815,7.887,18.07,0.113
0.22,0.769,3.258,4.736,0.386
0.171,0.821,6.241,13.11,0.174
0.0,1.0,11.71,27.562,0.034
0.098,0.862,4.051,7.452,0.261
0.0,1.0,10.78,24.974,0.041
0.049,0.941,9.236,22.374,0.067
0.0,1.0,11.495,29.084,0.032
0.0,1.0,12.88,31.037,0.028
0.098,0.882,7.519,16.744,0.114
0.0,1.0,10.428,25.471,0.04
0.0,1.0,10.677,25.763,0.039
0.0,1.0,14.821,36.294,0.021
0.0,1.0,13.05,30.746,0.028
0.171,0.811,8.102,17.208,0.133
0.0,1.0,9.694,23.638,0.046
0.171,0.781,7.66,15.896,0.143
0.0,1.0,11.635,28.472,0.033
0.0,1.0,15.962,37.96,0.019
0.122,0.848,7.335,16.259,0.126
0.073,0.921,4.869,10.314,0.188
0.0,1.0,12.08,29.052,0.031
0.049,0.941,7.739,15.818,0.103
0.024,0.958,9.686,23.622,0.054
0.0,1.0,11.197,27.658,0.035
0.0,1.0,10.339,25.388,0.04
0.0,1.0,12.657,30.839,0.028
0.0,1.0,13.557,34.359,0.023
0.0,1.0,14.924,36.025,0.021
0.0,1.0,12.014,28.194,0.033
0.0,1.0,10.433,25.46,0.04
0.0,1.0,12.018,30.365,0.029
0.024,0.95,10.234,24.834,0.05
0.0,1.0,13.35,31.774,0.026
0.146,0.812,3.868,7.208,0.286
0.098,0.907,7.887,16.627,0.113
0.0,1.0,10.998,27.324,0.035
0.049,0.943,9.893,24.745,0.059
0.0,1.0,11.995,28.21,0.033
0.0,1.0,14.749,35.652,0.021
0.0,1.0,14.581,35.735,0.021
0.0,1.0,12.021,28.209,0.033
0.195,0.765,7.695,17.747,0.139
0.0,1.0,11.173,26.853,0.036
0.0,1.0,10.696,24.418,0.042
0.024,0.972,9.609,23.607,0.054
0.0,1.0,10.925,26.27,0.038
0.024,0.957,7.462,15.839,0.096
0.146,0.786,7.429,17.372,0.126
0.0,1.0,11.265,27.423,0.035
0.0,1.0,7.992,17.226,0.077
0.0,1.0,10.269,24.873,0.042
