Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.957,0.043,0.389,0.318,0.964
0.13,0.842,5.562,12.755,0.169
0.0,1.0,9.532,27.298,0.038
0.174,0.846,2.275,5.747,0.388
0.043,0.941,5.542,12.901,0.138
0.522,0.294,1.907,5.318,0.541
0.217,0.744,5.726,13.501,0.188
0.065,0.897,9.501,26.214,0.062
0.0,1.0,10.472,29.774,0.032
0.065,0.917,3.612,9.405,0.221
0.0,1.0,11.194,30.749,0.03
0.13,0.818,4.665,11.139,0.197
0.326,0.605,2.09,5.104,0.467
0.152,0.806,5.48,12.608,0.178
0.0,1.0,12.121,31.695,0.027
0.0,1.0,11.92,32.658,0.026
0.109,0.833,7.582,19.578,0.102
0.0,1.0,13.466,35.541,0.022
0.0,1.0,12.655,33.26,0.025
0.0,1.0,10.723,29.347,0.032
0.0,1.0,12.143,32.703,0.026
0.022,0.966,3.182,7.822,0.248
0.087,0.867,10.346,27.862,0.064
0.109,0.833,6.746,16.931,0.119
0.0,1.0,10.596,28.155,0.034
0.0,1.0,4.432,12.416,0.141
0.0,1.0,11.725,30.799,0.029
0.0,1.0,6.962,19.913,0.066
0.087,0.882,8.186,21.989,0.083
0.174,0.778,8.001,22.206,0.112
0.0,1.0,13.188,35.603,0.022
0.0,1.0,10.034,28.369,0.035
0.0,1.0,13.003,34.833,0.023
0.174,0.805,4.587,13.27,0.187
0.065,0.893,4.933,12.999,0.15
0.0,1.0,13.303,33.902,0.024
0.152,0.821,5.756,13.847,0.163
0.065,0.9,6.075,16.806,0.109
0.0,1.0,12.344,32.617,0.026
0.087,0.84,5.164,12.859,0.156
0.0,1.0,13.71,36.187,0.021
0.0,1.0,12.022,32.085,0.027
0.065,0.885,5.966,14.243,0.129
0.087,0.895,5.428,12.527,0.158
0.0,1.0,12.049,32.209,0.027
0.0,1.0,12.356,32.436,0.026
0.0,1.0,9.764,25.945,0.04
0.0,1.0,12.848,34.764,0.023
0.0,1.0,11.543,30.336,0.03
0.261,0.538,3.555,8.927,0.296
0.0,1.0,8.281,21.847,0.054
0.0,1.0,6.886,19.373,0.069
0.0,1.0,10.698,30.527,0.03
0.043,0.941,8.151,22.466,0.067
0.022,0.962,9.135,24.277,0.052
0.0,1.0,11.165,29.263,0.032
0.0,1.0,14.625,37.632,0.02
0.0,1.0,4.383,11.784,0.149
0.0,1.0,12.571,33.014,0.025
0.022,0.964,5.998,14.695,0.11
0.0,1.0,13.88,35.206,0.022
0.0,1.0,13.271,33.84,0.024
0.174,0.789,5.036,13.491,0.18
0.087,0.846,7.053,18.889,0.1
0.0,1.0,13.882,35.614,0.022
0.0,1.0,5.796,16.682,0.09
0.0,1.0,13.311,33.957,0.024
0.0,1.0,12.329,32.102,0.027
0.0,1.0,12.179,31.929,0.027
0.0,1.0,8.936,23.484,0.048
0.0,1.0,9.359,24.557,0.044
0.304,0.391,2.12,5.202,0.455
0.0,1.0,6.137,16.519,0.089
0.0,1.0,6.465,17.289,0.082
0.0,1.0,11.464,31.566,0.028
0.0,1.0,11.048,30.513,0.03
0.0,1.0,13.241,35.336,0.022
0.0,1.0,10.84,28.783,0.033
0.174,0.742,4.996,12.296,0.193
0.022,0.957,5.205,15.217,0.112
0.0,1.0,13.49,35.62,0.022
0.0,1.0,8.712,22.819,0.05
0.087,0.846,4.953,12.192,0.166
0.0,1.0,13.424,35.389,0.022
0.0,1.0,12.31,33.554,0.025
0.065,0.885,7.381,19.027,0.09
0.0,1.0,12.404,32.837,0.026
0.0,1.0,10.804,30.684,0.03
0.0,1.0,13.405,34.813,0.023
0.0,1.0,14.147,35.613,0.022
0.174,0.75,6.064,14.493,0.163
0.0,1.0,13.0,33.508,0.025
0.043,0.952,5.706,14.196,0.124
0.0,1.0,11.133,30.386,0.03
0.109,0.833,6.199,17.786,0.117
0.0,1.0,13.394,35.163,0.023
0.0,1.0,14.128,36.446,0.021
0.0,1.0,13.048,33.436,0.025
0.0,1.0,11.446,30.699,0.029
0.0,1.0,14.763,37.516,0.02
