Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.098,0.372,0.314,0.98
0.0,1.0,16.142,36.84,0.02
0.055,0.942,11.108,22.41,0.066
0.0,1.0,23.315,55.479,0.009
0.0,1.0,7.977,23.732,0.049
0.0,1.0,12.712,31.293,0.027
0.0,1.0,15.832,38.653,0.018
0.0,1.0,11.495,28.504,0.033
0.018,0.971,6.623,20.231,0.072
0.0,1.0,22.562,53.534,0.01
0.0,1.0,21.11,49.538,0.011
0.0,1.0,8.357,24.016,0.048
0.0,1.0,5.827,14.103,0.11
0.0,1.0,14.071,34.362,0.023
0.0,1.0,22.355,55.339,0.009
0.0,1.0,15.947,38.732,0.018
0.0,1.0,21.956,54.544,0.009
0.0,1.0,10.138,25.272,0.041
0.218,0.692,2.297,5.205,0.415
0.0,1.0,21.296,55.018,0.009
0.0,1.0,21.363,52.459,0.01
0.0,1.0,14.546,36.967,0.02
0.018,0.974,7.014,19.802,0.072
0.455,0.286,2.102,5.156,0.508
0.0,1.0,22.009,53.752,0.01
0.091,0.886,3.676,8.165,0.251
0.0,1.0,21.249,52.135,0.01
0.0,1.0,22.402,56.961,0.009
0.0,1.0,10.036,24.665,0.043
0.0,1.0,11.706,29.787,0.03
0.0,1.0,14.516,36.195,0.021
0.0,1.0,11.987,31.335,0.028
0.0,1.0,18.212,42.918,0.015
0.0,1.0,19.489,46.574,0.013
0.0,1.0,12.466,28.009,0.033
0.0,1.0,11.417,30.645,0.029
0.0,1.0,21.405,54.523,0.01
0.0,1.0,21.801,50.87,0.011
0.0,1.0,23.667,56.45,0.009
0.0,1.0,12.91,29.36,0.03
0.0,1.0,13.47,31.056,0.027
0.0,1.0,17.366,44.407,0.014
0.0,1.0,23.632,56.663,0.009
0.0,1.0,12.038,29.505,0.031
0.0,1.0,21.804,53.837,0.01
0.0,1.0,13.196,30.319,0.029
0.0,1.0,19.38,50.629,0.011
0.0,1.0,14.315,32.024,0.026
0.018,0.977,10.657,21.496,0.058
0.055,0.919,10.971,22.117,0.067
0.0,1.0,12.598,28.653,0.032
0.0,1.0,21.748,51.681,0.01
0.0,1.0,12.999,32.988,0.025
0.0,1.0,12.887,32.029,0.026
0.0,1.0,24.381,61.098,0.008
0.0,1.0,11.783,25.667,0.038
0.0,1.0,10.693,27.933,0.035
0.0,1.0,13.212,34.112,0.024
0.055,0.925,7.382,17.638,0.094
0.0,1.0,7.766,23.024,0.052
0.0,1.0,8.096,22.475,0.053
0.0,1.0,24.696,61.252,0.008
0.0,1.0,12.8,30.88,0.028
0.0,1.0,10.285,28.381,0.034
0.0,1.0,20.695,50.815,0.011
0.0,1.0,24.662,59.593,0.008
0.0,1.0,12.525,30.508,0.029
0.0,1.0,16.606,39.251,0.018
0.0,1.0,13.493,31.827,0.026
0.109,0.842,3.761,8.699,0.245
0.0,1.0,13.622,31.122,0.027
0.0,1.0,12.248,26.974,0.035
0.0,1.0,14.163,31.976,0.026
0.0,1.0,23.886,59.488,0.008
0.0,1.0,14.653,37.706,0.02
0.0,1.0,20.633,49.926,0.011
0.0,1.0,18.357,41.883,0.015
0.0,1.0,12.927,31.493,0.027
0.0,1.0,23.278,56.113,0.009
0.0,1.0,17.047,41.853,0.016
0.0,1.0,12.982,30.147,0.029
0.0,1.0,12.756,31.044,0.028
0.0,1.0,22.678,57.277,0.009
0.0,1.0,20.676,49.89,0.011
0.0,1.0,15.584,39.532,0.018
0.0,1.0,14.959,37.807,0.019
0.055,0.935,7.298,19.582,0.085
0.0,1.0,24.658,60.271,0.008
0.0,1.0,19.939,48.121,0.012
0.0,1.0,16.862,42.626,0.015
0.0,1.0,22.126,56.814,0.009
0.073,0.913,14.605,32.005,0.05
0.0,1.0,14.958,36.38,0.021
0.0,1.0,16.839,41.514,0.016
0.0,1.0,13.491,33.046,0.025
0.0,1.0,10.19,28.732,0.034
0.0,1.0,10.96,29.291,0.032
0.0,1.0,12.712,30.459,0.029
0.0,1.0,21.156,54.403,0.01
0.2,0.676,3.543,8.773,0.279
