Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.87,0.054,0.405,1.099,0.928
0.01,0.98,10.018,26.722,0.041
0.05,0.911,7.861,20.569,0.077
0.04,0.917,8.102,21.281,0.07
0.03,0.941,7.863,20.02,0.073
0.04,0.938,10.009,26.05,0.053
0.04,0.942,7.837,20.646,0.073
0.0,1.0,13.72,36.364,0.021
0.02,0.962,7.495,19.423,0.073
0.31,0.415,3.623,9.408,0.302
0.02,0.967,8.33,22.477,0.059
0.49,0.155,4.293,11.097,0.323
0.0,1.0,13.713,37.921,0.02
0.0,1.0,15.015,39.814,0.018
0.0,1.0,10.679,29.569,0.032
0.0,1.0,9.798,26.371,0.039
0.04,0.913,8.885,22.777,0.063
0.0,1.0,9.1,23.474,0.047
0.01,0.982,9.651,25.203,0.045
0.0,1.0,14.726,39.395,0.018
0.0,1.0,8.299,21.315,0.056
0.01,0.978,8.616,21.353,0.059
0.0,1.0,11.797,32.482,0.027
0.0,1.0,8.702,22.724,0.051
0.0,1.0,12.851,35.1,0.023
0.0,1.0,8.617,22.297,0.052
0.0,1.0,8.552,22.112,0.053
0.01,0.984,9.837,26.113,0.043
0.0,1.0,10.921,29.098,0.032
0.0,1.0,16.653,43.996,0.015
0.04,0.907,8.906,22.106,0.065
0.02,0.957,9.304,23.526,0.054
0.02,0.958,12.348,32.989,0.032
0.09,0.852,7.357,20.478,0.092
0.0,1.0,11.795,32.398,0.027
0.08,0.897,8.139,21.187,0.084
0.0,1.0,14.181,37.359,0.02
0.0,1.0,8.737,22.841,0.05
0.0,1.0,9.79,26.753,0.038
0.04,0.947,7.651,20.328,0.075
0.03,0.953,6.888,18.317,0.084
0.03,0.938,8.52,21.785,0.064
0.03,0.947,9.7,25.554,0.051
0.04,0.925,13.879,35.797,0.035
0.03,0.921,9.222,23.361,0.058
0.0,1.0,14.922,39.689,0.018
0.01,0.983,11.304,28.32,0.037
0.0,1.0,9.785,26.509,0.039
0.0,1.0,16.708,45.477,0.014
0.01,0.979,7.358,19.138,0.072
0.02,0.957,7.788,21.22,0.065
0.0,1.0,9.203,24.613,0.044
0.0,1.0,14.353,37.644,0.02
0.0,1.0,14.201,37.939,0.02
0.05,0.884,8.095,21.118,0.074
0.02,0.967,9.056,22.329,0.058
0.02,0.961,9.896,25.729,0.047
0.02,0.966,9.766,25.769,0.047
0.0,1.0,14.604,39.0,0.019
0.0,1.0,10.83,30.099,0.031
0.0,1.0,13.12,35.249,0.023
0.02,0.966,7.928,21.493,0.063
0.01,0.977,10.309,27.203,0.04
0.0,1.0,14.236,38.519,0.019
0.0,1.0,14.188,37.888,0.02
0.01,0.981,10.749,29.067,0.036
0.06,0.893,6.575,17.576,0.1
0.04,0.929,8.607,21.311,0.069
0.03,0.936,9.136,22.617,0.06
0.02,0.958,8.779,23.648,0.054
0.01,0.976,9.831,26.825,0.041
0.0,1.0,8.769,22.356,0.052
0.09,0.812,11.005,27.687,0.065
0.05,0.909,8.329,21.762,0.071
0.0,1.0,13.023,35.488,0.022
0.0,1.0,9.94,26.992,0.037
0.01,0.97,9.98,25.573,0.044
0.05,0.848,8.146,21.085,0.074
0.0,1.0,15.115,40.199,0.018
0.0,1.0,9.451,24.736,0.043
0.02,0.971,9.595,25.589,0.048
0.0,1.0,14.263,39.338,0.019
0.0,1.0,14.999,40.185,0.018
0.01,0.979,8.693,21.59,0.058
0.01,0.98,8.396,23.011,0.054
0.04,0.933,8.422,22.143,0.066
0.0,1.0,15.59,40.472,0.017
0.02,0.955,9.638,25.376,0.048
0.0,1.0,10.193,27.503,0.036
0.0,1.0,12.936,35.575,0.022
0.0,1.0,14.739,39.482,0.018
0.04,0.879,8.715,22.783,0.064
0.0,1.0,9.51,24.098,0.045
0.0,1.0,13.547,37.351,0.02
0.0,1.0,12.859,34.717,0.023
0.0,1.0,11.871,32.885,0.026
0.0,1.0,13.459,35.08,0.023
0.0,1.0,13.513,35.579,0.022
0.03,0.939,8.938,22.956,0.059
0.0,1.0,14.193,38.2,0.019
