Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.108,0.323,0.755,0.983
0.0,1.0,12.557,33.364,0.025
0.242,0.742,4.821,10.646,0.24
0.303,0.714,5.097,11.501,0.245
0.0,1.0,14.411,41.459,0.017
0.0,1.0,14.238,38.959,0.019
0.242,0.771,4.564,10.088,0.252
0.0,1.0,13.366,35.78,0.022
0.121,0.895,5.045,11.378,0.187
0.364,0.556,4.212,9.67,0.304
0.152,0.75,4.697,10.15,0.219
0.333,0.756,5.604,12.43,0.24
0.061,0.944,5.755,13.22,0.139
0.303,0.643,4.845,10.644,0.26
0.061,0.923,5.722,14.351,0.128
0.303,0.667,4.189,9.73,0.283
0.333,0.593,4.905,10.647,0.269
0.273,0.679,4.824,10.461,0.253
0.152,0.75,3.95,8.595,0.257
0.303,0.615,4.099,8.981,0.298
0.212,0.781,4.504,9.809,0.247
0.0,1.0,13.188,35.122,0.023
0.697,0.207,4.709,11.205,0.385
0.182,0.75,4.874,10.653,0.219
0.061,0.926,5.072,11.389,0.166
0.333,0.694,5.613,13.247,0.231
0.03,0.967,5.083,12.635,0.141
0.273,0.719,4.309,9.693,0.272
0.03,0.963,5.777,13.823,0.123
0.303,0.714,5.172,11.771,0.241
0.0,1.0,12.68,36.219,0.022
0.273,0.75,5.191,11.557,0.234
0.606,0.231,5.466,13.241,0.323
0.0,1.0,10.531,29.131,0.033
0.182,0.778,4.866,10.743,0.218
0.333,0.703,4.746,10.49,0.273
0.273,0.667,4.723,10.767,0.249
0.212,0.767,5.091,11.019,0.222
0.545,0.526,3.581,8.453,0.399
0.182,0.8,5.419,11.853,0.198
0.303,0.667,5.949,13.293,0.218
0.152,0.839,4.491,10.309,0.219
0.0,1.0,5.949,14.35,0.106
0.03,0.968,4.768,11.401,0.159
0.091,0.88,4.841,10.75,0.188
0.0,1.0,13.344,38.052,0.02
0.242,0.692,5.023,10.894,0.234
0.0,1.0,12.654,36.601,0.022
0.303,0.697,6.111,13.268,0.217
0.242,0.724,4.464,10.189,0.251
0.212,0.821,4.979,10.818,0.226
0.212,0.72,3.394,7.585,0.311
0.0,1.0,13.29,35.074,0.023
0.485,0.484,4.074,9.219,0.355
0.03,0.962,5.856,13.651,0.124
0.212,0.741,4.935,10.706,0.228
0.182,0.778,4.784,10.461,0.223
0.0,1.0,11.719,32.338,0.027
0.182,0.812,4.974,11.053,0.212
0.03,0.971,7.104,18.068,0.085
0.303,0.688,5.138,11.322,0.247
0.636,0.3,3.808,8.709,0.42
0.273,0.735,4.585,10.226,0.259
0.03,0.964,6.27,15.672,0.104
0.0,1.0,14.529,42.415,0.016
0.303,0.697,3.738,8.463,0.315
0.0,1.0,14.035,38.481,0.019
0.182,0.684,4.502,9.853,0.236
0.303,0.643,5.314,11.858,0.239
0.212,0.781,3.374,7.36,0.316
0.242,0.667,4.731,10.321,0.246
0.0,1.0,11.622,31.879,0.028
0.242,0.68,4.095,9.919,0.261
0.0,1.0,14.661,42.367,0.016
0.242,0.636,4.3,9.43,0.266
0.0,1.0,14.67,40.589,0.017
0.636,0.222,5.304,12.873,0.338
0.303,0.73,4.406,10.245,0.272
0.0,1.0,14.29,39.661,0.018
0.273,0.679,4.471,10.451,0.257
0.182,0.769,5.178,11.48,0.204
0.0,1.0,12.667,35.153,0.023
0.606,0.375,5.68,13.586,0.318
0.515,0.485,3.323,8.231,0.4
0.242,0.733,6.477,15.842,0.172
0.182,0.824,4.3,9.932,0.238
0.303,0.655,4.863,10.799,0.257
0.636,0.25,4.96,12.063,0.351
0.0,1.0,14.677,40.009,0.018
0.152,0.762,4.362,9.44,0.235
0.636,0.16,4.826,11.357,0.361
0.182,0.76,5.335,11.774,0.199
0.0,1.0,13.159,35.527,0.022
0.0,1.0,11.313,31.24,0.029
0.273,0.625,5.185,11.653,0.232
0.212,0.759,4.538,10.021,0.243
0.273,0.64,5.535,11.942,0.226
0.212,0.75,5.101,11.06,0.221
0.303,0.655,4.833,10.578,0.261
0.273,0.71,4.669,10.29,0.257
