Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,10.475,30.819,0.03
0.0,1.0,11.031,32.546,0.027
0.0,1.0,9.815,29.32,0.033
0.0,1.0,8.73,26.039,0.042
0.316,0.657,3.781,11.053,0.274
0.0,1.0,11.194,33.03,0.027
0.0,1.0,10.785,32.033,0.028
0.368,0.632,1.537,4.467,0.547
0.526,0.474,1.859,5.294,0.547
0.763,0.326,0.911,2.598,0.803
0.0,1.0,10.411,30.75,0.03
0.316,0.667,2.552,7.726,0.373
0.0,1.0,10.77,31.923,0.028
0.132,0.853,2.65,8.042,0.301
0.395,0.559,1.456,4.25,0.57
0.105,0.895,5.489,15.157,0.138
0.0,1.0,11.627,34.724,0.024
0.0,1.0,11.335,33.718,0.026
0.316,0.586,5.83,17.17,0.192
0.211,0.778,6.429,18.1,0.148
0.0,1.0,10.838,32.086,0.028
0.079,0.9,5.502,15.076,0.13
0.0,1.0,9.688,29.063,0.034
0.158,0.786,5.965,17.026,0.139
0.632,0.273,2.214,6.348,0.529
0.053,0.941,5.296,14.754,0.125
0.0,1.0,10.554,31.333,0.029
0.0,1.0,11.282,33.562,0.026
0.0,1.0,10.168,30.377,0.031
0.237,0.719,4.431,12.6,0.217
0.289,0.593,1.632,4.946,0.498
0.0,1.0,10.529,31.031,0.03
0.079,0.889,5.588,15.5,0.126
0.0,1.0,11.396,33.847,0.025
0.0,1.0,9.025,27.076,0.039
0.0,1.0,9.622,28.82,0.035
0.184,0.72,5.884,16.895,0.149
0.0,1.0,10.67,32.043,0.028
0.0,1.0,10.108,30.276,0.032
0.184,0.788,5.997,16.669,0.15
0.0,1.0,10.366,31.09,0.03
0.211,0.714,6.345,17.875,0.149
0.0,1.0,9.478,28.328,0.036
0.079,0.914,3.273,9.977,0.224
0.0,1.0,11.729,35.67,0.023
0.0,1.0,10.715,31.484,0.029
0.0,1.0,11.65,34.81,0.024
0.0,1.0,9.042,27.139,0.039
0.263,0.714,6.341,17.831,0.167
0.0,1.0,12.31,35.846,0.023
0.0,1.0,9.394,28.109,0.036
0.316,0.6,3.491,10.256,0.293
0.0,1.0,9.201,27.743,0.037
0.0,1.0,12.059,35.375,0.023
0.105,0.852,3.119,9.527,0.245
0.289,0.633,1.778,5.321,0.475
0.263,0.688,2.827,8.861,0.321
0.921,0.103,0.43,1.265,0.941
0.105,0.9,5.494,15.027,0.139
0.0,1.0,10.625,31.515,0.029
0.0,1.0,9.292,27.272,0.038
0.0,1.0,8.611,25.755,0.043
0.0,1.0,10.248,31.038,0.03
0.0,1.0,10.75,32.004,0.028
0.0,1.0,9.383,28.251,0.036
0.0,1.0,10.837,32.093,0.028
0.0,1.0,10.925,32.449,0.028
0.184,0.731,5.138,14.476,0.173
0.132,0.783,5.791,16.45,0.135
0.158,0.824,5.421,15.068,0.157
0.0,1.0,10.955,33.002,0.027
0.0,1.0,12.181,36.4,0.022
0.0,1.0,8.769,26.331,0.041
0.368,0.562,2.345,7.239,0.413
0.053,0.933,5.096,14.287,0.131
0.0,1.0,10.982,33.099,0.027
0.105,0.867,6.134,17.039,0.12
0.0,1.0,9.82,29.389,0.033
0.0,1.0,11.087,32.887,0.027
0.263,0.677,1.927,5.556,0.447
0.105,0.889,3.311,9.891,0.233
0.105,0.857,3.776,11.731,0.195
0.053,0.931,3.54,10.859,0.195
0.105,0.867,3.959,12.102,0.187
0.5,0.5,1.5,4.224,0.601
0.263,0.63,4.809,13.515,0.212
0.105,0.871,5.612,15.543,0.134
0.447,0.393,1.175,3.375,0.644
0.0,1.0,9.007,26.711,0.04
0.211,0.733,6.355,18.072,0.148
0.289,0.577,1.257,3.589,0.575
0.316,0.52,3.61,10.711,0.283
0.0,1.0,9.771,29.297,0.034
0.447,0.514,2.867,8.493,0.388
0.0,1.0,10.34,30.514,0.031
0.289,0.607,3.673,10.682,0.273
0.211,0.714,2.397,7.276,0.356
0.105,0.852,5.332,14.658,0.143
0.0,1.0,11.033,32.768,0.027
0.0,1.0,12.48,36.396,0.022
