Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.062,0.201,0.474,0.993
0.089,0.886,7.256,15.769,0.118
0.267,0.625,2.387,6.113,0.403
0.089,0.862,6.913,15.727,0.12
0.778,0.205,0.75,1.703,0.846
0.644,0.463,1.104,2.638,0.735
0.111,0.848,7.372,17.039,0.117
0.067,0.906,7.32,15.84,0.11
0.267,0.571,2.587,6.74,0.377
0.244,0.703,2.124,5.36,0.431
0.356,0.5,1.754,4.321,0.524
0.644,0.147,1.026,2.535,0.748
0.511,0.425,1.107,2.776,0.687
0.244,0.75,2.447,6.239,0.389
0.822,0.26,0.951,2.046,0.827
0.244,0.744,4.001,8.68,0.286
0.089,0.889,7.17,15.647,0.12
0.133,0.818,4.998,12.241,0.18
0.178,0.795,7.128,15.1,0.154
0.089,0.892,7.335,16.012,0.116
0.178,0.8,3.213,7.917,0.297
0.067,0.914,7.175,15.414,0.114
0.111,0.815,7.083,16.399,0.122
0.067,0.909,7.417,16.782,0.103
0.289,0.667,1.447,3.469,0.555
0.244,0.607,3.235,8.69,0.303
0.089,0.879,7.106,15.484,0.121
0.289,0.567,1.825,4.125,0.5
0.422,0.367,2.513,5.666,0.459
0.2,0.75,4.082,9.574,0.253
0.156,0.8,3.154,8.483,0.28
0.311,0.588,1.81,4.026,0.512
0.489,0.476,1.584,3.974,0.594
0.4,0.308,1.261,3.051,0.624
0.089,0.867,7.167,15.989,0.117
0.111,0.853,7.072,15.125,0.131
0.311,0.641,1.877,4.675,0.49
0.089,0.857,6.98,15.285,0.123
0.6,0.5,1.339,3.184,0.678
0.089,0.886,7.149,15.721,0.119
0.356,0.407,1.456,3.624,0.572
0.067,0.9,7.066,15.199,0.116
0.067,0.875,7.062,15.551,0.113
0.533,0.273,1.501,3.264,0.635
0.289,0.618,2.501,6.222,0.401
0.311,0.533,2.583,6.642,0.395
0.111,0.868,6.912,14.584,0.137
0.067,0.889,6.919,15.002,0.118
0.067,0.875,6.605,15.234,0.118
0.489,0.333,2.058,5.154,0.522
0.267,0.657,1.864,4.748,0.474
0.178,0.81,2.876,7.033,0.328
0.356,0.448,1.458,3.297,0.58
0.089,0.905,7.248,15.722,0.119
0.067,0.864,7.426,16.223,0.107
0.333,0.545,2.48,6.351,0.414
0.311,0.548,2.526,6.652,0.397
0.089,0.871,7.211,15.925,0.117
0.156,0.8,3.092,7.967,0.293
0.333,0.423,1.62,4.026,0.537
0.622,0.2,1.006,2.186,0.75
0.422,0.537,2.496,6.322,0.444
0.089,0.879,6.994,15.304,0.123
0.4,0.4,1.782,3.914,0.547
0.8,0.217,1.02,2.335,0.804
0.089,0.818,7.674,17.541,0.105
0.244,0.656,1.527,3.793,0.523
0.133,0.769,2.266,5.236,0.388
0.244,0.645,2.046,5.168,0.441
0.622,0.243,1.784,3.986,0.619
0.133,0.778,3.05,8.387,0.278
0.289,0.536,2.221,5.639,0.432
0.489,0.511,1.266,3.034,0.653
0.111,0.828,7.604,17.277,0.114
0.178,0.742,2.988,8.26,0.298
0.178,0.724,3.347,8.705,0.278
0.089,0.862,6.902,14.779,0.128
0.178,0.771,2.837,7.579,0.318
0.244,0.676,1.658,4.008,0.504
0.133,0.793,7.043,15.066,0.139
0.089,0.84,6.962,15.075,0.125
0.067,0.87,7.29,15.545,0.112
0.111,0.762,2.996,6.653,0.311
0.067,0.88,7.334,16.026,0.109
0.733,0.175,0.873,2.069,0.808
0.244,0.703,2.331,5.454,0.415
0.4,0.455,1.45,3.469,0.591
0.111,0.872,7.048,15.208,0.131
0.111,0.881,6.978,14.722,0.135
0.2,0.727,3.413,7.363,0.311
0.133,0.812,4.768,11.453,0.193
0.089,0.862,7.069,15.217,0.123
0.644,0.396,1.049,2.297,0.749
0.311,0.481,1.721,4.151,0.517
0.2,0.7,2.08,5.483,0.416
0.356,0.543,3.871,8.879,0.321
0.089,0.857,6.964,15.208,0.124
0.533,0.172,1.034,2.441,0.712
0.222,0.697,1.802,4.292,0.476
0.711,0.289,1.368,3.623,0.701
