Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.978,0.043,0.214,0.491,0.985
0.283,0.729,4.416,9.452,0.278
0.413,0.635,3.793,7.824,0.363
0.304,0.611,3.396,7.185,0.35
0.391,0.591,5.762,12.706,0.255
0.0,1.0,16.858,38.825,0.018
0.304,0.6,5.662,12.871,0.225
0.0,1.0,18.11,40.995,0.016
0.326,0.625,3.763,7.781,0.336
0.0,1.0,14.019,32.723,0.025
0.0,1.0,14.174,33.265,0.024
0.37,0.614,4.159,9.035,0.318
0.283,0.649,2.848,6.125,0.386
0.196,0.757,4.263,9.423,0.251
0.0,1.0,18.165,43.329,0.015
0.304,0.702,6.862,15.167,0.196
0.0,1.0,13.164,29.599,0.03
0.0,1.0,15.328,36.534,0.02
0.217,0.722,6.576,14.714,0.172
0.0,1.0,13.649,30.868,0.027
0.0,1.0,19.121,43.432,0.014
0.326,0.605,4.508,10.327,0.277
0.261,0.778,3.974,9.595,0.275
0.0,1.0,14.746,34.492,0.022
0.174,0.818,5.719,13.166,0.177
0.13,0.85,15.006,30.028,0.072
0.174,0.771,9.177,19.217,0.121
0.174,0.818,4.722,10.774,0.216
0.0,1.0,15.18,33.041,0.024
0.087,0.92,13.158,26.991,0.063
0.174,0.814,7.188,16.164,0.144
0.043,0.933,13.176,28.884,0.045
0.348,0.448,4.157,8.686,0.317
0.0,1.0,13.803,30.975,0.027
0.043,0.958,13.838,29.804,0.043
0.043,0.953,12.537,25.286,0.053
0.087,0.909,12.213,24.53,0.07
0.13,0.824,12.456,25.382,0.082
0.457,0.447,5.073,10.673,0.308
0.087,0.886,4.979,11.737,0.171
0.0,1.0,14.096,32.06,0.026
0.304,0.517,4.046,8.464,0.309
0.304,0.632,4.493,10.091,0.273
0.065,0.93,10.767,22.665,0.069
0.0,1.0,19.86,45.42,0.013
0.196,0.812,4.765,10.606,0.226
0.283,0.723,5.58,11.825,0.23
0.239,0.593,3.903,8.188,0.296
0.304,0.702,4.134,9.111,0.295
0.0,1.0,18.957,43.928,0.014
0.174,0.733,3.733,8.756,0.266
0.0,1.0,14.123,31.286,0.027
0.109,0.878,12.648,25.078,0.075
0.37,0.614,8.352,18.733,0.191
0.0,1.0,13.339,30.263,0.029
0.109,0.875,5.61,12.974,0.159
0.0,1.0,15.523,37.036,0.02
0.043,0.933,12.008,24.118,0.056
0.0,1.0,17.636,42.232,0.015
0.0,1.0,15.147,34.816,0.022
0.022,0.976,11.204,24.571,0.049
0.0,1.0,10.373,24.285,0.043
0.261,0.684,6.438,14.399,0.19
0.304,0.65,4.51,9.318,0.286
0.0,1.0,19.957,45.531,0.013
0.174,0.733,6.066,13.805,0.169
0.0,1.0,18.217,42.332,0.015
0.348,0.68,6.814,15.13,0.211
0.174,0.75,5.429,12.486,0.187
0.0,1.0,10.601,27.511,0.036
0.37,0.469,3.588,7.795,0.354
0.391,0.561,4.307,9.089,0.322
0.0,1.0,15.369,34.53,0.022
0.087,0.846,11.634,24.006,0.072
0.0,1.0,14.739,35.55,0.021
0.022,0.97,8.868,19.903,0.068
0.043,0.939,13.798,27.248,0.048
0.174,0.84,5.694,13.801,0.171
0.283,0.717,4.923,10.811,0.25
0.283,0.629,5.718,12.39,0.222
0.174,0.822,7.398,16.933,0.138
0.413,0.525,4.612,10.977,0.295
0.13,0.812,6.982,15.583,0.135
0.087,0.889,5.223,11.169,0.177
0.065,0.903,9.441,21.938,0.073
0.326,0.643,5.371,12.054,0.244
0.109,0.848,12.967,25.997,0.073
0.304,0.689,3.501,7.391,0.343
0.196,0.71,5.692,12.74,0.19
0.0,1.0,13.28,29.562,0.03
0.217,0.643,4.933,10.702,0.23
0.283,0.698,4.131,8.489,0.3
0.37,0.653,3.575,8.229,0.345
0.0,1.0,11.977,31.074,0.028
0.13,0.812,3.613,7.474,0.28
0.0,1.0,11.432,28.177,0.033
0.0,1.0,15.206,33.327,0.024
0.109,0.909,10.637,23.138,0.082
0.283,0.711,6.426,13.504,0.206
0.239,0.711,4.571,9.216,0.265
