Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.246,0.759,4.671,12.194,0.222
0.0,1.0,9.488,25.961,0.04
0.0,1.0,12.683,33.081,0.025
0.0,1.0,13.334,34.79,0.023
0.053,0.946,7.49,18.468,0.089
0.123,0.841,3.447,9.006,0.251
0.0,1.0,9.884,25.669,0.04
0.228,0.759,3.082,7.798,0.321
0.0,1.0,13.901,36.92,0.021
0.0,1.0,7.599,18.399,0.071
0.0,1.0,8.58,23.21,0.049
0.053,0.93,6.89,16.674,0.101
0.298,0.638,3.459,8.989,0.31
0.018,0.977,6.956,16.793,0.089
0.246,0.548,3.732,9.189,0.282
0.246,0.702,3.434,8.881,0.295
0.14,0.758,3.417,8.396,0.269
0.105,0.885,8.815,21.965,0.088
0.0,1.0,12.404,32.694,0.026
0.0,1.0,10.278,27.938,0.035
0.088,0.898,7.382,17.791,0.104
0.0,1.0,12.366,32.621,0.026
0.035,0.953,7.006,16.88,0.094
0.263,0.634,3.524,9.07,0.295
0.298,0.691,3.393,8.401,0.323
0.0,1.0,11.004,28.943,0.033
0.0,1.0,9.27,25.297,0.042
0.105,0.875,6.027,15.216,0.134
0.0,1.0,13.67,35.635,0.022
0.0,1.0,12.414,32.662,0.026
0.0,1.0,13.943,36.495,0.021
0.105,0.875,5.344,13.481,0.154
0.14,0.837,2.933,7.555,0.302
0.123,0.788,5.048,12.978,0.168
0.0,1.0,16.367,43.311,0.015
0.175,0.787,5.16,12.494,0.19
0.158,0.791,6.341,16.097,0.143
0.0,1.0,12.395,32.704,0.026
0.0,1.0,13.158,34.454,0.023
0.0,1.0,9.348,25.557,0.042
0.0,1.0,9.701,26.361,0.039
0.0,1.0,12.735,33.592,0.025
0.105,0.885,5.835,14.133,0.144
0.123,0.848,6.706,17.093,0.123
0.14,0.81,6.023,14.543,0.151
0.0,1.0,12.838,33.915,0.024
0.193,0.761,5.08,12.834,0.193
0.07,0.915,7.755,19.002,0.091
0.0,1.0,12.143,31.896,0.027
0.018,0.977,6.138,15.146,0.104
0.211,0.676,4.693,11.779,0.215
0.0,1.0,10.596,27.501,0.036
0.105,0.86,5.547,14.383,0.144
0.0,1.0,12.901,33.845,0.024
0.0,1.0,14.02,36.897,0.021
0.0,1.0,14.445,38.673,0.019
0.07,0.927,6.325,15.377,0.119
0.0,1.0,11.946,32.44,0.027
0.0,1.0,7.088,17.35,0.079
0.211,0.806,4.372,11.489,0.223
0.0,1.0,12.497,32.928,0.026
0.175,0.783,2.589,6.315,0.357
0.035,0.947,7.29,17.581,0.088
0.228,0.667,3.119,7.675,0.322
0.053,0.932,7.427,18.668,0.088
0.316,0.609,3.869,9.544,0.296
0.263,0.706,2.988,7.669,0.339
0.035,0.963,6.964,16.98,0.093
0.0,1.0,10.439,28.489,0.034
0.14,0.843,3.395,8.564,0.267
0.211,0.684,3.848,9.87,0.256
0.175,0.804,3.643,8.839,0.267
0.0,1.0,9.974,26.986,0.037
0.0,1.0,9.002,24.415,0.045
0.175,0.804,5.38,13.576,0.176
0.053,0.921,7.107,17.152,0.097
0.0,1.0,9.363,25.585,0.041
0.14,0.857,6.221,16.132,0.138
0.0,1.0,14.57,38.448,0.019
0.0,1.0,13.927,36.875,0.021
0.0,1.0,12.619,33.184,0.025
0.0,1.0,12.938,33.831,0.024
0.088,0.875,7.874,19.614,0.094
0.053,0.947,7.305,17.658,0.094
0.0,1.0,12.054,31.717,0.027
0.105,0.87,7.47,18.593,0.106
0.105,0.893,5.644,13.945,0.147
0.298,0.553,3.63,9.258,0.3
0.0,1.0,12.028,31.631,0.028
0.158,0.824,3.505,8.508,0.271
0.211,0.692,3.666,9.124,0.273
0.0,1.0,11.652,30.462,0.03
0.0,1.0,13.384,35.566,0.022
0.14,0.789,3.062,7.87,0.291
0.088,0.861,5.868,15.331,0.128
0.105,0.864,4.788,12.703,0.168
0.0,1.0,9.996,27.06,0.037
0.14,0.818,2.822,6.849,0.322
0.0,1.0,14.574,38.477,0.019
0.0,1.0,11.176,30.539,0.03
