Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,11.306,23.92,0.043
0.059,0.912,11.287,22.737,0.066
0.0,1.0,12.932,25.879,0.037
0.137,0.829,3.343,7.84,0.282
0.02,0.976,13.008,26.912,0.041
0.059,0.955,14.55,29.395,0.049
0.039,0.938,11.378,22.859,0.059
0.0,1.0,10.882,22.268,0.049
0.0,1.0,11.199,23.811,0.044
0.02,0.968,14.143,29.25,0.036
0.059,0.912,11.239,22.593,0.067
0.059,0.95,11.502,23.305,0.064
0.039,0.957,11.443,23.163,0.058
0.039,0.949,5.096,11.508,0.157
0.059,0.927,5.361,12.926,0.144
0.0,1.0,11.044,23.759,0.044
0.078,0.907,10.274,21.031,0.08
0.0,1.0,11.036,22.29,0.048
0.0,1.0,14.714,30.002,0.028
0.0,1.0,13.279,27.016,0.034
0.0,1.0,10.788,22.357,0.048
0.039,0.964,11.038,22.241,0.062
0.039,0.958,10.788,22.287,0.062
0.0,1.0,14.006,31.487,0.026
0.0,1.0,12.341,30.507,0.029
0.0,1.0,13.914,29.054,0.03
0.059,0.929,12.435,26.364,0.056
0.0,1.0,11.002,22.313,0.048
0.0,1.0,11.381,24.233,0.042
0.0,1.0,11.958,25.682,0.038
0.0,1.0,10.748,21.718,0.051
0.0,1.0,15.382,35.596,0.021
0.039,0.949,11.245,22.873,0.059
0.02,0.964,11.429,23.379,0.051
0.039,0.953,15.579,31.751,0.038
0.059,0.919,5.053,11.611,0.163
0.02,0.973,15.733,31.604,0.032
0.0,1.0,7.884,19.633,0.064
0.118,0.854,4.918,9.833,0.21
0.078,0.918,10.695,21.588,0.077
0.0,1.0,16.294,36.776,0.02
0.353,0.609,3.225,6.865,0.379
0.02,0.977,11.553,23.559,0.05
0.0,1.0,12.753,28.923,0.031
0.0,1.0,6.46,15.821,0.092
0.098,0.857,3.154,7.38,0.284
0.0,1.0,11.824,25.301,0.039
0.039,0.955,10.882,22.331,0.061
0.0,1.0,13.375,31.677,0.027
0.039,0.956,4.055,9.377,0.204
0.02,0.972,10.57,21.863,0.057
0.0,1.0,15.227,33.958,0.023
0.02,0.963,11.546,23.651,0.05
0.02,0.964,11.222,22.646,0.054
0.0,1.0,11.095,22.325,0.048
0.039,0.944,11.081,22.581,0.06
0.0,1.0,9.008,22.203,0.052
0.078,0.926,13.698,27.352,0.059
0.02,0.968,11.76,23.927,0.049
0.0,1.0,8.124,19.357,0.065
0.078,0.871,18.272,39.367,0.043
0.137,0.759,12.817,30.307,0.075
0.255,0.581,9.777,23.774,0.13
0.216,0.676,5.617,14.271,0.181
0.039,0.943,11.287,22.758,0.06
0.137,0.841,3.257,6.621,0.312
0.0,1.0,11.313,27.357,0.035
0.039,0.97,14.029,28.17,0.045
0.0,1.0,12.958,27.089,0.034
0.0,1.0,12.979,31.324,0.027
0.137,0.841,14.753,29.95,0.074
0.275,0.745,7.112,16.18,0.178
0.0,1.0,19.208,41.594,0.015
0.0,1.0,15.392,36.557,0.02
0.039,0.953,12.846,28.203,0.045
0.0,1.0,13.551,32.708,0.025
0.0,1.0,11.036,28.345,0.034
0.333,0.585,2.423,5.99,0.426
0.0,1.0,6.53,15.781,0.092
0.0,1.0,10.678,21.51,0.051
0.0,1.0,10.273,24.119,0.044
0.118,0.842,11.725,27.825,0.073
0.0,1.0,10.679,21.751,0.051
0.078,0.935,10.847,22.115,0.075
0.137,0.72,9.254,22.233,0.097
0.0,1.0,9.964,26.1,0.039
0.039,0.951,6.444,15.65,0.106
0.059,0.93,11.322,22.826,0.066
0.02,0.974,8.637,19.725,0.068
0.059,0.923,13.765,28.04,0.052
0.0,1.0,12.734,28.683,0.031
0.059,0.903,12.351,25.756,0.057
0.137,0.816,12.243,27.073,0.081
0.137,0.806,2.526,5.503,0.368
0.02,0.977,16.587,34.848,0.028
0.0,1.0,10.225,24.612,0.043
0.216,0.686,3.825,8.959,0.274
0.0,1.0,10.343,21.104,0.053
0.098,0.872,11.321,24.475,0.074
0.0,1.0,18.963,42.118,0.015
