Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.948,0.018,0.067,0.159,0.982
0.086,0.881,9.443,19.063,0.092
0.034,0.944,11.299,23.383,0.056
0.034,0.955,8.615,18.063,0.082
0.0,1.0,14.788,38.649,0.019
0.224,0.618,3.825,9.695,0.264
0.0,1.0,14.964,39.424,0.018
0.103,0.829,8.534,19.503,0.098
0.0,1.0,18.566,48.426,0.012
0.069,0.907,11.305,22.499,0.07
0.034,0.962,9.209,23.257,0.059
0.0,1.0,9.445,23.78,0.046
0.017,0.968,9.819,22.011,0.057
0.0,1.0,7.13,16.647,0.083
0.034,0.946,9.504,19.27,0.074
0.0,1.0,17.639,45.062,0.014
0.103,0.867,7.664,15.903,0.121
0.0,1.0,16.199,43.333,0.015
0.086,0.872,5.093,12.122,0.165
0.069,0.892,10.24,20.427,0.079
0.103,0.833,10.847,21.706,0.085
0.155,0.78,10.736,21.805,0.102
0.034,0.926,9.658,19.97,0.07
0.0,1.0,8.639,16.829,0.078
0.086,0.839,10.648,21.279,0.081
0.086,0.878,9.274,20.025,0.088
0.0,1.0,12.237,30.678,0.029
0.0,1.0,14.654,37.815,0.019
0.017,0.972,7.671,18.894,0.074
0.0,1.0,18.257,49.304,0.012
0.017,0.977,10.132,20.683,0.061
0.069,0.852,8.799,18.221,0.092
0.0,1.0,10.949,22.364,0.048
0.0,1.0,13.188,35.762,0.022
0.138,0.704,9.791,24.107,0.09
0.0,1.0,15.111,40.214,0.018
0.052,0.921,10.077,20.474,0.073
0.362,0.4,7.954,18.217,0.192
0.0,1.0,13.716,36.453,0.021
0.0,1.0,8.047,18.666,0.068
0.224,0.675,3.214,6.633,0.342
0.0,1.0,14.107,33.144,0.024
0.0,1.0,14.043,37.619,0.02
0.121,0.8,12.346,25.815,0.078
0.138,0.742,7.234,14.821,0.142
0.0,1.0,12.211,27.532,0.034
0.0,1.0,14.225,36.215,0.021
0.017,0.955,10.451,21.071,0.059
0.017,0.941,12.0,25.05,0.045
0.0,1.0,12.843,34.015,0.024
0.0,1.0,16.571,44.205,0.015
0.328,0.548,3.101,6.805,0.376
0.086,0.844,5.622,11.369,0.17
0.034,0.92,10.038,21.247,0.065
0.034,0.917,10.878,22.32,0.06
0.0,1.0,17.58,45.977,0.013
0.0,1.0,15.312,40.564,0.017
0.034,0.926,10.187,22.926,0.059
0.017,0.968,9.554,19.882,0.065
0.086,0.868,11.766,25.463,0.067
0.103,0.833,10.12,20.19,0.092
0.0,1.0,15.788,33.864,0.023
0.19,0.621,5.348,12.118,0.197
0.103,0.824,11.737,23.676,0.078
0.276,0.636,3.761,7.937,0.316
0.241,0.65,3.572,8.095,0.305
0.0,1.0,15.875,43.775,0.015
0.0,1.0,18.757,50.977,0.011
0.0,1.0,14.909,38.802,0.019
0.0,1.0,18.35,49.917,0.012
0.017,0.974,8.507,20.963,0.063
0.0,1.0,15.755,41.943,0.016
0.086,0.857,9.443,19.128,0.092
0.0,1.0,9.475,19.023,0.064
0.052,0.897,12.624,24.511,0.058
0.034,0.933,12.563,24.751,0.051
0.017,0.955,11.311,24.034,0.049
0.138,0.784,9.909,22.192,0.096
0.241,0.65,3.876,8.164,0.297
0.0,1.0,19.743,51.696,0.011
0.0,1.0,9.383,19.791,0.06
0.086,0.861,10.293,20.626,0.084
0.0,1.0,12.566,29.102,0.031
0.069,0.879,10.407,20.767,0.078
0.086,0.839,9.471,21.422,0.082
0.172,0.767,6.264,14.644,0.16
0.138,0.771,9.645,20.521,0.103
0.0,1.0,15.993,43.327,0.015
0.207,0.714,2.519,5.238,0.398
0.241,0.622,3.988,7.906,0.3
0.034,0.953,9.918,20.071,0.07
0.017,0.96,8.697,19.127,0.07
0.0,1.0,9.108,23.52,0.047
0.0,1.0,9.026,22.381,0.051
0.0,1.0,18.202,50.039,0.012
0.086,0.828,10.457,21.309,0.081
0.0,1.0,14.853,38.726,0.019
0.017,0.97,10.588,20.98,0.059
0.31,0.514,3.605,7.169,0.347
0.103,0.778,11.184,22.621,0.082
