Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.186,0.789,6.669,15.181,0.158
0.093,0.9,7.51,15.479,0.121
0.233,0.756,2.582,6.109,0.381
0.0,1.0,21.68,58.015,0.009
0.0,1.0,12.779,32.564,0.026
0.721,0.114,1.191,2.725,0.747
0.0,1.0,23.046,60.284,0.008
0.209,0.7,6.437,15.147,0.167
0.116,0.848,7.592,15.66,0.127
0.0,1.0,19.93,49.898,0.011
0.07,0.903,11.488,25.134,0.063
0.093,0.879,11.812,26.016,0.068
0.047,0.96,10.098,24.476,0.059
0.0,1.0,20.001,53.415,0.01
0.093,0.871,11.37,23.888,0.074
0.093,0.889,10.57,22.412,0.08
0.14,0.838,10.504,21.853,0.097
0.07,0.919,6.994,17.203,0.103
0.209,0.75,6.045,13.724,0.182
0.163,0.794,6.226,13.675,0.165
0.0,1.0,20.561,52.221,0.01
0.07,0.921,9.602,21.63,0.076
0.0,1.0,23.206,61.004,0.008
0.047,0.952,7.697,16.244,0.099
0.0,1.0,23.852,63.004,0.007
0.0,1.0,10.749,26.833,0.037
0.0,1.0,21.781,58.428,0.008
0.163,0.794,5.698,12.674,0.179
0.093,0.882,9.728,20.919,0.086
0.093,0.895,7.633,15.832,0.118
0.535,0.489,2.13,4.889,0.539
0.0,1.0,22.317,58.053,0.008
0.0,1.0,21.927,58.959,0.008
0.0,1.0,18.131,46.543,0.013
0.0,1.0,24.119,63.325,0.007
0.419,0.28,2.741,6.845,0.419
0.14,0.846,8.076,17.412,0.122
0.0,1.0,21.473,58.01,0.009
0.0,1.0,17.162,42.149,0.016
0.442,0.345,3.168,7.09,0.405
0.07,0.917,11.367,24.027,0.066
0.0,1.0,8.683,19.234,0.064
0.14,0.812,7.014,14.714,0.144
0.0,1.0,20.946,56.319,0.009
0.0,1.0,21.189,54.415,0.01
0.0,1.0,23.505,61.802,0.008
0.0,1.0,17.423,43.349,0.015
0.326,0.417,5.459,12.777,0.234
0.0,1.0,23.319,63.402,0.007
0.116,0.839,8.206,17.131,0.115
0.0,1.0,21.528,57.752,0.009
0.163,0.75,3.176,7.281,0.307
0.047,0.933,7.063,15.741,0.105
0.0,1.0,21.162,56.472,0.009
0.14,0.846,6.15,14.398,0.151
0.07,0.9,7.529,17.764,0.098
0.07,0.914,10.3,21.779,0.074
0.372,0.407,3.024,6.762,0.394
0.0,1.0,22.909,62.113,0.008
0.395,0.469,2.509,5.683,0.45
0.0,1.0,14.269,32.664,0.025
0.14,0.829,5.245,11.411,0.191
0.0,1.0,23.617,62.17,0.007
0.0,1.0,18.052,43.85,0.014
0.0,1.0,20.667,55.706,0.009
0.0,1.0,8.532,22.796,0.051
0.093,0.789,7.122,14.921,0.127
0.0,1.0,21.248,56.991,0.009
0.0,1.0,23.517,61.733,0.008
0.0,1.0,24.03,63.138,0.007
0.023,0.978,14.042,34.115,0.031
0.116,0.865,6.19,14.326,0.144
0.0,1.0,18.231,45.637,0.013
0.0,1.0,21.425,57.665,0.009
0.0,1.0,21.798,58.483,0.008
0.0,1.0,18.008,45.919,0.013
0.07,0.925,5.393,11.918,0.16
0.07,0.875,6.672,15.692,0.115
0.0,1.0,18.637,47.147,0.013
0.0,1.0,23.793,63.122,0.007
0.07,0.909,10.77,23.743,0.067
0.07,0.906,7.101,16.416,0.108
0.0,1.0,22.651,61.218,0.008
0.0,1.0,22.066,59.62,0.008
0.0,1.0,24.084,63.07,0.007
0.0,1.0,19.316,49.423,0.012
0.0,1.0,20.819,53.666,0.01
0.0,1.0,15.372,36.739,0.02
0.0,1.0,22.033,57.586,0.009
0.07,0.938,7.893,16.674,0.104
0.116,0.839,2.288,4.868,0.39
0.0,1.0,23.647,63.953,0.007
0.07,0.925,11.481,23.764,0.067
0.0,1.0,21.958,58.116,0.009
0.0,1.0,8.598,23.227,0.049
0.0,1.0,21.791,57.841,0.009
0.0,1.0,22.947,61.613,0.008
0.0,1.0,21.837,58.742,0.008
0.0,1.0,22.086,59.285,0.008
0.163,0.794,9.173,20.062,0.114
