Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.946,0.028,0.145,0.386,0.978
0.135,0.865,4.696,12.886,0.177
0.324,0.6,3.555,9.565,0.306
0.784,0.326,2.137,5.231,0.613
0.0,1.0,8.599,22.419,0.052
0.703,0.212,1.609,4.161,0.658
0.892,0.154,1.345,3.572,0.765
0.243,0.735,7.827,19.449,0.146
0.108,0.857,7.237,17.76,0.112
0.378,0.576,2.552,6.9,0.413
0.027,0.971,3.749,9.979,0.195
0.0,1.0,10.095,26.119,0.039
0.0,1.0,8.926,23.74,0.047
0.649,0.2,2.997,7.832,0.463
0.405,0.615,2.362,6.343,0.445
0.216,0.771,7.938,19.594,0.136
0.081,0.919,5.18,13.852,0.144
0.135,0.815,5.132,12.947,0.172
0.0,1.0,8.336,21.464,0.056
0.243,0.763,6.692,16.337,0.168
0.0,1.0,8.465,23.788,0.048
0.432,0.568,3.87,10.065,0.326
0.405,0.5,3.067,8.278,0.371
0.0,1.0,11.3,28.81,0.032
0.27,0.643,4.062,9.845,0.272
0.243,0.763,3.801,10.347,0.26
0.486,0.455,1.605,3.928,0.592
0.216,0.742,8.522,20.639,0.13
0.378,0.562,3.838,10.775,0.298
0.243,0.78,4.761,11.862,0.224
0.027,0.957,7.559,19.837,0.073
0.081,0.87,7.547,20.3,0.089
0.108,0.852,8.097,20.347,0.097
0.946,0.167,1.127,2.994,0.825
0.162,0.75,4.032,10.909,0.22
0.216,0.784,6.269,15.51,0.167
0.622,0.281,2.467,6.636,0.504
0.027,0.957,7.41,20.466,0.071
0.081,0.914,3.8,10.328,0.207
0.0,1.0,8.671,22.608,0.051
0.432,0.385,4.635,11.872,0.289
0.0,1.0,8.861,23.185,0.049
0.243,0.743,6.841,16.735,0.165
0.919,0.128,0.785,1.878,0.886
0.865,0.238,1.913,4.491,0.676
0.0,1.0,8.942,23.92,0.046
0.135,0.848,7.631,18.767,0.114
0.189,0.8,8.63,21.472,0.118
0.162,0.818,5.064,13.024,0.181
0.216,0.771,7.276,18.876,0.142
0.649,0.333,2.437,6.156,0.526
0.622,0.395,2.294,5.716,0.537
0.0,1.0,8.455,23.294,0.049
0.243,0.75,4.37,11.173,0.238
0.216,0.667,6.708,18.256,0.147
0.0,1.0,9.189,24.033,0.046
0.27,0.73,8.071,19.871,0.153
0.189,0.75,8.456,20.271,0.123
0.027,0.962,8.494,22.431,0.061
0.027,0.964,7.941,21.88,0.064
0.0,1.0,8.992,23.285,0.048
0.135,0.808,3.694,9.64,0.238
0.216,0.784,8.497,21.178,0.128
0.324,0.6,4.839,11.716,0.252
0.135,0.828,8.072,19.954,0.107
0.216,0.75,4.214,11.361,0.229
0.216,0.714,7.328,19.882,0.137
0.216,0.75,4.377,11.77,0.221
0.649,0.273,3.83,9.937,0.401
0.865,0.179,0.529,1.294,0.911
0.568,0.276,1.431,3.443,0.65
0.054,0.935,6.574,16.448,0.105
0.189,0.708,4.221,11.737,0.215
0.027,0.971,7.012,18.317,0.083
0.297,0.593,6.744,18.749,0.172
0.297,0.676,6.625,17.3,0.18
0.0,1.0,8.834,23.136,0.049
0.054,0.917,8.27,22.133,0.071
0.297,0.621,8.584,20.796,0.157
0.649,0.25,4.517,11.755,0.364
0.027,0.964,9.255,22.413,0.059
0.0,1.0,8.984,23.846,0.047
0.054,0.951,5.816,14.715,0.122
0.243,0.679,3.929,9.303,0.275
0.297,0.667,4.635,12.861,0.232
0.297,0.686,4.182,11.721,0.252
0.027,0.966,9.821,24.372,0.053
0.135,0.821,3.595,9.222,0.248
0.135,0.821,8.913,21.832,0.098
0.216,0.765,8.108,20.322,0.133
0.0,1.0,7.516,19.596,0.066
0.0,1.0,9.103,23.736,0.047
0.216,0.724,6.639,16.585,0.158
0.0,1.0,9.63,26.828,0.038
0.324,0.647,7.872,20.564,0.168
0.054,0.909,7.101,19.176,0.087
0.378,0.562,2.058,5.237,0.483
0.0,1.0,9.775,25.26,0.042
0.108,0.886,6.938,17.701,0.113
0.27,0.688,3.785,9.064,0.291
