Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.075,0.925,4.005,12.248,0.175
0.264,0.611,2.656,8.197,0.341
0.151,0.778,3.211,9.754,0.254
0.094,0.886,3.064,9.304,0.248
0.132,0.8,3.717,11.33,0.211
0.321,0.653,2.774,8.602,0.347
0.0,1.0,7.27,23.039,0.054
0.208,0.725,4.105,12.734,0.211
0.019,0.976,3.68,11.284,0.174
0.208,0.784,2.67,8.264,0.321
0.019,0.972,4.126,12.659,0.149
0.094,0.868,4.474,13.776,0.157
0.17,0.78,4.04,12.47,0.203
0.019,0.978,6.611,20.872,0.07
0.057,0.925,3.304,10.093,0.214
0.132,0.811,3.302,10.088,0.239
0.019,0.976,4.1,12.563,0.15
0.113,0.846,3.936,12.092,0.19
0.057,0.935,3.822,11.719,0.178
0.038,0.956,3.771,11.453,0.177
0.038,0.96,2.882,8.666,0.247
0.113,0.87,3.378,10.202,0.229
0.113,0.854,2.462,7.45,0.317
0.132,0.821,3.348,10.133,0.237
0.226,0.636,2.731,8.31,0.323
0.245,0.717,3.551,10.939,0.258
0.0,1.0,4.491,13.666,0.126
0.302,0.61,2.718,8.295,0.349
0.019,0.977,7.241,22.974,0.06
0.811,0.085,0.335,1.048,0.916
0.17,0.791,3.381,10.254,0.247
0.113,0.838,4.907,15.133,0.146
0.113,0.857,2.27,6.878,0.34
0.208,0.703,5.034,15.623,0.172
0.075,0.879,4.142,12.701,0.167
0.151,0.704,3.038,9.265,0.268
0.151,0.771,4.184,12.823,0.19
0.132,0.816,3.613,11.002,0.218
0.038,0.941,3.259,9.879,0.213
0.075,0.913,2.865,8.725,0.259
0.132,0.811,3.317,10.113,0.239
0.0,1.0,7.385,23.433,0.052
0.038,0.95,3.697,11.332,0.18
0.094,0.886,4.903,15.074,0.14
0.057,0.923,3.742,11.374,0.184
0.075,0.92,4.366,13.31,0.157
0.094,0.894,3.895,11.823,0.188
0.113,0.867,4.416,13.463,0.167
0.094,0.886,2.941,8.976,0.258
0.151,0.758,3.578,10.868,0.227
0.17,0.775,3.618,11.075,0.229
0.094,0.878,4.164,12.842,0.171
0.189,0.744,4.901,15.256,0.17
0.038,0.968,6.459,20.395,0.079
0.113,0.867,4.715,14.454,0.154
0.038,0.95,4.116,12.43,0.158
0.075,0.897,4.734,14.618,0.14
0.226,0.647,3.404,10.474,0.262
0.151,0.714,2.951,8.998,0.276
0.0,1.0,6.525,20.936,0.064
0.038,0.953,4.413,13.451,0.142
0.302,0.729,1.926,5.806,0.454
0.094,0.9,3.739,11.391,0.197
0.17,0.735,4.527,14.165,0.178
0.0,1.0,7.164,22.632,0.055
0.094,0.886,4.148,12.702,0.173
0.0,1.0,7.543,23.777,0.05
0.057,0.929,4.138,12.631,0.161
0.208,0.732,3.068,9.45,0.283
0.075,0.909,3.593,10.909,0.201
0.0,1.0,6.854,21.759,0.059
0.075,0.897,3.555,10.92,0.201
0.132,0.837,3.74,11.42,0.209
0.208,0.744,3.306,10.097,0.264
0.094,0.896,3.026,9.188,0.251
0.075,0.867,4.177,12.771,0.166
0.132,0.825,2.93,8.868,0.273
0.075,0.9,4.513,14.007,0.148
0.113,0.864,2.664,8.028,0.294
0.094,0.865,5.427,16.959,0.122
0.075,0.902,3.451,10.436,0.211
0.283,0.516,3.139,9.651,0.302
0.075,0.897,4.911,15.328,0.132
0.019,0.968,4.234,12.876,0.145
0.151,0.826,3.366,10.253,0.241
0.113,0.867,4.398,13.533,0.167
0.057,0.925,3.896,11.801,0.176
0.113,0.793,2.892,8.796,0.269
0.094,0.861,3.914,11.976,0.186
0.057,0.903,4.14,12.623,0.162
0.038,0.947,4.298,13.258,0.146
0.0,1.0,4.231,12.933,0.138
0.17,0.791,2.23,6.747,0.365
0.094,0.808,5.53,17.294,0.119
0.094,0.865,3.894,11.795,0.188
0.151,0.795,3.942,11.966,0.204
0.094,0.875,4.419,13.497,0.161
0.057,0.917,3.365,10.258,0.21
0.0,1.0,7.546,23.93,0.05
0.0,1.0,7.388,23.409,0.052
