Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.908,0.055,0.334,0.91,0.95
0.132,0.863,3.173,8.326,0.275
0.039,0.932,10.551,27.422,0.049
0.0,1.0,8.053,22.267,0.054
0.066,0.906,8.119,21.058,0.08
0.0,1.0,8.313,22.941,0.051
0.039,0.943,4.45,12.022,0.158
0.039,0.958,4.806,13.071,0.142
0.184,0.725,7.997,22.399,0.115
0.0,1.0,10.136,29.046,0.033
0.053,0.913,10.118,26.214,0.056
0.118,0.868,3.291,9.061,0.253
0.039,0.936,4.921,13.368,0.137
0.105,0.857,10.259,26.633,0.073
0.0,1.0,8.255,22.631,0.052
0.066,0.912,9.902,25.642,0.062
0.053,0.918,10.557,27.376,0.053
0.237,0.6,3.715,10.087,0.264
0.053,0.922,9.948,25.896,0.057
0.066,0.921,8.217,21.307,0.078
0.066,0.878,9.593,25.563,0.063
0.053,0.915,4.371,12.32,0.16
0.0,1.0,11.412,31.754,0.028
0.026,0.96,10.321,26.761,0.046
0.118,0.812,3.747,10.383,0.219
0.026,0.953,9.834,25.511,0.05
0.171,0.723,5.006,13.831,0.176
0.066,0.909,8.292,21.828,0.076
0.039,0.939,5.276,14.359,0.125
0.079,0.854,9.358,24.804,0.07
0.053,0.925,4.916,13.312,0.142
0.0,1.0,8.396,23.504,0.049
0.0,1.0,5.203,14.197,0.114
0.368,0.451,2.045,5.391,0.477
0.0,1.0,12.073,33.907,0.025
0.0,1.0,10.327,27.505,0.036
0.0,1.0,11.384,32.282,0.027
0.079,0.87,8.421,22.068,0.08
0.0,1.0,11.445,31.321,0.028
0.039,0.936,9.482,24.771,0.056
0.0,1.0,6.499,17.396,0.081
0.053,0.925,8.117,21.083,0.075
0.0,1.0,8.941,25.76,0.042
0.105,0.846,10.177,26.713,0.073
0.0,1.0,7.568,21.097,0.059
0.039,0.932,7.745,20.34,0.075
0.092,0.788,11.533,30.683,0.06
0.105,0.893,9.752,25.31,0.077
0.0,1.0,16.738,46.904,0.013
0.092,0.806,10.913,28.506,0.064
0.079,0.897,8.66,22.938,0.076
0.039,0.936,7.527,19.662,0.078
0.066,0.886,8.238,21.592,0.077
0.0,1.0,11.816,32.831,0.026
0.053,0.922,9.62,25.259,0.059
0.118,0.625,11.406,30.585,0.069
0.0,1.0,9.514,26.093,0.04
0.026,0.949,7.969,20.984,0.067
0.053,0.907,8.679,22.521,0.069
0.105,0.84,11.344,31.734,0.063
0.0,1.0,14.908,41.705,0.017
0.066,0.881,3.431,9.36,0.226
0.0,1.0,10.72,30.048,0.031
0.0,1.0,8.445,22.809,0.051
0.039,0.929,5.14,13.894,0.13
0.079,0.898,7.484,19.733,0.091
0.026,0.957,8.816,22.779,0.059
0.0,1.0,15.731,43.803,0.015
0.013,0.981,6.408,17.841,0.083
0.118,0.769,5.918,16.64,0.129
0.079,0.829,10.355,27.056,0.063
0.053,0.933,8.49,22.007,0.071
0.0,1.0,10.363,29.376,0.033
0.0,1.0,12.965,36.203,0.022
0.132,0.688,6.132,16.42,0.133
0.0,1.0,12.982,36.319,0.022
0.0,1.0,7.652,21.201,0.058
0.039,0.932,8.223,21.246,0.07
0.0,1.0,11.806,33.108,0.026
0.053,0.922,10.816,28.046,0.052
0.0,1.0,15.003,42.106,0.016
0.013,0.974,8.33,21.996,0.058
0.0,1.0,11.628,33.188,0.026
0.145,0.703,3.183,8.542,0.275
0.053,0.902,5.55,14.611,0.125
0.0,1.0,8.3,22.755,0.051
0.329,0.419,2.843,7.517,0.369
0.0,1.0,8.405,22.879,0.051
0.0,1.0,9.254,25.492,0.042
0.066,0.906,8.911,23.109,0.071
0.276,0.533,1.872,4.977,0.471
0.0,1.0,8.689,24.066,0.047
0.118,0.795,11.834,31.555,0.067
0.092,0.873,7.166,19.172,0.099
0.026,0.947,8.112,21.222,0.066
0.0,1.0,10.517,29.514,0.032
0.026,0.965,3.71,10.126,0.193
0.197,0.762,2.539,6.583,0.36
0.211,0.529,2.878,7.938,0.319
0.0,1.0,6.959,19.494,0.068
