Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.984,0.016,0.186,0.438,0.989
0.131,0.805,6.063,13.31,0.16
0.033,0.931,8.027,17.375,0.087
0.066,0.871,7.508,16.185,0.107
0.033,0.962,8.298,17.29,0.086
0.049,0.917,9.479,22.214,0.067
0.115,0.816,6.062,13.381,0.153
0.18,0.694,3.361,7.432,0.304
0.0,1.0,11.934,26.168,0.037
0.066,0.897,9.557,19.984,0.081
0.016,0.974,7.942,17.539,0.08
0.115,0.781,5.256,12.225,0.172
0.344,0.417,1.98,4.622,0.494
0.033,0.941,9.172,18.968,0.075
0.066,0.879,7.581,16.358,0.105
0.131,0.778,5.398,12.467,0.173
0.066,0.905,8.576,17.758,0.094
0.131,0.8,5.136,12.922,0.171
0.049,0.909,7.173,15.317,0.109
0.082,0.833,7.181,16.072,0.114
0.148,0.757,6.818,14.85,0.147
0.066,0.9,4.873,11.401,0.17
0.082,0.875,8.294,17.695,0.1
0.131,0.771,6.198,13.935,0.153
0.082,0.815,5.826,13.092,0.147
0.066,0.833,7.107,15.433,0.114
0.0,1.0,10.812,24.269,0.043
0.049,0.893,8.314,18.021,0.088
0.082,0.896,9.073,18.885,0.092
0.197,0.707,2.545,5.381,0.389
0.016,0.971,9.37,22.037,0.057
0.066,0.889,8.931,18.807,0.088
0.049,0.917,7.243,16.174,0.102
0.033,0.946,5.46,12.66,0.138
0.016,0.966,7.526,17.89,0.08
0.016,0.971,7.247,15.876,0.093
0.18,0.718,4.31,9.56,0.243
0.049,0.875,6.493,14.17,0.121
0.082,0.881,6.808,14.542,0.128
0.082,0.844,7.138,16.134,0.114
0.213,0.629,2.779,6.355,0.36
0.049,0.893,6.051,13.326,0.132
0.049,0.903,8.081,17.703,0.09
0.049,0.909,6.367,13.997,0.124
0.016,0.967,8.663,18.739,0.072
0.066,0.911,9.005,18.269,0.09
0.066,0.911,8.206,17.437,0.097
0.049,0.933,8.225,18.006,0.088
0.066,0.846,7.537,16.454,0.105
0.098,0.87,6.683,14.739,0.132
0.082,0.762,6.217,13.781,0.138
0.115,0.806,6.398,14.397,0.142
0.049,0.917,8.084,16.967,0.094
0.115,0.781,5.919,13.543,0.153
0.033,0.944,9.435,21.385,0.065
0.049,0.87,8.036,16.954,0.095
0.033,0.951,5.534,12.949,0.134
0.066,0.857,6.657,14.796,0.121
0.098,0.838,4.63,11.373,0.184
0.066,0.852,6.774,15.241,0.117
0.049,0.897,6.387,14.081,0.123
0.115,0.759,6.334,14.066,0.145
0.082,0.861,8.194,17.388,0.102
0.016,0.978,6.714,16.213,0.093
0.016,0.969,8.563,18.609,0.073
0.066,0.889,8.503,17.588,0.095
0.344,0.604,2.204,5.214,0.462
0.033,0.941,7.364,16.17,0.096
0.082,0.872,15.182,32.73,0.052
0.066,0.909,8.9,18.307,0.09
0.033,0.939,7.465,17.615,0.087
0.049,0.933,8.274,18.016,0.088
0.049,0.914,6.881,15.109,0.112
0.0,1.0,15.758,34.52,0.022
0.033,0.931,9.534,19.722,0.071
0.082,0.865,7.267,15.917,0.115
0.0,1.0,13.447,31.072,0.027
0.033,0.939,8.271,17.964,0.083
0.033,0.943,8.653,18.385,0.079
0.033,0.955,6.027,13.763,0.122
0.066,0.902,6.626,14.705,0.122
0.082,0.865,8.327,18.086,0.098
0.098,0.85,6.503,14.546,0.134
0.066,0.871,6.444,13.931,0.129
0.098,0.838,6.287,14.113,0.139
0.066,0.882,7.531,16.298,0.106
0.098,0.793,6.076,13.232,0.149
0.082,0.857,7.806,16.944,0.106
0.016,0.969,10.825,23.869,0.049
0.066,0.875,7.734,16.6,0.103
0.115,0.806,6.057,13.768,0.149
0.148,0.795,7.23,15.91,0.137
0.066,0.889,6.544,14.643,0.123
0.033,0.959,8.556,17.818,0.083
0.197,0.684,4.844,11.609,0.211
0.131,0.742,5.428,12.114,0.177
0.18,0.738,4.432,10.213,0.231
0.082,0.884,8.974,19.115,0.091
0.049,0.906,5.956,13.231,0.134
0.082,0.875,7.429,16.29,0.112
