Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.853,0.045,0.334,1.069,0.93
0.173,0.794,7.304,22.533,0.113
0.2,0.776,2.817,9.093,0.296
0.187,0.708,2.731,8.798,0.3
0.133,0.828,6.898,21.406,0.105
0.133,0.808,5.974,18.578,0.122
0.187,0.788,6.62,20.44,0.128
0.053,0.927,3.983,12.773,0.161
0.093,0.833,7.871,24.814,0.078
0.227,0.757,2.674,8.447,0.323
0.147,0.744,8.702,27.635,0.087
0.027,0.958,3.938,12.503,0.156
0.107,0.871,2.935,9.445,0.254
0.467,0.397,1.62,5.07,0.555
0.107,0.857,6.685,20.937,0.099
0.053,0.92,3.579,11.514,0.185
0.08,0.854,6.488,20.077,0.094
0.0,1.0,10.442,33.899,0.026
0.0,1.0,7.887,25.115,0.046
0.0,1.0,4.779,15.138,0.11
0.133,0.833,7.316,22.674,0.099
0.107,0.833,6.749,21.288,0.097
0.133,0.778,7.23,22.913,0.099
0.853,0.072,0.622,1.952,0.885
0.227,0.717,2.461,7.763,0.348
0.133,0.804,3.229,10.276,0.239
0.12,0.769,6.889,21.272,0.101
0.667,0.194,1.113,3.492,0.722
0.013,0.979,10.137,32.597,0.033
0.0,1.0,5.521,17.827,0.085
0.0,1.0,10.528,33.786,0.026
0.0,1.0,6.37,20.474,0.067
0.027,0.944,4.007,12.927,0.15
0.24,0.617,4.473,14.224,0.201
0.12,0.847,7.127,22.12,0.097
0.0,1.0,6.811,22.014,0.059
0.08,0.833,8.586,27.304,0.066
0.053,0.9,6.698,20.901,0.081
0.16,0.826,6.394,19.914,0.122
0.0,1.0,8.56,27.427,0.039
0.107,0.846,3.475,11.212,0.21
0.133,0.853,7.124,22.058,0.102
0.0,1.0,5.742,18.647,0.079
0.0,1.0,7.999,25.641,0.044
0.0,1.0,5.813,18.567,0.079
0.093,0.767,8.298,26.341,0.073
0.0,1.0,4.173,13.442,0.133
0.0,1.0,5.647,18.002,0.083
0.0,1.0,8.811,28.207,0.037
0.093,0.868,3.062,9.841,0.238
0.013,0.976,5.115,16.128,0.103
0.0,1.0,8.691,28.404,0.037
0.107,0.855,8.01,25.295,0.081
0.373,0.491,2.471,7.934,0.392
0.24,0.667,2.484,7.853,0.349
0.0,1.0,10.369,33.542,0.027
0.067,0.902,7.036,21.878,0.08
0.027,0.939,4.589,14.91,0.123
0.12,0.816,2.845,9.101,0.268
0.187,0.781,5.899,18.219,0.142
0.0,1.0,11.205,36.403,0.023
0.227,0.685,2.414,7.762,0.35
0.133,0.783,2.7,8.664,0.287
0.107,0.771,7.41,23.13,0.088
0.0,1.0,9.121,29.889,0.034
0.0,1.0,8.97,29.38,0.035
0.0,1.0,9.108,29.78,0.034
0.12,0.775,6.94,21.476,0.1
0.0,1.0,11.41,37.12,0.022
0.173,0.667,3.038,9.757,0.267
0.027,0.953,5.226,16.883,0.102
0.0,1.0,11.182,36.079,0.023
0.4,0.474,1.609,5.002,0.536
0.12,0.769,7.264,23.074,0.093
0.227,0.696,2.731,8.617,0.317
0.147,0.796,6.834,21.342,0.11
0.053,0.895,10.282,33.114,0.045
0.107,0.849,7.091,22.035,0.093
0.12,0.833,7.043,21.775,0.099
0.0,1.0,11.588,37.419,0.022
0.053,0.905,4.607,14.886,0.132
0.107,0.871,3.469,11.187,0.21
0.0,1.0,6.653,21.52,0.061
0.067,0.896,7.157,22.109,0.079
0.173,0.75,6.302,19.719,0.128
0.213,0.724,2.859,9.091,0.299
0.0,1.0,9.692,31.709,0.03
0.013,0.971,11.375,36.723,0.027
0.013,0.976,10.255,33.255,0.032
0.0,1.0,8.701,28.239,0.037
0.347,0.5,1.813,5.79,0.479
0.08,0.887,8.22,25.968,0.07
0.147,0.75,6.347,19.888,0.118
0.187,0.622,2.712,8.707,0.303
0.147,0.766,8.005,24.968,0.095
0.173,0.745,6.391,19.746,0.127
0.013,0.967,11.772,37.896,0.026
0.133,0.773,7.249,22.481,0.1
0.0,1.0,7.786,24.992,0.046
0.0,1.0,8.318,27.233,0.04
