Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.161,0.865,5.749,13.394,0.171
0.258,0.742,2.593,6.452,0.381
0.0,1.0,8.323,22.07,0.054
0.226,0.806,5.677,12.73,0.2
0.161,0.808,2.112,5.083,0.411
0.129,0.879,5.383,13.407,0.163
0.0,1.0,6.723,16.682,0.085
0.097,0.909,4.804,12.37,0.169
0.097,0.88,5.252,12.069,0.168
0.258,0.667,2.975,7.804,0.334
0.161,0.808,2.15,4.991,0.411
0.0,1.0,7.616,20.351,0.062
0.258,0.771,2.932,7.639,0.34
0.0,1.0,7.802,20.932,0.059
0.097,0.9,2.585,6.5,0.327
0.0,1.0,3.997,10.337,0.176
0.0,1.0,9.246,23.513,0.047
0.032,0.963,4.942,13.457,0.134
0.065,0.938,2.689,6.929,0.301
0.032,0.962,6.108,13.799,0.121
0.032,0.968,4.15,10.99,0.174
0.0,1.0,5.487,12.385,0.13
0.032,0.969,4.776,12.499,0.146
0.097,0.9,4.671,12.337,0.171
0.097,0.906,6.01,13.897,0.143
0.258,0.742,3.043,8.115,0.326
0.032,0.96,5.753,13.346,0.128
0.0,1.0,5.434,12.845,0.125
0.097,0.903,2.587,5.928,0.34
0.032,0.96,3.247,8.549,0.235
0.194,0.812,2.47,6.313,0.369
0.032,0.96,5.923,13.454,0.126
0.355,0.633,2.466,6.028,0.43
0.129,0.84,6.046,13.75,0.155
0.032,0.97,3.494,9.251,0.215
0.032,0.958,6.148,13.865,0.121
0.226,0.774,5.995,13.487,0.19
0.032,0.962,5.84,13.093,0.13
0.161,0.808,4.055,9.802,0.237
0.065,0.895,5.661,12.786,0.146
0.032,0.966,6.706,16.51,0.096
0.0,1.0,9.303,23.28,0.048
0.161,0.868,4.606,12.033,0.197
0.097,0.906,3.874,9.217,0.229
0.0,1.0,5.996,13.696,0.112
0.0,1.0,6.038,14.484,0.105
0.097,0.914,6.242,15.849,0.125
0.323,0.714,1.866,4.553,0.497
0.226,0.767,4.6,12.184,0.216
0.226,0.759,1.998,4.707,0.451
0.161,0.815,3.855,9.54,0.245
0.097,0.903,3.64,9.373,0.231
0.097,0.903,2.002,4.647,0.409
0.032,0.962,5.673,12.73,0.135
0.0,1.0,5.954,13.39,0.116
0.032,0.963,5.588,13.957,0.123
0.0,1.0,5.529,13.509,0.117
0.032,0.962,5.031,13.673,0.131
0.097,0.897,6.548,16.198,0.121
0.161,0.844,5.37,12.576,0.182
0.065,0.92,3.011,7.833,0.268
0.097,0.897,4.157,9.921,0.212
0.065,0.931,6.018,13.61,0.135
0.097,0.906,3.908,9.278,0.227
0.097,0.909,6.473,15.787,0.124
0.161,0.815,2.818,6.823,0.33
0.0,1.0,6.37,15.363,0.096
0.0,1.0,9.426,23.623,0.046
0.0,1.0,7.916,21.186,0.058
0.129,0.867,6.035,14.37,0.149
0.161,0.792,5.968,13.769,0.166
0.065,0.931,4.129,11.334,0.18
0.032,0.966,6.968,16.903,0.093
0.161,0.853,6.016,15.315,0.152
0.065,0.933,3.09,7.644,0.269
0.194,0.8,1.88,4.41,0.457
0.065,0.926,2.926,7.313,0.282
0.097,0.889,5.616,13.282,0.151
0.065,0.917,5.997,14.078,0.13
0.0,1.0,6.22,15.189,0.098
0.097,0.885,4.036,10.735,0.201
0.097,0.903,6.513,15.835,0.124
0.097,0.87,5.291,13.232,0.154
0.161,0.783,5.602,13.329,0.172
0.161,0.8,4.655,11.95,0.197
0.065,0.931,5.96,15.187,0.121
0.032,0.964,7.648,20.438,0.072
0.065,0.917,5.955,13.947,0.132
0.161,0.833,5.245,11.671,0.194
0.032,0.964,2.824,6.462,0.295
0.065,0.92,5.923,13.842,0.133
0.129,0.882,5.816,13.288,0.161
0.065,0.917,2.171,5.002,0.377
0.161,0.815,5.975,14.994,0.155
0.0,1.0,6.519,15.952,0.09
0.0,1.0,6.421,15.753,0.092
0.0,1.0,9.107,23.65,0.047
0.097,0.893,5.969,14.672,0.136
0.29,0.727,2.945,6.786,0.369
0.161,0.828,4.61,11.838,0.199
