Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.615,0.467,1.379,4.05,0.657
0.269,0.767,3.635,10.01,0.278
0.654,0.485,1.45,4.248,0.657
0.615,0.5,1.364,3.878,0.663
0.615,0.515,1.179,3.379,0.699
0.462,0.636,4.343,12.512,0.295
0.692,0.486,1.358,3.923,0.689
0.615,0.407,1.483,4.436,0.636
1.0,0.071,0.785,2.258,0.906
0.538,0.391,1.685,5.321,0.566
0.692,0.4,1.26,3.561,0.71
0.577,0.423,1.55,4.701,0.609
0.577,0.375,1.817,5.563,0.561
0.885,0.042,0.236,0.685,0.951
0.615,0.529,1.368,3.943,0.661
0.615,0.429,1.581,4.764,0.617
0.846,0.12,1.297,3.982,0.746
0.615,0.484,1.286,3.617,0.679
0.462,0.571,1.74,5.034,0.543
0.615,0.385,1.083,3.256,0.715
0.077,0.929,6.071,18.58,0.103
0.923,0.172,0.838,2.492,0.869
0.0,1.0,8.355,25.908,0.043
0.5,0.435,1.796,5.704,0.533
0.5,0.519,1.52,4.596,0.589
0.846,0.043,0.968,2.857,0.817
0.308,0.704,3.824,10.506,0.279
0.577,0.375,1.24,3.858,0.667
0.923,0.143,0.426,1.227,0.943
0.577,0.375,1.276,3.992,0.659
0.962,0.0,0.886,2.572,0.873
0.5,0.381,1.47,4.622,0.594
0.615,0.429,1.226,3.65,0.686
0.769,0.2,1.108,3.153,0.765
0.769,0.231,0.696,1.99,0.847
0.462,0.613,1.89,5.703,0.513
0.577,0.4,1.502,4.885,0.609
0.692,0.143,1.909,5.762,0.586
0.885,0.148,0.607,1.788,0.9
0.615,0.407,1.416,4.372,0.645
0.923,0.0,0.698,2.096,0.896
0.692,0.333,1.009,2.913,0.759
0.923,0.0,0.613,1.795,0.912
0.385,0.6,3.872,11.3,0.292
0.5,0.519,1.454,4.228,0.606
0.615,0.407,0.97,2.832,0.74
0.308,0.724,3.801,10.468,0.28
0.038,0.96,6.723,20.725,0.077
0.5,0.594,1.926,5.572,0.526
0.615,0.36,1.626,5.118,0.603
0.423,0.593,1.942,5.626,0.497
0.0,1.0,6.901,22.006,0.058
0.615,0.385,1.473,4.583,0.633
0.846,0.0,0.475,1.376,0.91
0.654,0.37,1.15,3.483,0.713
0.846,0.29,1.099,3.086,0.793
0.462,0.571,1.725,4.891,0.548
0.538,0.391,1.917,6.04,0.528
0.462,0.571,1.863,5.367,0.523
0.269,0.75,3.649,10.065,0.277
0.731,0.345,1.341,4.017,0.701
0.0,1.0,7.872,23.961,0.049
0.808,0.087,1.2,3.543,0.756
0.077,0.931,5.975,18.374,0.104
0.5,0.409,1.26,3.69,0.643
0.615,0.304,1.225,3.927,0.68
0.731,0.136,1.515,4.555,0.668
0.846,0.043,0.948,2.653,0.824
0.0,1.0,7.612,23.599,0.051
0.5,0.435,1.38,4.214,0.615
0.769,0.091,0.884,2.559,0.809
0.038,0.967,5.971,18.428,0.091
0.038,0.957,6.732,20.764,0.076
0.692,0.333,1.166,3.36,0.727
0.077,0.929,6.37,19.731,0.095
0.269,0.759,3.765,10.419,0.269
0.0,1.0,8.773,26.062,0.042
0.731,0.095,1.543,4.566,0.664
0.577,0.375,1.512,4.76,0.611
0.846,0.083,1.321,4.014,0.742
0.615,0.385,2.297,7.008,0.503
0.538,0.391,1.877,6.097,0.529
0.346,0.667,3.974,11.064,0.281
0.654,0.433,1.556,4.488,0.639
0.846,0.043,0.972,2.983,0.814
0.615,0.238,1.106,3.318,0.71
0.423,0.593,3.106,8.993,0.361
0.538,0.5,1.367,4.237,0.629
0.231,0.838,3.494,9.749,0.273
0.538,0.548,1.728,5.188,0.566
0.885,0.042,0.788,2.281,0.867
0.0,1.0,8.538,25.867,0.042
0.538,0.391,1.633,5.334,0.571
0.269,0.696,3.895,10.712,0.262
0.0,1.0,8.535,25.43,0.043
0.0,1.0,8.579,25.475,0.043
0.538,0.44,1.507,4.704,0.601
0.846,0.185,0.863,2.451,0.84
0.731,0.095,1.536,4.804,0.659
0.038,0.969,6.223,19.335,0.085
