Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.743,0.133,1.245,3.1,0.739
0.943,0.029,0.358,0.894,0.959
0.8,0.125,1.017,2.527,0.801
0.571,0.394,2.073,5.192,0.548
0.6,0.382,1.752,4.737,0.595
0.743,0.161,1.227,2.978,0.744
0.829,0.065,0.848,2.157,0.842
0.829,0.326,1.292,3.329,0.757
0.143,0.839,5.872,14.492,0.153
0.743,0.071,0.724,1.793,0.837
0.571,0.394,1.833,4.687,0.58
0.543,0.457,2.025,5.101,0.544
0.771,0.325,1.365,3.446,0.726
0.543,0.406,2.029,5.421,0.536
0.8,0.097,1.161,2.896,0.774
0.514,0.438,1.957,5.138,0.539
0.629,0.241,1.922,4.826,0.588
0.629,0.371,2.114,5.371,0.559
0.914,0.086,0.771,1.895,0.886
0.571,0.375,1.825,4.665,0.581
0.571,0.375,2.01,5.23,0.551
0.6,0.417,2.072,5.424,0.552
0.486,0.452,1.887,4.826,0.543
0.743,0.212,1.514,3.79,0.691
0.486,0.452,1.912,4.978,0.537
0.743,0.071,0.668,1.594,0.848
0.429,0.531,1.793,4.539,0.539
0.743,0.297,1.35,3.564,0.715
0.686,0.368,1.762,4.586,0.627
0.657,0.258,1.798,4.629,0.613
0.6,0.276,1.533,3.955,0.637
0.543,0.406,2.093,5.383,0.532
0.8,0.097,1.351,3.312,0.74
0.829,0.194,1.333,3.268,0.753
0.686,0.2,1.252,3.037,0.721
0.514,0.419,2.183,5.804,0.506
0.114,0.867,5.153,12.212,0.173
0.743,0.188,1.099,2.678,0.768
0.429,0.375,1.755,4.469,0.545
0.743,0.257,1.558,3.846,0.685
0.514,0.379,1.995,5.027,0.539
0.543,0.457,1.898,4.575,0.568
0.686,0.143,0.383,0.929,0.871
0.2,0.774,7.313,17.494,0.144
0.657,0.258,1.023,2.559,0.752
0.543,0.424,2.265,5.698,0.513
0.0,1.0,6.368,17.645,0.08
0.543,0.5,2.643,6.365,0.476
0.629,0.29,1.679,4.282,0.623
0.914,0.158,0.915,2.313,0.858
0.743,0.103,1.176,2.986,0.751
0.771,0.069,0.89,2.241,0.815
0.171,0.812,5.351,12.703,0.185
0.543,0.424,1.181,2.901,0.685
0.714,0.359,1.462,3.729,0.689
0.171,0.838,5.747,14.137,0.167
0.114,0.867,5.668,13.439,0.155
0.6,0.323,1.844,4.635,0.59
0.543,0.387,2.045,5.132,0.542
0.714,0.265,1.897,4.724,0.621
0.229,0.724,5.323,12.694,0.204
0.657,0.233,1.103,2.738,0.737
0.171,0.824,5.75,14.228,0.166
0.629,0.389,1.823,5.009,0.592
0.571,0.412,2.0,5.008,0.558
0.571,0.333,1.948,4.857,0.566
0.571,0.394,1.813,4.919,0.576
0.057,0.949,6.418,17.56,0.1
0.6,0.192,1.389,3.711,0.659
0.714,0.242,1.209,2.931,0.738
0.457,0.484,2.259,5.642,0.486
0.543,0.486,2.374,5.775,0.504
0.657,0.258,0.989,2.39,0.76
0.486,0.452,1.247,3.186,0.651
0.543,0.296,1.784,4.652,0.576
0.486,0.292,2.024,5.131,0.524
0.457,0.429,1.957,4.904,0.526
0.171,0.818,5.157,12.254,0.191
0.629,0.389,1.693,4.624,0.613
0.114,0.875,7.247,17.233,0.117
0.371,0.552,2.563,7.032,0.407
0.171,0.8,5.908,14.518,0.162
0.771,0.27,1.206,3.286,0.75
0.114,0.867,5.312,12.588,0.167
0.486,0.32,2.694,6.496,0.451
0.829,0.216,1.063,2.836,0.798
0.829,0.033,1.09,2.659,0.798
0.429,0.4,1.491,3.748,0.59
0.629,0.333,1.79,4.69,0.603
0.543,0.296,1.605,4.019,0.609
0.6,0.344,1.936,4.872,0.576
0.771,0.25,0.665,1.614,0.857
0.457,0.333,2.015,5.143,0.515
0.657,0.439,1.476,3.609,0.671
0.629,0.389,2.089,5.102,0.568
0.114,0.871,4.974,11.862,0.179
0.229,0.742,5.482,13.084,0.198
0.143,0.808,7.08,16.851,0.13
0.457,0.448,2.157,5.364,0.499
0.714,0.324,1.581,3.815,0.673
