Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.969,0.0,0.045,0.148,0.989
0.562,0.514,1.553,4.942,0.598
0.844,0.156,0.599,1.923,0.886
0.75,0.111,0.561,1.783,0.862
0.5,0.529,1.648,5.379,0.556
0.531,0.414,1.241,4.117,0.645
0.75,0.172,1.087,3.527,0.753
0.75,0.077,0.502,1.605,0.872
0.688,0.043,0.804,2.654,0.792
0.5,0.543,1.574,5.13,0.57
0.812,0.212,0.627,2.072,0.869
0.562,0.419,1.495,4.768,0.608
0.781,0.138,1.046,3.291,0.775
0.219,0.682,4.688,15.035,0.185
0.656,0.222,1.048,3.306,0.732
0.406,0.567,1.626,5.216,0.531
0.625,0.231,1.317,4.152,0.666
0.344,0.676,1.857,6.154,0.465
0.375,0.625,1.618,5.212,0.521
0.531,0.433,1.439,4.631,0.608
0.625,0.259,0.851,2.796,0.761
0.469,0.516,1.473,4.847,0.577
0.656,0.25,1.337,4.317,0.669
0.188,0.76,4.771,15.26,0.171
0.312,0.697,3.789,12.063,0.26
0.0,1.0,7.105,23.239,0.054
0.5,0.407,1.287,4.314,0.624
0.25,0.667,4.424,14.103,0.207
0.531,0.227,0.969,3.083,0.707
0.688,0.333,0.983,3.078,0.757
0.5,0.467,1.191,3.869,0.647
0.375,0.571,1.555,5.143,0.53
0.844,0.1,0.502,1.635,0.903
0.062,0.938,3.638,12.117,0.179
0.656,0.25,1.232,4.032,0.69
0.531,0.261,1.071,3.44,0.684
0.469,0.516,1.382,4.459,0.598
0.5,0.448,1.179,3.817,0.65
0.188,0.76,4.564,14.561,0.18
0.5,0.59,1.444,4.581,0.598
0.406,0.594,1.657,5.295,0.526
0.688,0.241,0.933,3.011,0.766
0.219,0.759,3.774,12.153,0.228
0.375,0.538,2.677,8.454,0.372
0.844,0.069,0.536,1.692,0.897
0.406,0.594,3.774,12.173,0.29
0.25,0.714,4.441,14.053,0.207
0.0,1.0,6.882,22.624,0.056
0.406,0.594,1.927,6.427,0.473
0.438,0.548,1.45,4.743,0.572
0.406,0.409,1.777,5.779,0.502
0.281,0.679,3.938,12.544,0.241
0.281,0.625,2.06,6.874,0.411
0.344,0.633,1.822,6.068,0.47
0.531,0.485,1.294,4.205,0.636
0.25,0.771,3.914,12.407,0.232
0.0,1.0,6.266,20.712,0.066
0.406,0.581,1.67,5.301,0.524
0.219,0.75,4.518,14.4,0.192
0.656,0.125,0.594,1.891,0.825
0.5,0.407,0.994,3.199,0.69
0.656,0.323,1.502,4.804,0.638
0.406,0.35,1.051,3.425,0.646
0.406,0.552,1.788,6.003,0.496
0.656,0.16,1.443,4.693,0.647
0.406,0.594,1.571,5.046,0.541
0.438,0.533,1.457,4.72,0.572
0.406,0.581,3.513,11.349,0.307
0.219,0.759,4.231,13.243,0.207
0.219,0.767,2.431,8.13,0.339
0.031,0.978,6.342,20.936,0.075
0.0,1.0,7.497,24.879,0.048
0.25,0.68,4.299,13.501,0.214
0.656,0.276,1.052,3.485,0.727
0.188,0.829,3.703,11.88,0.222
0.25,0.68,3.796,11.834,0.242
0.375,0.5,1.255,3.986,0.594
0.594,0.296,1.103,3.52,0.699
0.5,0.429,1.251,4.092,0.634
0.25,0.765,3.759,11.735,0.244
0.531,0.452,1.261,4.125,0.642
0.312,0.688,2.101,7.001,0.415
0.406,0.639,2.207,7.033,0.439
0.531,0.19,1.107,3.562,0.676
0.469,0.559,1.554,5.085,0.562
0.406,0.567,1.559,5.105,0.541
0.188,0.727,4.27,13.6,0.193
0.031,0.958,3.84,12.587,0.159
0.219,0.682,4.578,14.757,0.188
0.281,0.75,3.673,11.647,0.257
0.031,0.964,4.379,14.484,0.131
0.375,0.455,1.527,5.103,0.534
0.531,0.452,1.245,4.027,0.647
0.25,0.724,4.31,13.5,0.214
0.188,0.778,4.587,14.569,0.179
0.5,0.304,1.101,3.552,0.667
0.562,0.4,1.23,4.095,0.657
0.188,0.76,4.461,14.185,0.184
0.438,0.517,1.284,4.153,0.607
0.562,0.308,1.243,4.011,0.658
