Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.081,0.924,10.651,21.876,0.077
0.726,0.25,1.76,3.781,0.661
0.597,0.393,2.048,4.367,0.579
0.742,0.22,1.246,2.625,0.749
0.629,0.391,1.767,3.744,0.628
0.645,0.245,1.851,3.906,0.622
0.032,0.962,10.615,21.624,0.062
0.661,0.268,1.634,3.429,0.66
0.629,0.188,1.258,2.66,0.709
0.726,0.338,2.133,4.718,0.607
0.177,0.792,3.353,7.886,0.294
0.581,0.345,1.733,3.73,0.616
0.419,0.587,2.192,4.786,0.499
0.532,0.283,1.803,4.153,0.583
0.597,0.315,1.738,3.706,0.621
0.468,0.37,1.907,4.007,0.556
0.435,0.308,2.22,4.799,0.502
0.403,0.528,2.381,5.47,0.465
0.613,0.136,1.49,3.056,0.667
0.548,0.277,2.065,4.411,0.561
0.597,0.213,1.691,3.642,0.627
0.371,0.395,1.853,3.947,0.53
0.548,0.209,1.527,3.301,0.636
0.306,0.587,2.534,5.956,0.412
0.581,0.265,1.788,3.784,0.609
0.5,0.415,2.434,5.54,0.492
0.387,0.538,2.057,4.416,0.507
0.387,0.4,1.832,3.92,0.538
0.484,0.375,1.757,3.751,0.581
0.5,0.38,1.937,4.36,0.556
0.339,0.596,2.399,5.089,0.452
0.403,0.39,2.022,4.284,0.519
0.565,0.397,2.546,5.586,0.507
0.645,0.231,1.413,3.032,0.687
0.677,0.263,1.891,4.118,0.625
0.032,0.949,11.084,22.59,0.058
0.194,0.774,3.096,6.971,0.327
0.597,0.213,1.575,3.372,0.645
0.081,0.861,4.22,8.737,0.226
0.403,0.405,2.004,4.19,0.522
0.161,0.811,3.869,9.411,0.247
0.081,0.878,11.028,22.63,0.074
0.694,0.434,2.059,4.295,0.612
0.355,0.45,2.434,5.564,0.443
0.419,0.188,2.039,4.627,0.514
0.065,0.922,11.228,23.018,0.067
0.435,0.372,2.144,4.809,0.507
0.113,0.87,3.688,8.197,0.258
0.419,0.552,2.196,4.861,0.497
0.065,0.907,11.415,23.635,0.065
0.468,0.5,2.5,5.492,0.479
0.032,0.962,10.299,21.03,0.064
0.032,0.951,10.907,22.326,0.059
0.403,0.405,2.182,5.179,0.484
0.371,0.395,2.031,4.308,0.507
0.032,0.95,7.438,16.951,0.091
0.065,0.917,10.782,22.125,0.071
0.032,0.961,14.871,32.339,0.036
0.113,0.857,16.335,35.444,0.059
0.145,0.763,2.423,5.129,0.385
0.081,0.904,10.819,22.05,0.076
0.065,0.9,11.798,25.178,0.061
0.113,0.857,5.268,11.265,0.184
0.339,0.523,2.271,4.886,0.465
0.048,0.946,10.604,21.544,0.068
0.435,0.27,2.121,4.685,0.512
0.29,0.679,2.221,4.766,0.455
0.339,0.571,2.694,5.827,0.419
0.274,0.679,2.329,5.131,0.433
0.097,0.857,5.336,12.334,0.164
0.048,0.912,5.83,13.484,0.132
0.645,0.31,1.846,4.007,0.62
0.339,0.462,2.324,5.068,0.457
0.048,0.927,10.688,22.898,0.063
0.452,0.364,2.144,4.694,0.516
0.032,0.95,10.696,21.762,0.061
0.435,0.557,2.445,5.269,0.477
0.484,0.388,2.04,4.229,0.545
0.065,0.889,11.34,23.6,0.066
0.065,0.93,11.327,23.344,0.066
0.065,0.879,11.041,22.585,0.069
0.452,0.491,2.133,4.724,0.516
0.5,0.139,1.695,3.495,0.598
0.145,0.82,4.978,12.569,0.181
0.048,0.929,10.951,22.404,0.064
0.048,0.93,11.56,24.195,0.058
0.194,0.707,3.378,7.309,0.311
0.032,0.959,12.494,26.958,0.046
0.032,0.962,10.993,22.392,0.059
0.065,0.911,11.556,24.088,0.064
0.016,0.976,2.543,5.511,0.326
0.065,0.905,5.301,12.658,0.15
0.081,0.912,11.525,23.844,0.07
0.097,0.872,3.752,8.276,0.249
0.016,0.98,9.002,22.151,0.057
0.226,0.622,2.386,5.127,0.414
0.403,0.432,2.77,6.543,0.419
0.242,0.694,2.338,4.912,0.428
0.565,0.239,1.599,3.388,0.632
0.065,0.933,10.636,21.981,0.071
