Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.936,0.064,0.335,0.874,0.959
0.553,0.519,3.784,9.09,0.385
0.34,0.6,4.239,9.54,0.298
0.0,1.0,8.896,21.278,0.055
0.064,0.921,9.844,21.7,0.073
0.17,0.789,4.196,10.2,0.231
0.085,0.9,5.354,13.66,0.146
0.234,0.732,3.601,8.452,0.295
0.277,0.658,7.65,17.453,0.168
0.0,1.0,9.25,20.235,0.059
0.319,0.571,3.583,8.305,0.327
0.383,0.514,3.556,8.653,0.342
0.383,0.561,5.312,12.364,0.259
0.128,0.867,9.948,21.893,0.094
0.128,0.846,9.932,22.089,0.093
0.149,0.811,7.861,17.58,0.125
0.596,0.263,3.307,7.919,0.434
0.17,0.818,10.577,24.152,0.1
0.0,1.0,11.043,27.233,0.036
0.085,0.871,9.985,21.397,0.081
0.128,0.842,4.01,9.654,0.229
0.064,0.923,9.703,20.813,0.077
0.106,0.861,6.408,14.679,0.136
0.085,0.867,9.811,21.771,0.08
0.0,1.0,8.802,20.928,0.057
0.043,0.941,8.812,20.519,0.072
0.0,1.0,10.996,26.754,0.037
0.085,0.915,9.137,20.305,0.087
0.0,1.0,11.481,29.401,0.031
0.234,0.732,5.288,12.772,0.205
0.0,1.0,10.536,26.147,0.038
0.404,0.578,3.397,8.081,0.364
0.213,0.762,5.101,12.289,0.205
0.085,0.892,8.834,20.478,0.087
0.0,1.0,9.899,25.068,0.042
0.149,0.833,6.584,15.26,0.145
0.17,0.789,9.13,19.693,0.118
0.085,0.886,10.042,23.994,0.073
0.234,0.711,4.467,11.153,0.234
0.021,0.976,8.747,22.219,0.059
0.106,0.868,9.482,22.823,0.084
0.106,0.875,5.036,11.247,0.184
0.064,0.914,6.732,17.731,0.099
0.0,1.0,10.04,24.804,0.042
0.234,0.694,4.291,9.643,0.26
0.213,0.643,6.336,15.639,0.165
0.043,0.931,9.172,19.846,0.075
0.383,0.561,4.393,10.212,0.299
0.0,1.0,8.368,23.435,0.049
0.043,0.947,5.878,15.202,0.114
0.085,0.867,10.408,22.989,0.075
0.277,0.723,8.857,19.169,0.156
0.0,1.0,10.34,24.993,0.041
0.021,0.971,9.115,21.896,0.06
0.064,0.912,8.375,19.896,0.083
0.064,0.929,9.226,19.871,0.081
0.383,0.55,2.609,5.867,0.436
0.298,0.6,3.843,9.264,0.296
0.17,0.771,5.971,13.438,0.172
0.191,0.75,4.539,11.875,0.21
0.085,0.9,5.711,14.371,0.136
0.043,0.953,9.342,20.65,0.071
0.191,0.654,5.868,13.805,0.176
0.0,1.0,9.835,25.368,0.041
0.149,0.8,6.268,14.098,0.157
0.17,0.822,3.787,8.601,0.267
0.0,1.0,6.493,16.839,0.085
0.0,1.0,8.736,22.437,0.051
0.17,0.704,5.856,13.271,0.174
0.0,1.0,8.609,20.309,0.06
0.043,0.947,9.804,21.25,0.068
0.0,1.0,9.285,21.942,0.052
0.085,0.892,6.993,18.33,0.102
0.17,0.742,5.669,13.07,0.178
0.064,0.893,10.255,24.272,0.065
0.0,1.0,9.818,24.586,0.043
0.064,0.917,6.133,14.156,0.128
0.149,0.821,4.398,10.269,0.22
0.0,1.0,9.209,23.651,0.047
0.064,0.889,9.561,22.599,0.071
0.085,0.895,9.668,21.101,0.083
0.064,0.914,9.259,22.436,0.072
0.021,0.977,9.902,24.721,0.05
0.106,0.868,9.209,19.845,0.096
0.319,0.625,3.373,7.317,0.353
0.0,1.0,9.397,24.293,0.045
0.085,0.882,7.261,15.984,0.115
0.0,1.0,11.293,27.832,0.034
0.0,1.0,10.457,25.833,0.039
0.106,0.833,9.35,22.362,0.086
0.064,0.903,9.444,21.283,0.075
0.0,1.0,6.458,15.827,0.092
0.255,0.657,4.012,10.171,0.263
0.0,1.0,8.534,21.177,0.056
0.043,0.938,8.771,19.724,0.076
0.0,1.0,9.95,25.575,0.041
0.064,0.917,9.578,20.428,0.078
0.021,0.969,9.996,21.518,0.059
0.064,0.929,9.952,23.202,0.068
0.213,0.697,9.482,20.678,0.127
