Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,15.924,49.033,0.013
0.0,1.0,9.645,28.078,0.036
0.0,1.0,10.439,30.502,0.031
0.0,1.0,9.964,28.229,0.035
0.0,1.0,16.198,49.887,0.012
0.0,1.0,9.568,28.991,0.034
0.0,1.0,10.559,30.361,0.031
0.0,1.0,8.373,24.625,0.046
0.741,0.333,1.698,4.673,0.649
0.0,1.0,8.142,23.047,0.051
0.0,1.0,10.8,31.247,0.029
0.852,0.233,1.094,3.039,0.797
0.0,1.0,9.569,28.237,0.036
0.0,1.0,16.336,50.044,0.012
0.0,1.0,9.448,29.084,0.034
0.0,1.0,8.299,25.598,0.044
0.0,1.0,16.73,51.249,0.012
0.0,1.0,9.847,30.163,0.032
0.0,1.0,16.219,49.896,0.012
0.0,1.0,8.46,25.129,0.044
0.0,1.0,9.642,27.322,0.037
0.0,1.0,14.415,44.819,0.015
0.0,1.0,8.257,25.096,0.045
0.0,1.0,8.713,26.903,0.04
0.0,1.0,10.769,31.785,0.029
0.0,1.0,16.517,50.541,0.012
0.0,1.0,9.23,28.36,0.036
0.0,1.0,16.097,49.752,0.012
0.0,1.0,15.849,48.863,0.013
0.0,1.0,8.278,25.486,0.044
0.0,1.0,16.03,49.472,0.012
0.0,1.0,16.244,50.081,0.012
0.0,1.0,9.357,27.541,0.037
0.037,0.972,9.159,26.161,0.053
0.0,1.0,8.156,24.01,0.048
0.0,1.0,9.139,27.946,0.037
0.0,1.0,9.919,29.558,0.033
0.0,1.0,9.759,28.25,0.035
0.0,1.0,8.531,26.419,0.041
0.0,1.0,16.571,50.83,0.012
0.0,1.0,9.242,27.042,0.039
0.074,0.933,7.391,21.837,0.082
0.0,1.0,16.292,49.889,0.012
0.0,1.0,16.199,49.614,0.012
0.0,1.0,10.383,30.175,0.031
0.0,1.0,10.837,31.336,0.029
0.0,1.0,9.632,29.322,0.034
0.0,1.0,16.391,50.278,0.012
0.0,1.0,15.67,48.282,0.013
0.037,0.967,9.103,26.536,0.052
0.0,1.0,9.635,28.034,0.036
0.0,1.0,9.965,28.888,0.034
0.037,0.963,9.167,26.799,0.052
0.0,1.0,8.415,24.505,0.046
0.037,0.967,7.922,23.119,0.064
0.0,1.0,10.443,29.838,0.032
0.0,1.0,16.222,49.803,0.012
0.037,0.964,8.002,23.384,0.063
0.0,1.0,17.111,52.632,0.011
0.0,1.0,10.48,30.757,0.03
0.0,1.0,16.421,50.577,0.012
0.0,1.0,17.058,52.716,0.011
0.0,1.0,16.114,49.388,0.012
0.0,1.0,8.927,26.182,0.041
0.0,1.0,17.268,53.109,0.011
0.0,1.0,16.36,50.123,0.012
0.0,1.0,10.586,29.793,0.032
0.0,1.0,15.946,48.66,0.013
0.0,1.0,9.467,28.853,0.035
0.0,1.0,16.002,49.252,0.013
0.0,1.0,8.634,25.163,0.044
0.037,0.966,7.82,22.768,0.065
0.0,1.0,10.738,31.252,0.029
0.0,1.0,16.4,50.582,0.012
0.0,1.0,16.624,50.943,0.012
0.0,1.0,10.458,30.805,0.03
0.074,0.939,9.106,26.321,0.065
0.0,1.0,9.988,28.779,0.034
0.0,1.0,8.141,25.064,0.045
0.0,1.0,11.117,33.126,0.027
0.0,1.0,10.295,31.3,0.03
0.0,1.0,9.106,26.916,0.039
0.0,1.0,10.551,29.788,0.032
0.0,1.0,8.963,27.545,0.038
0.0,1.0,10.006,28.249,0.035
0.0,1.0,10.059,29.815,0.032
0.0,1.0,16.491,50.764,0.012
0.0,1.0,8.565,26.51,0.041
0.0,1.0,8.77,25.798,0.042
0.0,1.0,16.347,50.268,0.012
0.0,1.0,9.801,27.806,0.036
0.0,1.0,18.262,56.025,0.01
0.0,1.0,16.4,50.727,0.012
0.0,1.0,11.247,34.22,0.025
0.0,1.0,9.924,30.379,0.032
0.0,1.0,10.732,30.922,0.03
0.0,1.0,9.179,28.235,0.036
0.0,1.0,16.251,49.898,0.012
0.0,1.0,10.494,30.239,0.031
0.0,1.0,10.01,28.675,0.034
