Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.009,0.005,0.014,1.0
0.073,0.877,5.364,13.804,0.14
0.0,1.0,13.769,37.525,0.02
0.0,1.0,13.205,35.694,0.022
0.0,1.0,14.49,37.651,0.02
0.0,1.0,14.213,38.072,0.019
0.0,1.0,13.47,36.512,0.021
0.0,1.0,15.416,41.563,0.017
0.0,1.0,13.899,38.316,0.019
0.0,1.0,11.993,32.137,0.027
0.0,1.0,14.135,37.04,0.02
0.0,1.0,15.431,40.497,0.017
0.018,0.97,11.952,29.315,0.037
0.0,1.0,16.398,43.098,0.015
0.0,1.0,14.936,41.053,0.017
0.018,0.949,12.192,31.353,0.034
0.0,1.0,15.503,41.176,0.017
0.0,1.0,15.045,39.788,0.018
0.0,1.0,12.184,32.935,0.026
0.0,1.0,11.84,31.804,0.027
0.0,1.0,13.861,37.79,0.02
0.0,1.0,15.849,41.688,0.016
0.0,1.0,15.024,40.169,0.018
0.0,1.0,15.803,41.775,0.016
0.0,1.0,17.52,45.917,0.013
0.045,0.896,11.129,28.101,0.049
0.0,1.0,16.121,44.188,0.015
0.0,1.0,13.359,34.984,0.023
0.0,1.0,13.744,36.657,0.021
0.036,0.867,13.734,35.649,0.034
0.0,1.0,15.389,40.651,0.017
0.0,1.0,16.704,43.387,0.015
0.0,1.0,13.514,36.119,0.022
0.0,1.0,13.984,36.598,0.021
0.0,1.0,14.409,38.206,0.019
0.073,0.778,4.055,10.239,0.2
0.0,1.0,13.883,36.535,0.021
0.036,0.895,8.028,19.938,0.075
0.0,1.0,16.903,44.082,0.015
0.009,0.98,6.602,17.126,0.085
0.0,1.0,13.541,35.826,0.022
0.0,1.0,14.143,37.754,0.02
0.0,1.0,13.084,35.328,0.023
0.0,1.0,14.908,39.679,0.018
0.0,1.0,16.782,44.085,0.015
0.0,1.0,14.458,39.55,0.018
0.0,1.0,18.44,49.54,0.012
0.0,1.0,14.107,37.523,0.02
0.045,0.922,13.089,34.579,0.038
0.0,1.0,14.9,40.468,0.017
0.0,1.0,15.943,42.205,0.016
0.209,0.689,4.389,11.19,0.227
0.0,1.0,11.734,32.021,0.027
0.0,1.0,15.147,40.164,0.018
0.0,1.0,12.785,34.436,0.024
0.0,1.0,14.528,38.22,0.019
0.0,1.0,15.315,40.291,0.017
0.0,1.0,12.877,34.882,0.023
0.009,0.978,13.024,34.25,0.027
0.064,0.868,12.929,31.846,0.048
0.0,1.0,11.165,30.567,0.03
0.0,1.0,17.726,45.959,0.013
0.009,0.98,10.805,26.64,0.04
0.009,0.979,8.857,24.263,0.049
0.0,1.0,15.315,40.927,0.017
0.0,1.0,13.212,35.908,0.022
0.0,1.0,17.726,47.228,0.013
0.036,0.907,13.076,32.142,0.038
0.0,1.0,13.108,35.664,0.022
0.0,1.0,9.493,24.17,0.045
0.036,0.917,12.096,31.788,0.039
0.0,1.0,12.959,35.24,0.023
0.0,1.0,14.453,37.978,0.019
0.0,1.0,12.298,33.21,0.025
0.0,1.0,12.714,34.327,0.024
0.0,1.0,15.769,42.039,0.016
0.0,1.0,15.543,42.221,0.016
0.0,1.0,14.74,38.487,0.019
0.0,1.0,13.682,36.109,0.021
0.036,0.939,11.657,28.459,0.045
0.0,1.0,12.815,33.909,0.024
0.173,0.698,5.158,13.078,0.183
0.0,1.0,16.221,42.694,0.016
0.045,0.906,12.787,32.007,0.042
0.0,1.0,13.723,36.063,0.021
0.0,1.0,15.108,39.919,0.018
0.0,1.0,16.986,44.304,0.014
0.0,1.0,11.515,31.225,0.029
0.0,1.0,12.974,34.916,0.023
0.0,1.0,17.538,46.187,0.013
0.0,1.0,16.17,42.155,0.016
0.0,1.0,15.706,41.584,0.016
0.0,1.0,13.468,36.976,0.021
0.0,1.0,15.615,41.592,0.016
0.0,1.0,15.503,40.673,0.017
0.064,0.8,7.62,20.266,0.084
0.0,1.0,14.152,38.288,0.019
0.0,1.0,16.842,43.899,0.015
0.0,1.0,17.199,45.734,0.014
0.0,1.0,9.946,26.748,0.038
