Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.912,0.055,0.121,0.414,0.968
0.825,0.161,0.885,2.838,0.822
0.789,0.082,0.471,1.561,0.889
0.789,0.118,0.826,2.718,0.821
0.789,0.211,0.46,1.489,0.891
0.789,0.118,1.103,3.596,0.762
0.807,0.148,0.903,3.021,0.81
0.754,0.157,0.967,3.159,0.78
0.702,0.111,1.041,3.513,0.744
0.842,0.172,0.903,2.966,0.823
0.825,0.096,0.472,1.549,0.901
0.754,0.157,1.03,3.469,0.764
0.737,0.208,0.92,3.075,0.783
0.842,0.077,0.384,1.226,0.92
0.807,0.08,0.371,1.181,0.91
0.895,0.056,0.316,1.011,0.946
0.649,0.178,1.062,3.556,0.722
0.632,0.1,1.556,5.143,0.615
0.719,0.163,1.262,4.132,0.705
0.509,0.42,1.142,3.732,0.66
0.281,0.719,4.279,13.449,0.225
0.596,0.37,1.279,4.311,0.657
0.386,0.577,2.063,6.938,0.444
0.842,0.143,0.811,2.721,0.841
0.456,0.366,1.595,5.252,0.55
0.614,0.167,1.054,3.443,0.714
0.684,0.114,1.52,5.084,0.638
0.649,0.178,2.055,6.883,0.534
0.737,0.106,0.987,3.279,0.768
0.754,0.157,0.985,3.334,0.773
0.491,0.364,1.236,3.984,0.636
0.386,0.522,1.731,5.774,0.5
0.649,0.098,1.169,3.928,0.698
0.421,0.429,1.191,3.847,0.622
0.632,0.182,1.367,4.54,0.652
0.702,0.167,1.376,4.529,0.675
0.193,0.75,5.62,18.489,0.145
0.298,0.696,4.142,13.029,0.238
0.491,0.243,1.376,4.599,0.603
0.667,0.136,1.455,4.949,0.643
0.386,0.421,1.883,6.26,0.474
0.246,0.682,4.409,14.7,0.2
0.351,0.524,1.609,5.358,0.51
0.702,0.149,1.365,4.635,0.673
0.456,0.395,1.565,5.159,0.555
0.035,0.95,5.354,17.953,0.097
0.825,0.113,0.815,2.691,0.835
0.456,0.48,1.176,3.892,0.634
0.281,0.556,2.097,6.85,0.409
0.421,0.385,1.316,4.302,0.594
0.439,0.342,1.19,3.845,0.628
0.702,0.111,0.987,3.291,0.756
0.474,0.449,1.704,5.436,0.54
0.491,0.2,2.228,7.434,0.457
0.404,0.439,1.032,3.339,0.65
0.772,0.2,0.92,3.052,0.795
0.439,0.569,2.014,6.755,0.469
0.702,0.111,1.162,3.876,0.718
0.351,0.6,1.748,5.904,0.483
0.754,0.14,0.848,2.775,0.805
0.386,0.421,1.144,3.723,0.619
0.351,0.487,1.331,4.328,0.568
0.404,0.425,1.439,4.744,0.562
0.421,0.467,2.504,8.35,0.398
0.211,0.692,5.56,18.301,0.152
0.0,1.0,6.438,21.362,0.063
0.228,0.618,3.416,11.436,0.249
0.386,0.45,1.985,6.446,0.461
0.439,0.419,1.836,5.987,0.502
0.421,0.415,1.671,5.661,0.52
0.281,0.59,2.933,9.538,0.31
0.702,0.149,0.914,2.955,0.774
0.526,0.318,2.524,8.406,0.431
0.702,0.111,0.801,2.754,0.795
0.526,0.062,1.736,5.89,0.543
0.368,0.5,1.726,5.575,0.499
0.211,0.733,4.179,13.309,0.205
0.702,0.216,1.472,4.873,0.655
0.263,0.559,2.107,6.911,0.4
0.649,0.119,1.63,5.491,0.604
0.596,0.171,1.757,5.906,0.564
0.228,0.594,2.034,6.756,0.398
0.561,0.238,1.533,5.232,0.592
0.281,0.6,3.991,12.922,0.235
0.228,0.639,4.128,13.741,0.207
0.263,0.605,3.765,12.542,0.238
0.281,0.579,2.2,7.225,0.393
0.544,0.244,2.148,7.255,0.483
0.789,0.118,1.055,3.581,0.769
0.0,1.0,6.823,22.764,0.056
0.211,0.745,4.01,12.719,0.214
0.263,0.7,3.186,10.284,0.283
0.333,0.5,1.919,6.275,0.453
0.351,0.412,2.338,7.925,0.392
0.018,0.971,4.994,16.827,0.101
0.509,0.275,1.388,4.527,0.609
0.316,0.486,2.057,6.74,0.426
0.175,0.767,4.674,15.062,0.17
0.439,0.457,1.723,5.496,0.525
0.579,0.25,2.159,7.159,0.496
