Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.111,0.878,2.902,9.483,0.256
0.1,0.887,13.703,43.693,0.049
0.133,0.803,2.703,8.739,0.285
0.167,0.776,2.712,8.804,0.294
0.067,0.905,11.57,36.932,0.045
0.067,0.897,10.372,33.116,0.05
0.2,0.69,2.55,8.278,0.323
0.133,0.806,4.059,13.211,0.182
0.044,0.948,11.149,35.252,0.039
0.111,0.828,2.472,7.994,0.304
0.011,0.98,9.827,30.964,0.035
0.689,0.195,11.522,36.178,0.253
0.078,0.901,3.326,10.739,0.211
0.089,0.875,2.999,9.751,0.24
0.067,0.885,10.297,32.821,0.05
0.067,0.919,12.823,41.149,0.04
0.211,0.703,2.979,9.654,0.283
0.033,0.942,11.508,36.959,0.033
0.078,0.891,2.739,8.898,0.262
0.044,0.939,10.6,33.856,0.041
0.133,0.836,2.939,9.544,0.261
0.022,0.972,11.586,36.484,0.03
0.089,0.884,10.697,34.179,0.055
0.033,0.956,10.625,33.763,0.037
0.011,0.982,13.885,44.828,0.019
0.067,0.915,12.931,41.227,0.04
0.256,0.833,4.418,14.48,0.205
0.178,0.742,2.576,8.368,0.313
0.089,0.867,5.533,18.247,0.112
0.033,0.946,12.53,39.754,0.03
0.022,0.967,10.426,33.68,0.034
0.089,0.849,3.705,12.103,0.187
0.022,0.958,11.897,37.58,0.029
0.056,0.919,10.74,34.499,0.044
0.122,0.82,9.397,30.357,0.073
0.244,0.6,1.959,6.254,0.421
0.0,1.0,11.504,36.13,0.023
0.022,0.968,14.296,45.793,0.022
0.011,0.981,11.404,35.752,0.027
0.0,1.0,6.434,21.207,0.063
0.144,0.787,2.718,8.807,0.287
0.033,0.948,10.826,33.997,0.037
0.333,0.492,1.655,5.26,0.502
0.111,0.839,3.429,11.121,0.213
0.033,0.946,11.008,34.551,0.036
0.078,0.877,4.476,14.693,0.143
0.278,0.545,2.13,6.809,0.406
0.111,0.811,3.614,11.743,0.201
0.111,0.818,3.503,11.292,0.209
0.022,0.96,11.361,35.672,0.031
0.022,0.974,8.701,27.297,0.046
0.011,0.982,14.026,45.342,0.019
0.044,0.938,11.301,35.731,0.038
0.0,1.0,4.756,15.592,0.107
0.089,0.875,3.276,10.594,0.218
0.033,0.947,10.309,32.813,0.039
0.089,0.822,2.268,7.303,0.323
0.222,0.692,3.501,11.409,0.245
0.0,1.0,10.413,33.042,0.027
0.022,0.964,12.763,41.178,0.026
0.067,0.91,9.738,30.651,0.054
0.033,0.945,9.33,29.347,0.045
0.022,0.944,7.612,24.742,0.055
0.011,0.979,4.918,16.112,0.105
0.033,0.944,10.658,33.801,0.037
0.056,0.923,7.584,24.177,0.068
0.011,0.982,13.114,42.258,0.021
0.0,1.0,6.177,20.306,0.068
0.011,0.983,10.896,34.397,0.029
0.189,0.638,3.321,10.821,0.247
0.133,0.812,2.286,7.39,0.335
0.222,0.63,2.013,6.445,0.405
0.122,0.804,2.788,9.012,0.272
0.056,0.907,13.132,42.055,0.036
0.044,0.938,11.316,35.673,0.038
0.044,0.937,3.384,10.955,0.195
0.022,0.963,10.968,34.579,0.033
0.033,0.945,3.631,11.923,0.172
0.1,0.804,4.004,13.021,0.174
0.022,0.961,4.327,14.107,0.132
0.022,0.962,4.453,14.529,0.126
0.044,0.951,9.195,28.832,0.05
0.011,0.981,13.467,43.328,0.02
0.256,0.75,1.88,6.006,0.437
0.056,0.924,12.223,38.779,0.039
0.022,0.962,5.101,16.688,0.103
0.0,1.0,11.047,35.193,0.024
0.022,0.967,10.781,33.862,0.033
0.022,0.96,12.068,39.068,0.028
0.333,0.6,1.965,6.3,0.449
0.156,0.767,3.225,10.532,0.243
0.056,0.898,12.458,39.604,0.038
0.022,0.968,11.956,37.864,0.029
0.033,0.959,8.962,28.177,0.048
0.011,0.981,4.795,15.305,0.112
0.1,0.812,3.04,9.772,0.242
0.033,0.949,11.167,35.097,0.035
0.133,0.786,2.32,7.315,0.334
0.033,0.958,3.944,12.554,0.158
0.044,0.923,13.394,42.776,0.032
