Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.882,0.107,0.294,1.247,0.941
0.829,0.259,0.422,1.778,0.905
0.263,0.714,3.423,14.187,0.229
0.592,0.262,0.701,2.931,0.769
0.303,0.701,1.494,6.295,0.483
0.053,0.93,2.938,12.446,0.192
0.079,0.908,2.757,11.687,0.218
0.158,0.782,2.172,9.169,0.314
0.0,1.0,3.018,12.697,0.169
0.75,0.197,0.57,2.365,0.851
0.237,0.684,1.702,7.172,0.419
0.079,0.902,2.322,9.767,0.268
0.132,0.828,2.54,10.749,0.258
0.171,0.783,2.06,8.701,0.335
0.079,0.889,2.692,11.407,0.224
0.211,0.761,2.04,8.655,0.351
0.263,0.726,3.559,14.77,0.221
0.079,0.895,2.412,10.208,0.256
0.092,0.873,2.559,10.847,0.243
0.079,0.909,2.409,10.179,0.256
0.039,0.953,3.091,13.111,0.175
0.105,0.893,2.595,10.974,0.244
0.105,0.869,2.902,12.287,0.213
0.145,0.82,2.181,9.214,0.309
0.079,0.898,2.659,11.253,0.228
0.105,0.857,3.136,13.268,0.194
0.066,0.926,3.892,16.393,0.136
0.039,0.948,3.011,12.764,0.182
0.079,0.903,2.378,10.081,0.26
0.039,0.943,3.071,12.857,0.179
0.053,0.927,2.594,10.967,0.226
0.013,0.986,4.09,17.225,0.109
0.053,0.937,2.842,11.954,0.202
0.053,0.929,3.447,14.477,0.156
0.092,0.887,2.331,9.882,0.27
0.184,0.77,2.213,9.362,0.317
0.092,0.875,2.435,10.302,0.257
0.079,0.891,2.405,10.175,0.257
0.118,0.845,2.307,9.761,0.282
0.211,0.724,2.254,9.51,0.321
0.039,0.95,2.722,11.535,0.208
0.026,0.968,3.658,15.208,0.136
0.039,0.94,2.876,12.156,0.194
0.145,0.807,2.483,10.477,0.27
0.079,0.906,3.935,16.344,0.14
0.171,0.8,2.029,8.554,0.34
0.026,0.964,3.508,14.72,0.144
0.039,0.952,2.834,11.882,0.199
0.0,1.0,3.129,13.193,0.16
0.079,0.91,3.513,14.776,0.161
0.092,0.881,2.712,11.485,0.227
0.066,0.909,2.518,10.67,0.239
0.066,0.915,3.046,12.909,0.188
0.132,0.818,2.519,10.667,0.261
0.079,0.893,2.918,12.327,0.203
0.092,0.873,2.654,11.256,0.232
0.039,0.942,2.937,12.335,0.189
0.079,0.885,2.339,9.89,0.265
0.197,0.754,2.829,11.979,0.251
0.237,0.731,2.255,9.499,0.329
0.079,0.898,2.837,12.031,0.21
0.105,0.852,2.739,11.588,0.229
0.092,0.892,3.575,14.982,0.162
0.184,0.767,2.675,11.304,0.262
0.026,0.968,4.014,16.892,0.117
0.039,0.949,2.563,10.794,0.226
0.461,0.507,1.063,4.45,0.637
0.158,0.826,2.143,9.039,0.319
0.026,0.971,4.283,18.072,0.106
0.039,0.94,3.099,12.986,0.176
0.039,0.944,2.836,12.004,0.197
0.079,0.895,3.908,16.243,0.141
0.026,0.967,2.766,11.648,0.2
0.0,1.0,3.185,13.414,0.156
0.053,0.937,3.759,15.81,0.138
0.039,0.956,3.974,16.581,0.124
0.118,0.852,2.518,10.664,0.256
0.092,0.873,2.685,11.381,0.229
0.013,0.987,4.196,17.665,0.105
0.224,0.738,2.166,9.152,0.337
0.026,0.96,3.082,12.938,0.173
0.132,0.841,2.316,9.79,0.286
0.118,0.833,2.546,10.769,0.253
0.092,0.881,2.592,10.986,0.239
0.039,0.948,2.873,12.101,0.195
0.079,0.9,2.838,12.012,0.21
0.0,1.0,3.029,12.748,0.168
0.039,0.933,2.653,11.219,0.215
0.053,0.938,3.491,14.769,0.152
0.184,0.813,3.202,13.368,0.217
0.039,0.943,3.715,15.619,0.136
0.026,0.964,2.844,12.059,0.192
0.039,0.942,3.269,13.737,0.163
0.053,0.942,3.875,16.319,0.132
0.026,0.968,4.086,17.216,0.114
0.197,0.741,2.62,11.091,0.271
0.039,0.95,3.204,13.527,0.167
0.066,0.919,2.763,11.681,0.213
0.039,0.943,3.519,14.792,0.147
0.224,0.73,1.797,7.551,0.398
